অংগ্রেজশিংবু	ꯑꯪꯒ꯭ꯔꯦꯖꯁꯤꯡꯕꯨ
অখুনজদাগী	ꯑꯈꯨꯟꯖꯗꯥꯒꯤ
অখুনজদানা	ꯑꯈꯨꯟꯖꯗꯥꯅꯥ
অখুন্দ	ꯑꯈꯨꯟ꯭ꯗ
অখুন্দজাদানা	ꯑꯈꯨꯟ꯭ꯗꯖꯥꯗꯥꯅꯥ
অখুন্দনা	ꯑꯈꯨꯟ꯭ꯗꯅꯥ
অগনানিনা	ꯑꯒꯅꯥꯅꯤꯅꯥ
অগনি	ꯑꯒꯅꯤ
অগনৱাদি	ꯑꯒꯟꯋꯥꯗꯤ
অগভা	ꯑꯒꯚꯥ
অগর	ꯑꯒꯔ
অগরগী	ꯑꯒꯔꯒꯤ
অগরটলা	ꯑꯒꯔꯇꯂꯥ
অগরটলাগী	ꯑꯒꯔꯇꯂꯥꯒꯤ
অগরটলাগীদমক	ꯑꯒꯔꯇꯂꯥꯒꯤꯗꯃꯛ
অগরটলাদা	ꯑꯒꯔꯇꯂꯥꯗꯥ
অগরতালা	ꯑꯒꯔꯇꯥꯂꯥ
অগরতালাগা	ꯑꯒꯔꯇꯥꯂꯥꯒꯥ
অগরতালাগী	ꯑꯒꯔꯇꯥꯂꯥꯒꯤ
অগরতালাদগী	ꯑꯒꯔꯇꯥꯂꯥꯗꯒꯤ
অগরৱাননা	ꯑꯒꯔꯋꯥꯟꯅꯥ
অগরৱাল	ꯑꯒꯔꯋꯥꯜ
অগরৱালনা	ꯑꯒꯔꯋꯥꯜꯅꯥ
অগরৱালসু	ꯑꯒꯔꯋꯥꯜꯁꯨ
অগষ্ট	ꯑꯒꯁ꯭ꯇ
অগষ্টিন	ꯑꯒꯁ꯭ꯇꯤꯟ
অগাথা	ꯑꯒꯥꯊꯥ
অগানানিনা	ꯑꯒꯥꯅꯥꯅꯤꯅꯥ
অগারৱালনা	ꯑꯒꯥꯔꯋꯥꯜꯅꯥ
অগিী	ꯑꯒꯤ
অগুই	ꯑꯒꯨꯢ
অগুৱাদা	ꯑꯒꯨꯋꯥꯗꯥ
অগেন্টস	ꯑꯒꯦꯟ꯭ꯇꯁ
অগ্ননি	ꯑꯒꯅꯅꯤ
অগ্নানিনা	ꯑꯒꯅꯥꯅꯤꯅꯥ
অগ্নিহোত্রিনা	ꯑꯒꯅꯤꯍꯣꯇ꯭ꯔꯤꯅꯥ
অগ্নী	ꯑꯒꯅꯤ
অগ্রাদা	ꯑꯒ꯭ꯔꯥꯗꯥ
অগ্রানা	ꯑꯒ꯭ꯔꯥꯅꯥ
অগ্রৱালনা	ꯑꯒ꯭ꯔꯋꯥꯜꯅꯥ
অঙকপা	ꯑꯉꯛꯄꯥ
অঙখুই	ꯑꯉꯈꯨꯢ
অঙন	ꯑꯉꯟ
অঙনবদগী	ꯑꯉꯟꯕꯗꯒꯤ
অঙনবদা	ꯑꯉꯟꯕꯗ ꯥ
অঙনবা	ꯑꯉꯟꯕ ꯥ
অঙম	ꯑꯉꯝ
অঙম্বা	ꯑꯉꯝꯕꯥ
অঙম্বী	ꯑꯉꯝꯕꯤ
অঙাং	ꯑꯉꯥꯡ
অঙাংগী	ꯑꯉꯥꯡꯒꯤ
অঙাংদা	ꯑꯉꯥꯡꯗꯥ
অঙাংবা	ꯑꯉꯥꯡꯕꯥ
অঙাংমচাশিংগী	ꯑꯉꯥꯡꯃꯆꯥꯁꯤꯡꯒꯤ
অঙাংশিং	ꯑꯉꯥꯡꯁꯤꯡ
অঙাংশিংগা	ꯑꯉꯥꯡꯁꯤꯡꯒꯥ
অঙাংশিংগী	ꯑꯉꯥꯡꯁꯤꯡꯒꯤ
অঙাংশিংগীদমক	ꯑꯉꯥꯡꯁꯤꯡꯒꯤꯗꯃꯛ
অঙাংশিংগীদমকসু	ꯑꯉꯥꯡꯁꯤꯡꯒꯤꯗꯃꯛꯁꯨ
অঙাংশিংগীনা	ꯑꯉꯥꯡꯁꯤꯡꯒꯤꯅꯥ
অঙাংশিংদগী	ꯑꯉꯥꯡꯁꯤꯡꯗꯒꯤ
অঙাংশিংদা	ꯑꯉꯥꯡꯁꯤꯡꯗꯥ
অঙাংশিংদি	ꯑꯉꯥꯡꯁꯤꯡꯗꯤ
অঙাংশিংনা	ꯑꯉꯥꯡꯁꯤꯡꯅꯥ
অঙাংশিংবু	ꯑꯉꯥꯡꯁꯤꯡꯕꯨ
অঙাংশিংসু	ꯑꯉꯥꯡꯁꯤꯡꯁꯨ
অঙাংহল	ꯑꯉꯥꯡꯍꯜ
অঙাওবা	ꯑꯉꯥꯎꯕ ꯥ
অঙানবনা	ꯑꯉꯥꯟꯕꯅꯥ
অঙানবনি	ꯑꯉꯥꯟꯕꯅꯤ
অঙাম	ꯑꯉꯥꯝ
অঙাম্বা	ꯑꯉꯥꯝꯕꯥ
অঙোম	ꯑꯉꯣꯝ
অঙোমনা	ꯑꯉꯣꯝꯅꯥ
অঙৌবা	ꯑꯉꯧꯕꯥ
অঙৌবী	ꯑꯉꯧꯕꯤ
অঙ্ক	ꯑꯪꯀ
অঙ্কগী	ꯑꯪꯀꯒꯤ
অঙ্গত	ꯑꯪꯒꯠ
অঙ্গনৱাদি	ꯑꯪꯒꯟꯋꯥꯗꯤ
অঙ্গনৱাদিশিং	ꯑꯪꯒꯟꯋꯥꯗꯤꯁꯤꯡ
অঙ্গনৱাদিশিংগী	ꯑꯪꯒꯟꯋꯥꯗꯤꯁꯤꯡꯒꯤ
অঙ্গনৱারি	ꯑꯪꯒꯟꯋꯥꯔꯤ
অঙ্গামিগী	ꯑꯪꯒꯥꯃꯤꯒꯤ
অঙ্গামীনা	ꯑꯪꯒꯥꯃꯤꯅꯥ
অঙ্গুর	ꯑꯪꯒꯨꯔ
অচ	ꯑꯆ
অচংবা	ꯑꯆꯪꯕꯥ
অচনবা	ꯑꯆꯟꯕꯥ
অচম্বা	ꯑꯆꯝꯕꯥ
অচা	ꯑꯆꯥ
অচাথাউ	ꯑꯆꯥꯊꯥꯎ
অচাথাউগী	ꯑꯆꯥꯊꯥꯎꯒꯤ
অচাথাওনচিংবা	ꯑꯆꯥꯊꯥꯎꯅꯆꯤꯡꯕꯥ
অচার	ꯑꯆꯥꯔ
অচারিয়া	ꯑꯆꯥꯔꯤꯌꯥ
অচারিয়ানচিংবা	ꯑꯆꯥꯔꯤꯌꯥꯅꯆꯤꯡꯕꯥ
অচারয়া	ꯑꯆꯥꯔꯌꯥ
অচিনবা	ꯑꯆꯤꯟꯕꯥ
অচুন	ꯑꯆꯨꯟ
অচুবা	ꯑꯆꯨꯕꯥ
অচুম্বগী	ꯑꯆꯨꯝꯕꯒꯤ
অচুম্বগীদমক	ꯑꯆꯨꯝꯕꯒꯤꯗꯃꯛ
অচুম্বনা	ꯑꯆꯨꯝꯕꯅꯥ
অচুম্বনি	ꯑꯆꯨꯝꯕꯅꯤ
অচুম্ববু	ꯑꯆꯨꯝꯕꯕꯨ
অচুম্বা	ꯑꯆꯨꯝꯕꯥ
অচেৎপ	ꯑꯆꯦꯠꯄ
অচেৎপা	ꯑꯆꯦꯠꯄꯥ
অচোনি	ꯑꯆꯣꯅꯤ
অচোমনা	ꯑꯆꯣꯝꯅꯥ
অচৌ	ꯑꯆꯧ
অচৌবগী	ꯑꯆꯧꯕꯒꯤ
অচৌবদা	ꯑꯆꯧꯕꯗꯥ
অচৌবনা	ꯑꯆꯧꯕꯅꯥ
অচৌবশিংগী	ꯑꯆꯧꯕꯁꯤꯡꯒꯤ
অচৌবসু	ꯑꯆꯧꯕꯁꯨ
অচৌবা	ꯑꯆꯧꯕꯥ
অচ্যারিয়া	ꯑꯆ꯭ꯌꯥꯔꯤꯌꯥ
অচ্যারিয়ানা	ꯑꯆ꯭ꯌꯥꯔꯤꯌꯥꯅꯥ
অচৎ	ꯑꯆꯠ
অজ	ꯑꯖ
অজন্তা	ꯑꯖꯟꯇꯥ
অজমর	ꯑꯖꯃꯔ
অজমল	ꯑꯖꯃꯜ
অজমলনচিংবনা	ꯑꯖꯃꯜꯅꯆꯤꯡꯕꯅꯥ
অজমির	ꯑꯖꯃꯤꯔ
অজরবৈজানগী	ꯑꯖꯔꯕꯩꯖꯥꯟꯒꯤ
অজহর	ꯑꯖꯍꯔ
অজাং	ꯑꯖꯥꯡ
অজাতি	ꯑꯖꯥꯇꯤ
অজাদ	ꯑꯖꯥꯗ
অজাদকী	ꯑꯖꯥꯗꯀꯤ
অজাদনসু	ꯑꯖꯥꯗꯅꯁꯨ
অজাদনা	ꯑꯖꯥꯗꯅꯥ
অজাদি	ꯑꯖꯥꯗꯤ
অজাদিকা	ꯑꯖꯥꯗꯤꯀꯥ
অজাদিকি	ꯑꯖꯥꯗꯤꯀꯤ
অজাদিগা	ꯑꯖꯥꯗꯤꯒꯥ
অজাম	ꯑꯖꯥꯝ
অজাহিন্দ	ꯑꯖꯥꯍꯤꯟ꯭ꯗ
অজিউরম	ꯑꯖꯤꯎꯔꯝ
অজিজুল	ꯑꯖꯤꯖꯨꯜ
অজিট	ꯑꯖꯤꯠ
অজিত	ꯑꯖꯤꯠ
অজিনক্যা	ꯑꯖꯤꯟꯀ꯭ꯌꯥ
অজিৎ	ꯑꯖꯤꯠ
অজুরাম	ꯑꯖꯨꯔꯥꯝ
অজোয়	ꯑꯖꯣꯢ
অজয়	ꯑꯖꯌ
অঞ্জাম	ꯑꯟꯖꯥꯝ
অঞ্জুমাননা	ꯑꯟꯖꯨꯃꯥꯟꯅꯥ
অটল	ꯑꯇꯜ
অটশুম	ꯑꯠꯁꯨꯝ
অটশুমগী	ꯑꯠꯁꯨꯝꯒꯤ
অটশুমনা	ꯑꯠꯁꯨꯝꯅꯥ
অটসুম	ꯑꯠꯁꯨꯝ
অটসুমগী	ꯑꯠꯁꯨꯝꯒꯤ
অটুল	ꯑꯇꯨꯜ
অতম্ননা	ꯑꯇꯝꯅꯅꯥ
অতল	ꯑꯇꯜ
অতা	ꯑꯇꯥ
অতাংবা	ꯑꯇꯥꯡꯕꯥ
অতাঙবা	ꯑꯇꯥꯡꯕꯥ
অতানা	ꯑꯇꯥꯅꯥ
অতানু	ꯑꯇꯥꯅꯨ
অতাবা	ꯑꯇꯥꯕꯥ
অতাশিং	ꯑꯇꯥꯁꯤꯡ
অতাশিংগী	ꯑꯇꯥꯁꯤꯡꯒꯤ
অতাশিংদগী	ꯑꯇꯥꯁꯤꯡꯗꯒꯤ
অতি	ꯑꯇꯤ
অতিথি	ꯑꯇꯤꯊꯤ
অতিয়াদা	ꯑꯇꯤꯌꯥꯗꯥ
অতুল	ꯑꯇꯨꯜ
অতে	ꯑꯇꯦ
অতেক	ꯑꯇꯦꯛ
অতেনবা	ꯑꯇꯦꯟꯕꯥ
অতেলি	ꯑꯇꯦꯂꯤ
অতেলিদগী	ꯑꯇꯦꯂꯤꯗꯒꯤ
অতৈ	ꯑꯇꯩ
অতৈগা	ꯑꯇꯩꯒꯥ
অতৈগী	ꯑꯇꯩꯒꯤ
অতৈগুম	ꯑꯇꯩꯒꯨꯝ
অতৈদগী	ꯑꯇꯩꯗꯒꯤ
অতৈদসু	ꯑꯇꯩꯗꯁꯨ
অতৈদা	ꯑꯇꯩꯗꯥ
অতৈনা	ꯑꯇꯩꯅꯥ
অতোই	ꯑꯇꯣꯢ
অতোপ	ꯑꯇꯣꯄ
অতোপশিং	ꯑꯇꯣꯄꯁꯤꯡ
অতোপ্পগী	ꯑꯇꯣꯞꯄꯒꯤ
অতোপ্পগীসু	ꯑꯇꯣꯞꯄꯒꯤꯁꯨ
অতোপ্পদা	ꯑꯇꯣꯞꯄꯗꯥ
অতোপ্পশিংদগী	ꯑꯇꯣꯞꯄꯁꯤꯡꯗꯒꯤ
অতোপ্পশিংদা	ꯑꯇꯣꯞꯄꯁꯤꯡꯗꯥ
অতোপ্পশিংবু	ꯑꯇꯣꯞꯄꯁꯤꯡꯕꯨ
অতোপ্পা	ꯑꯇꯣꯞꯄꯥ
অতোলদা	ꯑꯇꯣꯜꯗꯥ
অতোয়	ꯑꯇꯣꯢ
অতৌখোংদা	ꯑꯇꯧꯈꯣꯡꯗꯥ
অতৌবা	ꯑꯇꯧꯕꯥ
অত্ন	ꯑꯠꯅ
অত্ম	ꯑꯠꯃ
অত্মনিভর	ꯑꯠꯃꯅꯤꯚꯔ
অত্মনিরভর	ꯑꯠꯃꯅꯤꯔꯚꯔ
অত্মা	ꯑꯠꯃꯥ
অত্মাঘাৎ	ꯑꯠꯃꯥꯘꯥꯠ
অত্মানা	ꯑꯠꯃꯥꯅꯥ
অত্মানি	ꯑꯠꯃꯥꯅꯤ
অত্মানিভর	ꯑꯠꯃꯥꯅꯤꯚꯔ
অত্মানিরভর	ꯑꯠꯃꯥꯅꯤꯔꯚꯔ
অত্মানিরভরতা	ꯑꯠꯃꯥꯅꯤꯔꯚꯔꯇꯥ
অত্মানিরভরতাগী	ꯑꯠꯃꯥꯅꯤꯔꯚꯔꯇꯥꯒꯤ
অত্মানিরভার	ꯑꯠꯃꯥꯅꯤꯔꯚꯥꯔ
অতৎ	ꯑꯇꯠ
অথংবা	ꯑꯊꯪꯕꯥ
অথক	ꯑꯊꯛ
অথকশিং	ꯑꯊꯛꯁꯤꯡ
অথাপ্পা	ꯑꯊꯥꯞꯄꯥ
অথাবা	ꯑꯊꯥꯕꯥ
অথিংবদি	ꯑꯊꯤꯡꯕꯗꯤ
অথিংবশিং	ꯑꯊꯤꯡꯕꯁꯤꯡ
অথিংবসি	ꯑꯊꯤꯡꯕꯁꯤ
অথিংবসু	ꯑꯊꯤꯡꯕꯁꯨ
অথিংবা	ꯑꯊꯤꯡꯕꯥ
অথু	ꯑꯊꯨ
অথুপ	ꯑꯊꯨꯞ
অথুব	ꯑꯊꯨꯕ
অথুবদ	ꯑꯊꯨꯕꯗ
অথুবদা	ꯑꯊꯨꯕꯗꯥ
অথুবা	ꯑꯊꯨꯕꯥ
অথুম	ꯑꯊꯨꯝ
অথুৱন	ꯑꯊꯨꯋꯟ
অথুৱান	ꯑꯊꯨꯋꯥꯟ
অথুৱালে	ꯑꯊꯨꯋꯥꯂꯦ
অথেংনবদা	ꯑꯊꯦꯡꯅꯕꯗꯥ
অথেংবদা	ꯑꯊꯦꯡꯕꯗꯥ
অথেংবা	ꯑꯊꯦꯡꯕꯥ
অথোংবা	ꯑꯊꯣꯡꯕꯥ
অথোই	ꯑꯊꯣꯢ
অথোইবা	ꯑꯊꯣꯢꯕꯥ
অথোকপম	ꯑꯊꯣꯛꯄꯝ
অথোকপমগী	ꯑꯊꯣꯛꯄꯝꯒꯤ
অথোকপমদা	ꯑꯊꯣꯛꯄꯝꯗꯥ
অথোকপমনচিংবা	ꯑꯊꯣꯛꯄꯝꯅꯆꯤꯡꯕꯥ
অথোকপমনা	ꯑꯊꯣꯛꯄꯝꯅꯥ
অথোন	ꯑꯊꯣꯟ
অথোরিতিশিংগী	ꯑꯊꯣꯔꯤꯇꯤꯁꯤꯡꯒꯤ
অথোৱান	ꯑꯊꯣꯋꯥꯟ
অথৌবনা	ꯑꯊꯧꯕꯅꯥ
অথৌববু	ꯑꯊꯧꯕꯕꯨ
অথৌবশিং	ꯑꯊꯧꯕꯁꯤꯡ
অথৌবশিংগী	ꯑꯊꯧꯕꯁꯤꯡꯒꯤ
অথৌবশিংদা	ꯑꯊꯧꯕꯁꯤꯡꯗꯥ
অথৌবশিংনা	ꯑꯊꯧꯕꯁꯤꯡꯅꯥ
অথৌবশিংবু	ꯑꯊꯧꯕꯁꯤꯡꯕꯨ
অথৌবা	ꯑꯊꯧꯕꯥ
অথৌবাশিং	ꯑꯊꯧꯕꯥꯁꯤꯡ
অথৌবি	ꯑꯊꯧꯕꯤ
অথৱালেনা	ꯑꯊꯋꯥꯂꯦꯅꯥ
অদনান	ꯑꯗꯅꯥꯟ
অদবানি	ꯑꯗꯕꯥꯅꯤ
অদবানিনচিংবা	ꯑꯗꯕꯥꯅꯤꯅꯆꯤꯡꯕꯥ
অদবৈতা	ꯑꯗꯕꯩꯇꯥ
অদভেতা	ꯑꯗꯚꯦꯇꯥ
অদর	ꯑꯗꯔ
অদর্স	ꯑꯗꯔ꯭ꯁ
অদানানা	ꯑꯗꯥꯅꯥꯅꯥ
অদানি	ꯑꯗꯥꯅꯤ
অদানিগা	ꯑꯗꯥꯅꯤꯒꯥ
অদানিনা	ꯑꯗꯥꯅꯤꯅꯥ
অদানোম	ꯑꯗꯥꯅꯣꯝ
অদারি	ꯑꯗꯥꯔꯤ
অদালট	ꯑꯗꯥꯂꯠ
অদালটকী	ꯑꯗꯥꯂꯠꯀꯤ
অদালটসু	ꯑꯗꯥꯂꯠꯁꯨ
অদালত	ꯑꯗꯥꯂꯠ
অদিতি	ꯑꯗꯤꯇꯤ
অদিতিনা	ꯑꯗꯤꯇꯤꯅꯥ
অদিত্য	ꯑꯗꯤꯇ꯭ꯌ
অদিত্যনাথ	ꯑꯗꯤꯇ꯭ꯌꯅꯥꯊ
অদিত্যনাথকী	ꯑꯗꯤꯇ꯭ꯌꯅꯥꯊꯀꯤ
অদিত্যনাথন	ꯑꯗꯤꯇ꯭ꯌꯅꯥꯊꯟ
অদিত্যনাথনচিংবা	ꯑꯗꯤꯇ꯭ꯌꯅꯥꯊꯅꯆꯤꯡꯕꯥ
অদিত্যনাথনা	ꯑꯗꯤꯇ꯭ꯌꯅꯥꯊꯅꯥ
অদিত্যনাথসু	ꯑꯗꯤꯇ꯭ꯌꯅꯥꯊꯁꯨ
অদিত্যা	ꯑꯗꯤꯇ꯭ꯌꯥ
অদিত্যানাথ	ꯑꯗꯤꯇ꯭ꯌꯥꯅꯥꯊ
অদিত্যানাথনা	ꯑꯗꯤꯇ꯭ꯌꯥꯅꯥꯊꯅꯥ
অদিপ	ꯑꯗꯤꯞ
অদিবাসি	ꯑꯗꯤꯕꯥꯁꯤ
অদু	ꯑꯗꯨ
অদুইনা	ꯑꯗꯨꯢꯅꯥ
অদুওইনমক	ꯑꯗꯨꯑꯣꯢꯅꯃꯛ
অদুকা	ꯑꯗꯨꯀꯥ
অদুক্কী	ꯑꯗꯨꯛꯀꯤ
অদুখক্তদা	ꯑꯗꯨꯈꯛꯇꯗꯥ
অদুখক্তা	ꯑꯗꯨꯈꯛꯇꯥ
অদুগ	ꯑꯗꯨꯒ
অদুগা	ꯑꯗꯨꯒꯥ
অদুগী	ꯑꯗꯨꯒꯤ
অদুগীদমক	ꯑꯗꯨꯒꯤꯗꯃꯛ
অদুগীদমকসু	ꯑꯗꯨꯒꯤꯗꯃꯛꯁꯨ
অদুগীদমক্তসু	ꯑꯗꯨꯒꯤꯗꯃꯛꯇꯁꯨ
অদুগুম্না	ꯑꯗꯨꯒꯨꯝꯅꯥ
অদুগুম্বা	ꯑꯗꯨꯒꯨꯝꯕꯥ
অদুঙৈগী	ꯑꯗꯨꯉꯩꯒꯤ
অদুদ	ꯑꯗꯨꯗ
অদুদগী	ꯑꯗꯨꯗꯒꯤ
অদুদগীনি	ꯑꯗꯨꯗꯒꯤꯅꯤ
অদুদগীসু	ꯑꯗꯨꯗꯒꯤꯁꯨ
অদুদদি	ꯑꯗꯨꯗꯗꯤ
অদুদনা	ꯑꯗꯨꯗꯅꯥ
অদুদসু	ꯑꯗꯨꯗꯁꯨ
অদুদা	ꯑꯗꯨꯗꯥ
অদুদাা	ꯑꯗꯨꯗꯥ
অদুদি	ꯑꯗꯨꯗꯤ
অদুদুনা	ꯑꯗꯨꯗꯨꯅꯥ
অদুন	ꯑꯗꯨꯅ
অদুননি	ꯑꯗꯨꯅꯅꯤ
অদুনা	ꯑꯗꯨꯅꯥ
অদুনি	ꯑꯗꯨꯅꯤ
অদুনোভনা	ꯑꯗꯨꯅꯣꯚꯅꯥ
অদুবু	ꯑꯗꯨꯕꯨ
অদুবুদি	ꯑꯗꯨꯕꯨꯗꯤ
অদুবুনি	ꯑꯗꯨꯕꯨꯅꯤ
অদুবুসু	ꯑꯗꯨꯕꯨꯁꯨ
অদুবুু	ꯑꯗꯨꯕꯨ
অদুম	ꯑꯗꯨꯝ
অদুমওইনমক	ꯑꯗꯨꯝꯑꯣꯢꯅꯃꯛ
অদুমক	ꯑꯗꯨꯃꯛ
অদুমকপু	ꯑꯗꯨꯃꯛꯄꯨ
অদুমক্তদগী	ꯑꯗꯨꯃꯛꯇꯗꯒꯤ
অদুমক্তদা	ꯑꯗꯨꯃꯛꯇꯗꯥ
অদুমক্তা	ꯑꯗꯨꯃꯛꯇꯥ
অদুম্মক	ꯑꯗꯨꯝꯃꯛ
অদুম্মকনি	ꯑꯗꯨꯝꯃꯛꯅꯤ
অদুম্মকপু	ꯑꯗꯨꯝꯃꯛꯄꯨ
অদুসু	ꯑꯗꯨꯁꯨ
অদুুগা	ꯑꯗꯨꯒꯥ
অদুুদা	ꯑꯗꯨꯗꯥ
অদুুদি	ꯑꯗꯨꯗꯤ
অদুুবু	ꯑꯗꯨꯕꯨ
অদুূগী	ꯑꯗꯨꯒꯤ
অদুৱাইদা	ꯑꯗꯨꯋꯥꯢꯗꯥ
অদোম	ꯑꯗꯣꯝ
অদোমগী	ꯑꯗꯣꯝꯒꯤ
অদোমদা	ꯑꯗꯣꯝꯗꯥ
অদোমনা	ꯑꯗꯣꯝꯅꯥ
অদোমসু	ꯑꯗꯣꯝꯁꯨ
অদ্দু	ꯑꯗꯗꯨ
অধক্ষা	ꯑꯙꯛꯁꯥ
