lang1,lang2
অকামপাৎতা,ꯑꯀꯥꯝꯄꯥꯠꯇꯥ
অকাম্পাৎ,ꯑꯀꯥꯝ꯭ꯞꯥꯠ
অকাম্পাৎতা,ꯑꯀꯥꯝ꯭ꯞꯥꯠꯇꯥ
অকাম্পাৎনা,ꯑꯀꯥꯝ꯭ꯞꯥꯠꯅꯥ
অকায়,ꯑꯀꯥꯢ
অকায়বা,ꯑꯀꯥꯢꯕꯥ
অকালি,ꯑꯀꯥꯂꯤ
অকাশ,ꯑꯀꯥꯁ
অকাশবনি,ꯑꯀꯥꯁꯕꯅꯤ
অকাশবানি,ꯑꯀꯥꯁꯕꯥꯅꯤ
অকাশবানিগা,ꯑꯀꯥꯁꯕꯥꯅꯤꯒꯥ
অকাশবানিগী,ꯑꯀꯥꯁꯕꯥꯅꯤꯒꯤ
অকাশবানিগীদি,ꯑꯀꯥꯁꯕꯥꯅꯤꯒꯤꯗꯤ
অকাশবানিদা,ꯑꯀꯥꯁꯕꯥꯅꯤꯗꯥ
অকাশবানিনসু,ꯑꯀꯥꯁꯕꯥꯅꯤꯟꯁꯨ
অকাশবানিনা,ꯑꯀꯥꯁꯕꯥꯅꯤꯅꯥ
অকাশাবনি,ꯑꯀꯥꯁꯥꯕꯅꯤ
অকাশাবানি,ꯑꯀꯥꯁꯥꯕꯥꯅꯤ
অকাশাবানিগী,ꯑꯀꯥꯁꯥꯕꯥꯅꯤꯒꯤ
অকাস,ꯑꯀꯥꯁ
অকােইজম,ꯑꯀꯥꯦꯏꯖꯝ
অকায়,ꯑꯀꯥꯢ
অকায়গী,ꯑꯀꯥꯢꯒꯤ
অকায়দগী,ꯑꯀꯥꯢꯗꯒꯤ
অকায়বদি,ꯑꯀꯥꯢꯕꯗꯤ
অকায়বশিং,ꯑꯀꯥꯢꯕꯁꯤꯡ
অকায়বা,ꯑꯀꯥꯢꯕꯥ
অকায়শিং,ꯑꯀꯥꯢꯁꯤꯡ
অকায়শিংসু,ꯑꯀꯥꯢꯁꯤꯡꯁꯨ
অকায়্বা,ꯑꯀꯥꯢ꯭ꯕꯥ
অকি,ꯑꯀꯤ
অকিব,ꯑꯀꯤꯕ
অকিবগী,ꯑꯀꯤꯕꯒꯤ
অকিবনা,ꯑꯀꯤꯕꯅꯥ
অকিবশিং,ꯑꯀꯤꯕꯁꯤꯡ
অকিবা,ꯑꯀꯤꯕꯥ
অকিল,ꯑꯀꯤꯜ
অকুপ্পা,ꯑꯀꯨꯞꯄꯥ
অকুম,ꯑꯀꯨꯝ
অকুৎপা,ꯑꯀꯨꯠꯄꯥ
অকূপ্পা,ꯑꯀꯨꯞꯄꯥ
অকে,ꯑꯀꯦ
অকোইজম,ꯑꯀꯣꯢꯖꯝ
অকোইবগী,ꯑꯀꯣꯢꯕꯒꯤ
অকোইবদা,ꯑꯀꯣꯢꯕꯗꯥ
অকোইবা,ꯑꯀꯣꯢꯕꯥ
অকোনগী,ꯑꯀꯣꯟꯒꯤ
অকোনবগী,ꯑꯀꯣꯟꯕꯒꯤ
অকোন্বগী,ꯑꯀꯣꯟ꯭ꯕꯒꯤ
অকোন্বদদি,ꯑꯀꯣꯟ꯭ꯕꯗꯗꯤ
অকোম,ꯑꯀꯣꯝ
অকোমবা,ꯑꯀꯣꯝꯕꯥ
অকোয়বগী,ꯑꯀꯣꯢꯕꯒꯤ
অকোয়বদা,ꯑꯀꯣꯢꯕꯗꯥ
অকোয়বা,ꯑꯀꯣꯢꯕꯥ
অকোয়সনানা,ꯑꯀꯣꯢꯁꯅꯥꯅꯥ
অকোয়্বদা,ꯑꯀꯣꯢ꯭ꯕꯗꯥ
অকোয়্বদু,ꯑꯀꯣꯢ꯭ꯕꯗꯨ
অকোয়্বা,ꯑꯀꯣꯢ꯭ꯕꯥ
অক্তর,ꯑꯛꯇꯔ
অক্তরনা,ꯑꯛꯇꯔꯅꯥ
অকয়াদা,ꯑꯛꯌꯥꯗꯥ
অখং,ꯑꯈꯪ
অখঙ,ꯑꯈꯪ
অখঙবা,ꯑꯈꯪꯕꯥ
অখন্দা,ꯑꯈꯟ꯭ꯗꯥ
অখন্ননা,ꯑꯈꯟꯅꯅꯥ
অখন্নবা,ꯑꯈꯟꯅꯕꯥ
অখম,ꯑꯈꯝ
অখাক,ꯑꯈꯥꯛ
অখাকপা,ꯑꯈꯥꯛꯄꯥ
অখাঙ,ꯑꯈꯥꯡ
অখাম,ꯑꯈꯥꯝ
অখিল,ꯑꯈꯤꯜ
অখিলেস,ꯑꯈꯤꯂꯦꯁ
অখুই,ꯑꯈꯨꯢ
অখুনজদাগী,ꯑꯈꯨꯟꯖꯗꯥꯒꯤ
অখুনজদানা,ꯑꯈꯨꯟꯖꯗꯥꯅꯥ
অখুন্দ,ꯑꯈꯨꯟ꯭ꯗ
অখুন্দজাদানা,ꯑꯈꯨꯟ꯭ꯗꯖꯥꯗꯥꯅꯥ
অখুন্দনা,ꯑꯈꯨꯟ꯭ꯗꯅꯥ
অখুবা,ꯑꯈꯨꯕꯥ
অখুম,ꯑꯈꯨꯝ
অখোন্বা,ꯑꯈꯣꯟ꯭ꯕꯥ
অখোয়,ꯑꯈꯣꯢ
অখোয়্দি,ꯑꯈꯣꯢ꯭ꯗꯤ
অগনানিনা,ꯑꯒꯅꯥꯅꯤꯅꯥ
অগনি,ꯑꯒꯅꯤ
অগনৈসকা,ꯑꯒꯅꯩꯁꯀꯥ
অগনৱাদি,ꯑꯒꯟꯋꯥꯗꯤ
অগভা,ꯑꯒꯚꯥ
অগর,ꯑꯒꯔ
অগরগী,ꯑꯒꯔꯒꯤ
অগরটলা,ꯑꯒꯔꯠꯂꯥ
অগরটলাগী,ꯑꯒꯔꯠꯂꯥꯒꯤ
অগরটলাগীদমক,ꯑꯒꯔꯠꯂꯥꯒꯤꯗꯝꯛ
অগরটলাদা,ꯑꯒꯔꯠꯂꯥꯗꯥ
অগরতালা,ꯑꯒꯔꯇꯥꯂꯥ
অগরতালাগা,ꯑꯒꯔꯇꯥꯂꯥꯒꯥ
অগরতালাগী,ꯑꯒꯔꯇꯥꯂꯥꯒꯤ
অগরতালাদগী,ꯑꯒꯔꯇꯥꯂꯥꯗꯒꯤ
অগরৱাননা,ꯑꯒꯔꯋꯥꯟꯅꯥ
অগরৱাল,ꯑꯒꯔꯋꯥꯜ
অগরৱালনা,ꯑꯒꯔꯋꯥꯜꯅꯥ
অগরৱালসু,ꯑꯒꯔꯋꯥꯜꯁꯨ
অগষ্ট,ꯑꯒꯁ꯭ꯠ
অগষ্টিন,ꯑꯒꯁ꯭ꯠꯤꯟ
অগস্ত,ꯑꯒꯁ꯭ꯠ
অগাথা,ꯑꯒꯥꯊꯥ
অগানানিনা,ꯑꯒꯥꯅꯥꯅꯤꯅꯥ
অগারৱালনা,ꯑꯒꯥꯔꯋꯥꯜꯅꯥ
অগি,ꯑꯒꯤ
অগী,ꯑꯒꯤ
অগুই,ꯑꯒꯨꯢ
অগুৱাদা,ꯑꯒꯨꯋꯥꯗꯥ
অগে,ꯑꯒꯦ
অগেন্টস,ꯑꯒꯦꯟ꯭ꯠꯁ
অগ্ননি,ꯑꯒ꯭ꯟꯅꯤ
অগ্নানিনা,ꯑꯒ꯭ꯟꯥꯅꯤꯅꯥ
অগ্নিহোত্রিনা,ꯑꯒ꯭ꯟꯤꯍꯣꯠ꯭ꯔꯤꯅꯥ
অগ্নী,ꯑꯒ꯭ꯟꯤ
অগ্রাদা,ꯑꯒ꯭ꯔꯥꯗꯥ
অগ্রানা,ꯑꯒ꯭ꯔꯥꯅꯥ
অগ্রৱালনা,ꯑꯒ꯭ꯔꯋꯥꯜꯅꯥ
অঙংদুনা,ꯑꯉꯪꯗꯨꯅꯥ
অঙংশিংনা,ꯑꯉꯪꯁꯤꯡꯅꯥ
অঙকপনা,ꯑꯪꯛꯞꯅꯥ
অঙকপা,ꯑꯪꯛꯄꯥ
অঙক্পগী,ꯑꯪꯛꯄꯒꯤ
অঙক্পনা,ꯑꯪꯛꯄꯅꯥ
অঙক্পনি,ꯑꯪꯛꯄꯅꯤ
অঙক্পা,ꯑꯪꯛꯄꯥ
অঙখুই,ꯑꯪꯈꯨꯢ
অঙন,ꯑꯪꯟ
অঙনফৌ,ꯑꯪꯟꯐꯧ
অঙনবদগী,ꯑꯪꯟꯕꯗꯒꯤ
অঙনবদা,ꯑꯪꯟꯕꯗꯥ
অঙনবা,ꯑꯪꯟꯕꯥ
অঙন্বদা,ꯑꯪꯟ꯭ꯕꯗꯥ
অঙম,ꯑꯪꯝ
অঙম্,ꯑꯪꯝ
অঙম্বশিংগী,ꯑꯪꯝ꯭ꯕꯁꯤꯡꯒꯤ
অঙম্বা,ꯑꯪꯝ꯭ꯕꯥ
অঙম্বী,ꯑꯪꯝ꯭ꯕꯤ
অঙাং,ꯑꯉꯥꯡ
অঙাংগা,ꯑꯉꯥꯡꯒꯥ
অঙাংগী,ꯑꯉꯥꯡꯒꯤ
অঙাংদা,ꯑꯉꯥꯡꯗꯥ
অঙাংদু,ꯑꯉꯥꯡꯗꯨ
অঙাংদুগী,ꯑꯉꯥꯡꯗꯨꯒꯤ
অঙাংদুনা,ꯑꯉꯥꯡꯗꯨꯅꯥ
অঙাংদো,ꯑꯉꯥꯡꯗꯣ
অঙাংনা,ꯑꯉꯥꯡꯅꯥ
অঙাংনি,ꯑꯉꯥꯡꯅꯤ
অঙাংনিনা,ꯑꯉꯥꯡꯅꯤꯅꯥ
অঙাংনোনে,ꯑꯉꯥꯡꯅꯣꯅꯦ
অঙাংবা,ꯑꯉꯥꯡꯕꯥ
অঙাংবু,ꯑꯉꯥꯡꯕꯨ
অঙাংমচাশিংগী,ꯑꯉꯥꯡꯃꯆꯥꯁꯤꯡꯒꯤ
অঙাংশা,ꯑꯉꯥꯡꯁꯥ
অঙাংশিং,ꯑꯉꯥꯡꯁꯤꯡ
অঙাংশিংগা,ꯑꯉꯥꯡꯁꯤꯡꯒꯥ
অঙাংশিংগী,ꯑꯉꯥꯡꯁꯤꯡꯒꯤ
অঙাংশিংগীদমক,ꯑꯉꯥꯡꯁꯤꯡꯒꯤꯗꯝꯛ
অঙাংশিংগীদমকসু,ꯑꯉꯥꯡꯁꯤꯡꯒꯤꯗꯝꯛꯁꯨ
অঙাংশিংগীনা,ꯑꯉꯥꯡꯁꯤꯡꯒꯤꯅꯥ
অঙাংশিংদগী,ꯑꯉꯥꯡꯁꯤꯡꯗꯒꯤ
অঙাংশিংদা,ꯑꯉꯥꯡꯁꯤꯡꯗꯥ
অঙাংশিংদি,ꯑꯉꯥꯡꯁꯤꯡꯗꯤ
অঙাংশিংদুনা,ꯑꯉꯥꯡꯁꯤꯡꯗꯨꯅꯥ
অঙাংশিংনদি,ꯑꯉꯥꯡꯁꯤꯡꯅꯗꯤ
অঙাংশিংনা,ꯑꯉꯥꯡꯁꯤꯡꯅꯥ
অঙাংশিংবু,ꯑꯉꯥꯡꯁꯤꯡꯕꯨ
অঙাংশিংসু,ꯑꯉꯥꯡꯁꯤꯡꯁꯨ
অঙাংসা,ꯑꯉꯥꯡꯁꯥ
অঙাংসি,ꯑꯉꯥꯡꯁꯤ
অঙাংহল,ꯑꯉꯥꯡꯍꯜ
অঙাওবগী,ꯑꯉꯥꯎꯕꯒꯤ
অঙাওবা,ꯑꯉꯥꯎꯕꯥ
অঙাওবীনি,ꯑꯉꯥꯎꯕꯤꯅꯤ
অঙাওবীরা,ꯑꯉꯥꯎꯕꯤꯔꯥ
অঙাঙ্বমুক,ꯑꯉꯥꯡ꯭ꯕꯃꯨꯛ
অঙাঙ্বমুক্,ꯑꯉꯥꯡ꯭ꯕꯃꯨꯛ
অঙানবনা,ꯑꯉꯥꯟꯕꯅꯥ
অঙানবনি,ꯑꯉꯥꯟꯕꯅꯤ
অঙান্বা,ꯑꯉꯥꯟ꯭ꯕꯥ
অঙাম,ꯑꯉꯥꯝ
অঙাম্বা,ꯑꯉꯥꯝ꯭ꯕꯥ
অঙোম,ꯑꯉꯣꯝ
অঙোমনা,ꯑꯉꯣꯝꯅꯥ
অঙৌবা,ꯑꯉꯧꯕꯥ
অঙৌবাদু,ꯑꯉꯧꯕꯥꯗꯨ
অঙৌবী,ꯑꯉꯧꯕꯤ
অঙ্ক,ꯑꯪ꯭ꯛ
অঙ্কগী,ꯑꯪ꯭ꯛꯒꯤ
অঙ্গত,ꯑꯪ꯭ꯒꯠ
অঙ্গনৱাদি,ꯑꯪ꯭ꯒꯟꯋꯥꯗꯤ
অঙ্গনৱাদিশিং,ꯑꯪ꯭ꯒꯟꯋꯥꯗꯤꯁꯤꯡ
অঙ্গনৱাদিশিংগী,ꯑꯪ꯭ꯒꯟꯋꯥꯗꯤꯁꯤꯡꯒꯤ
অঙ্গনৱারি,ꯑꯪ꯭ꯒꯟꯋꯥꯔꯤ
অঙ্গামিগী,ꯑꯪ꯭ꯒꯥꯃꯤꯒꯤ
অঙ্গামীনা,ꯑꯪ꯭ꯒꯥꯃꯤꯅꯥ
অঙ্গুর,ꯑꯪ꯭ꯒꯨꯔ
অচ,ꯑꯆ
অচংবা,ꯑꯆꯪꯕꯥ
অচনবা,ꯑꯆꯟꯕꯥ
অচম্বা,ꯑꯆꯝ꯭ꯕꯥ
অচা,ꯑꯆꯥ
অচাক্পা,ꯑꯆꯥꯛꯄꯥ
অচাগােৎ,ꯑꯆꯥꯒꯥꯦꯠ
অচাথাউ,ꯑꯆꯥꯊꯥꯎ
অচাথাউগী,ꯑꯆꯥꯊꯥꯎꯒꯤ
অচাথাওনচিংবা,ꯑꯆꯥꯊꯥꯎꯟꯆꯤꯡꯕꯥ
অচান্বগা,ꯑꯆꯥꯟ꯭ꯕꯒꯥ
অচাপোত,ꯑꯆꯥꯄꯣꯠ
অচাবা,ꯑꯆꯥꯕꯥ
অচার,ꯑꯆꯥꯔ
অচারিয়া,ꯑꯆꯥꯔꯤꯌꯥ
অচারিয়ানচিংবা,ꯑꯆꯥꯔꯤꯌꯥꯟꯆꯤꯡꯕꯥ
অচার্য্য,ꯑꯆꯥꯔ꯭ꯢꯌ
অচারয়া,ꯑꯆꯥꯔꯌꯥ
অচিনবা,ꯑꯆꯤꯟꯕꯥ
অচুন,ꯑꯆꯨꯟ
অচুবা,ꯑꯆꯨꯕꯥ
অচুম,ꯑꯆꯨꯝ
অচুম্বগী,ꯑꯆꯨꯝ꯭ꯕꯒꯤ
অচুম্বগীদমক,ꯑꯆꯨꯝ꯭ꯕꯒꯤꯗꯝꯛ
অচুম্বনা,ꯑꯆꯨꯝ꯭ꯕꯅꯥ
অচুম্বনি,ꯑꯆꯨꯝ꯭ꯕꯅꯤ
অচুম্ববু,ꯑꯆꯨꯝ꯭ꯕꯕꯨ
অচুম্বরনে,ꯑꯆꯨꯝ꯭ꯕꯔꯅꯦ
অচুম্বা,ꯑꯆꯨꯝ꯭ꯕꯥ
অচূম্বা,ꯑꯆꯨꯝ꯭ꯕꯥ
অচেৎপ,ꯑꯆꯦꯠꯄ
অচেৎপা,ꯑꯆꯦꯠꯄꯥ
অচোন,ꯑꯆꯣꯟ
অচোনি,ꯑꯆꯣꯅꯤ
অচোন্,ꯑꯆꯣꯟ
অচোন্বা,ꯑꯆꯣꯟ꯭ꯕꯥ
অচোমনা,ꯑꯆꯣꯝꯅꯥ
অচৌ,ꯑꯆꯧ
অচৌগী,ꯑꯆꯧꯒꯤ
অচৌবগী,ꯑꯆꯧꯕꯒꯤ
অচৌবদা,ꯑꯆꯧꯕꯗꯥ
অচৌবদু,ꯑꯆꯧꯕꯗꯨ
অচৌবদুনা,ꯑꯆꯧꯕꯗꯨꯅꯥ
অচৌবনা,ꯑꯆꯧꯕꯅꯥ
অচৌবশিংগী,ꯑꯆꯧꯕꯁꯤꯡꯒꯤ
অচৌবসিনা,ꯑꯆꯧꯕꯁꯤꯅꯥ
অচৌবসু,ꯑꯆꯧꯕꯁꯨ
অচৌবা,ꯑꯆꯧꯕꯥ
অচ্চা,ꯑꯆꯆꯥ
অচ্যারিয়া,ꯑꯆ꯭ꯢꯥꯔꯤꯌꯥ
অচ্যারিয়ানা,ꯑꯆ꯭ꯢꯥꯔꯤꯌꯥꯅꯥ
অচ্যার্য্য,ꯑꯆ꯭ꯢꯥꯔ꯭ꯢꯌ
অচৎ,ꯑꯆꯠ
অজ,ꯑꯖ
অজন্তা,ꯑꯖꯟ꯭ꯠꯥ
অজমর,ꯑꯖꯝꯔ
অজমল,ꯑꯖꯝꯜ
অজমলনচিংবনা,ꯑꯖꯝꯜꯟꯆꯤꯡꯕꯅꯥ
অজমির,ꯑꯖꯃꯤꯔ
অজরবৈজানগী,ꯑꯖꯔꯕꯩꯖꯥꯟꯒꯤ
অজহর,ꯑꯖꯔ
অজাং,ꯑꯖꯥꯡ
অজাতি,ꯑꯖꯥꯇꯤ
অজাদ,ꯑꯖꯥꯗ
অজাদকী,ꯑꯖꯥꯗꯀꯤ
অজাদনসু,ꯑꯖꯥꯗꯟꯁꯨ
অজাদনা,ꯑꯖꯥꯗꯅꯥ
অজাদি,ꯑꯖꯥꯗꯤ
অজাদিকা,ꯑꯖꯥꯗꯤꯀꯥ
অজাদিকি,ꯑꯖꯥꯗꯤꯀꯤ
অজাদিগা,ꯑꯖꯥꯗꯤꯒꯥ
অজাম,ꯑꯖꯥꯝ
অজাহিন্দ,ꯑꯖꯥꯍꯤꯟ꯭ꯗ
অজিউরম,ꯑꯖꯤꯎꯔꯝ
অজিজুল,ꯑꯖꯤꯖꯨꯜ
অজিট,ꯑꯖꯤꯠ
অজিত,ꯑꯖꯤꯠ
অজিনক্যা,ꯑꯖꯤꯟꯛ꯭ꯢꯥ
অজিৎ,ꯑꯖꯤꯠ
অজুরাম,ꯑꯖꯨꯔꯥꯝ
অজোয়,ꯑꯖꯣꯢ
অজয়,ꯑꯖꯢ
অঞ্জাম,ꯑꯟ꯭ꯖꯥꯝ
অঞ্জুমাননা,ꯑꯟ꯭ꯖꯨꯃꯥꯟꯅꯥ
অটল,ꯑꯠꯜ
অটশুম,ꯑꯠꯁꯨꯝ
অটশুমগী,ꯑꯠꯁꯨꯝꯒꯤ
অটশুমনা,ꯑꯠꯁꯨꯝꯅꯥ
অটসুম,ꯑꯠꯁꯨꯝ
অটসুমগী,ꯑꯠꯁꯨꯝꯒꯤ
অটুল,ꯑꯇꯨꯜ
অতত্পা,ꯑꯠꯠꯄꯥ
অতপ্পা,ꯑꯠꯞꯄꯥ
অতম্ননা,ꯑꯠꯝ꯭ꯟꯅꯥ
অতল,ꯑꯠꯜ
অতা,ꯑꯇꯥ
অতাংবা,ꯑꯇꯥꯡꯕꯥ
অতাওবনচীংবা,ꯑꯇꯥꯎꯕꯟꯆꯤꯡꯕꯥ
অতাঙবা,ꯑꯇꯥꯡꯕꯥ
অতানা,ꯑꯇꯥꯅꯥ
অতানু,ꯑꯇꯥꯅꯨ
অতাবা,ꯑꯇꯥꯕꯥ
অতাশিং,ꯑꯇꯥꯁꯤꯡ
অতাশিংগী,ꯑꯇꯥꯁꯤꯡꯒꯤ
অতাশিংদগী,ꯑꯇꯥꯁꯤꯡꯗꯒꯤ
অতি,ꯑꯇꯤ
অতিথি,ꯑꯇꯤꯊꯤ
অতিয়া,ꯑꯇꯤꯌꯥ
অতিয়াগী,ꯑꯇꯤꯌꯥꯒꯤ
অতিয়াদা,ꯑꯇꯤꯌꯥꯗꯥ
অতুম্বা,ꯑꯇꯨꯝ꯭ꯕꯥ
অতুল,ꯑꯇꯨꯜ
অতে,ꯑꯇꯦ
অতেক,ꯑꯇꯦꯛ
অতেক্পকা,ꯑꯇꯦꯛꯄꯀꯥ
অতেক্পা,ꯑꯇꯦꯛꯄꯥ
অতেনবা,ꯑꯇꯦꯟꯕꯥ
অতেলি,ꯑꯇꯦꯂꯤ
অতেলিদগী,ꯑꯇꯦꯂꯤꯗꯒꯤ
অতৈ,ꯑꯇꯩ
অতৈগা,ꯑꯇꯩꯒꯥ
অতৈগী,ꯑꯇꯩꯒꯤ
অতৈগুম,ꯑꯇꯩꯒꯨꯝ
অতৈদগী,ꯑꯇꯩꯗꯒꯤ
অতৈদসু,ꯑꯇꯩꯗꯁꯨ
অতৈদা,ꯑꯇꯩꯗꯥ
অতৈদি,ꯑꯇꯩꯗꯤ
অতৈনা,ꯑꯇꯩꯅꯥ
অতোই,ꯑꯇꯣꯢ
অতোন্বগী,ꯑꯇꯣꯟ꯭ꯕꯒꯤ
অতোন্বদুনা,ꯑꯇꯣꯟ꯭ꯕꯗꯨꯅꯥ
অতোন্বনা,ꯑꯇꯣꯟ꯭ꯕꯅꯥ
অতোন্বনি,ꯑꯇꯣꯟ꯭ꯕꯅꯤ
অতোন্ববুনা,ꯑꯇꯣꯟ꯭ꯕꯕꯨꯅꯥ
অতোন্বা,ꯑꯇꯣꯟ꯭ꯕꯥ
অতোন্বী,ꯑꯇꯣꯟ꯭ꯕꯤ
অতোন্বীনা,ꯑꯇꯣꯟ꯭ꯕꯤꯅꯥ
অতোপ,ꯑꯇꯣꯞ
অতোপশিং,ꯑꯇꯣꯞꯁꯤꯡ
অতোপা,ꯑꯇꯣꯄꯥ
অতোপ্,ꯑꯇꯣꯞ
অতোপ্পগী,ꯑꯇꯣꯞꯄꯒꯤ
অতোপ্পগীসু,ꯑꯇꯣꯞꯄꯒꯤꯁꯨ
অতোপ্পদা,ꯑꯇꯣꯞꯄꯗꯥ
অতোপ্পশিংদগী,ꯑꯇꯣꯞꯄꯁꯤꯡꯗꯒꯤ
অতোপ্পশিংদা,ꯑꯇꯣꯞꯄꯁꯤꯡꯗꯥ
অতোপ্পশিংবু,ꯑꯇꯣꯞꯄꯁꯤꯡꯕꯨ
অতোপ্পা,ꯑꯇꯣꯞꯄꯥ
অতোম্বদুদি,ꯑꯇꯣꯝ꯭ꯕꯗꯨꯗꯤ
অতোম্বনা,ꯑꯇꯣꯝ꯭ꯕꯅꯥ
অতোম্বা,ꯑꯇꯣꯝ꯭ꯕꯥ
অতোম্বিনি,ꯑꯇꯣꯝ꯭ꯕꯤꯅꯤ
অতোম্বী,ꯑꯇꯣꯝ꯭ꯕꯤ
অতোম্বীগী,ꯑꯇꯣꯝ꯭ꯕꯤꯒꯤ
অতোম্বীদা,ꯑꯇꯣꯝ꯭ꯕꯤꯗꯥ
অতোম্বীদুদা,ꯑꯇꯣꯝ꯭ꯕꯤꯗꯨꯗꯥ
অতোম্বীনা,ꯑꯇꯣꯝ꯭ꯕꯤꯅꯥ
অতোম্বীবু,ꯑꯇꯣꯝ꯭ꯕꯤꯕꯨ
অতোম্বীসিবু,ꯑꯇꯣꯝ꯭ꯕꯤꯁꯤꯕꯨ
অতোলদা,ꯑꯇꯣꯜꯗꯥ
অতোয়,ꯑꯇꯣꯢ
অতৌখোংদা,ꯑꯇꯧꯈꯣꯡꯗꯥ
অতৌবা,ꯑꯇꯧꯕꯥ
অত্ন,ꯑꯠ꯭ꯟ
অত্ম,ꯑꯠ꯭ꯝ
অত্মনিভর,ꯑꯠ꯭ꯝꯅꯤꯚꯔ
অত্মনিরভর,ꯑꯠ꯭ꯝꯅꯤꯔꯚꯔ
অত্মা,ꯑꯠ꯭ꯝꯥ
অত্মাঘাৎ,ꯑꯠ꯭ꯝꯥꯘꯥꯠ
অত্মানা,ꯑꯠ꯭ꯝꯥꯅꯥ
অত্মানি,ꯑꯠ꯭ꯝꯥꯅꯤ
অত্মানিভর,ꯑꯠ꯭ꯝꯥꯅꯤꯚꯔ
অত্মানিরভর,ꯑꯠ꯭ꯝꯥꯅꯤꯔꯚꯔ
অত্মানিরভরতা,ꯑꯠ꯭ꯝꯥꯅꯤꯔꯚꯔꯇꯥ
অত্মানিরভরতাগী,ꯑꯠ꯭ꯝꯥꯅꯤꯔꯚꯔꯇꯥꯒꯤ
অত্মানিরভার,ꯑꯠ꯭ꯝꯥꯅꯤꯔꯚꯥꯔ
