অ	ꯑ
অকায়	ꯑꯀꯥꯌ
অকায়গী	ꯑꯀꯥꯌꯒꯤ
অকায়দগী	ꯑꯀꯥꯌꯗꯒꯤ
অকায়বদি	ꯑꯀꯥꯌꯕꯗꯤ
অকায়বশিং	ꯑꯀꯥꯌꯕꯁꯤꯪ
অকায়বা	ꯑꯀꯥꯌꯕꯥ
অকায়শিং	ꯑꯀꯥꯌꯁꯤꯪ
অকায়শিংসু	ꯑꯀꯥꯌꯁꯤꯪꯁꯨ
অকায়্বা	ꯑꯀꯥꯌ্ꯕꯥ
অকি	ꯑꯀꯤ
অকিব	ꯑꯀꯤꯕ
অকিবগী	ꯑꯀꯤꯕꯒꯤ
অকিবনা	ꯑꯀꯤꯕꯅꯥ
অকিবশিং	ꯑꯀꯤꯕꯁꯤꯪ
অকিবা	ꯑꯀꯤꯕꯥ
অকিল	ꯑꯀꯤꯂ
অকুপ্পা	ꯑꯀꯨꯞꯄꯥ
অকুম	ꯑꯀꯨꯃ
অকুৎপা	ꯑꯀꯨꯇꯄꯥ
অকূপ্পা	ꯑꯀꯨꯞꯄꯥ
অকে	ꯑꯀꯦ
অকোইজম	ꯑꯀꯣꯏꯖꯃ
অকোইবগী	ꯑꯀꯣꯏꯕꯒꯤ
অকোইবদা	ꯑꯀꯣꯏꯕꯗꯥ
অকোইবা	ꯑꯀꯣꯏꯕꯥ
অকোনগী	ꯑꯀꯣꯅꯒꯤ
অকোনবগী	ꯑꯀꯣꯅꯕꯒꯤ
অকোন্বগী	ꯑꯀꯣꯟꯕꯒꯤ
অকোন্বদদি	ꯑꯀꯣꯟꯕꯗꯗꯤ
অকোম	ꯑꯀꯣꯃ
অকোমবা	ꯑꯀꯣꯃꯕꯥ
অকোয়বগী	ꯑꯀꯣꯌꯕꯒꯤ
অকোয়বদা	ꯑꯀꯣꯌꯕꯗꯥ
অকোয়বা	ꯑꯀꯣꯌꯕꯥ
অকোয়সনানা	ꯑꯀꯣꯌꯁꯅꯥꯅꯥ
অকোয়্বদা	ꯑꯀꯣꯌ্ꯕꯗꯥ
অকোয়্বদু	ꯑꯀꯣꯌ্ꯕꯗꯨ
অকোয়্বা	ꯑꯀꯣꯌ্ꯕꯥ
অক্তর	ꯑꯛꯇꯔ
অক্তরনা	ꯑꯛꯇꯔꯅꯥ
অকয়াদা	ꯑꯀꯌꯥꯗꯥ
অখং	ꯑꯈꯪ
অখঙ	ꯑꯈꯉ
অখঙবা	ꯑꯈꯉꯕꯥ
অখন্দা	ꯑꯈꯟꯗꯥ
অখন্ননা	ꯑꯈꯟꯅꯅꯥ
অখন্নবা	ꯑꯈꯟꯅꯕꯥ
অখম	ꯑꯈꯃ
অখাক	ꯑꯈꯥꯀ
অখাকপা	ꯑꯈꯥꯀꯄꯥ
অখাঙ	ꯑꯈꯥꯉ
অখাম	ꯑꯈꯥꯃ
অখিল	ꯑꯈꯤꯂ
অখিলেস	ꯑꯈꯤꯂꯦꯁ
অখুই	ꯑꯈꯨꯏ
অখুনজদাগী	ꯑꯈꯨꯅꯖꯗꯥꯒꯤ
অখুনজদানা	ꯑꯈꯨꯅꯖꯗꯥꯅꯥ
অখুন্দ	ꯑꯈꯨꯟꯗ
অখুন্দজাদানা	ꯑꯈꯨꯟꯗꯖꯥꯗꯥꯅꯥ
অখুন্দনা	ꯑꯈꯨꯟꯗꯅꯥ
অখুবা	ꯑꯈꯨꯕꯥ
অখুম	ꯑꯈꯨꯃ
অখোন্বা	ꯑꯈꯣꯟꯕꯥ
অখোয়	ꯑꯈꯣꯌ
অখোয়্দি	ꯑꯈꯣꯌ্ꯗꯤ
অগনানিনা	ꯑꯒꯅꯥꯅꯤꯅꯥ
অগনি	ꯑꯒꯅꯤ
অগনৈসকা	ꯑꯒꯅꯩꯁꯀꯥ
অগনৱাদি	ꯑꯒꯅꯋꯥꯗꯤ
অগভা	ꯑꯒꯚꯥ
অগর	ꯑꯒꯔ
অগরগী	ꯑꯒꯔꯒꯤ
অগরটলা	ꯑꯒꯔꯇꯂꯥ
অগরটলাগী	ꯑꯒꯔꯇꯂꯥꯒꯤ
অগরটলাগীদমক	ꯑꯒꯔꯇꯂꯥꯒꯤꯗꯃꯀ
অগরটলাদা	ꯑꯒꯔꯇꯂꯥꯗꯥ
অগরতালা	ꯑꯒꯔꯇꯥꯂꯥ
অগরতালাগা	ꯑꯒꯔꯇꯥꯂꯥꯒꯥ
অগরতালাগী	ꯑꯒꯔꯇꯥꯂꯥꯒꯤ
অগরতালাদগী	ꯑꯒꯔꯇꯥꯂꯥꯗꯒꯤ
অগরৱাননা	ꯑꯒꯔꯋꯥꯅꯅꯥ
অগরৱাল	ꯑꯒꯔꯋꯥꯂ
অগরৱালনা	ꯑꯒꯔꯋꯥꯂꯅꯥ
অগরৱালসু	ꯑꯒꯔꯋꯥꯂꯁꯨ
অগষ্ট	ꯑꯒꯁ্ꯇ
অগষ্টিন	ꯑꯒꯁ্ꯇꯤꯅ
অগস্ত	ꯑꯒꯁ্ꯇ
অগাথা	ꯑꯒꯥꯊꯥ
অগানানিনা	ꯑꯒꯥꯅꯥꯅꯤꯅꯥ
অগারৱালনা	ꯑꯒꯥꯔꯋꯥꯂꯅꯥ
অগি	ꯑꯒꯤ
অগী	ꯑꯒꯤ
অগুই	ꯑꯒꯨꯏ
অগুৱাদা	ꯑꯒꯨꯋꯥꯗꯥ
অগে	ꯑꯒꯦ
অগেন্টস	ꯑꯒꯦꯟꯇꯁ
অগ্ননি	ꯑꯒ্ꯅꯅꯤ
অগ্নানিনা	ꯑꯒ্ꯅꯥꯅꯤꯅꯥ
অগ্নিহোত্রিনা	ꯑꯒ্ꯅꯤꯍꯣꯠꯔꯤꯅꯥ
অগ্নী	ꯑꯒ্ꯅꯤ
অগ্রাদা	ꯑꯒ্ꯔꯥꯗꯥ
অগ্রানা	ꯑꯒ্ꯔꯥꯅꯥ
অগ্রৱালনা	ꯑꯒ্ꯔꯋꯥꯂꯅꯥ
অঙংদুনা	ꯑꯉꯪꯗꯨꯅꯥ
অঙংশিংনা	ꯑꯉꯪꯁꯤꯪꯅꯥ
অঙকপনা	ꯑꯉꯀꯄꯅꯥ
অঙকপা	ꯑꯉꯀꯄꯥ
অঙক্পগী	ꯑꯉꯛꯄꯒꯤ
অঙক্পনা	ꯑꯉꯛꯄꯅꯥ
অঙক্পনি	ꯑꯉꯛꯄꯅꯤ
অঙক্পা	ꯑꯉꯛꯄꯥ
অঙখুই	ꯑꯉꯈꯨꯏ
অঙন	ꯑꯉꯅ
অঙনফৌ	ꯑꯉꯅꯐꯧ
অঙনবদগী	ꯑꯉꯅꯕꯗꯒꯤ
অঙনবদা	ꯑꯉꯅꯕꯗꯥ
অঙনবা	ꯑꯉꯅꯕꯥ
অঙন্বদা	ꯑꯉꯟꯕꯗꯥ
অঙম	ꯑꯉꯃ
অঙম্	ꯑꯉꯝ
অঙম্বশিংগী	ꯑꯉꯝꯕꯁꯤꯪꯒꯤ
অঙম্বা	ꯑꯉꯝꯕꯥ
অঙম্বী	ꯑꯉꯝꯕꯤ
অঙাং	ꯑꯉꯥꯪ
অঙাংগা	ꯑꯉꯥꯪꯒꯥ
অঙাংগী	ꯑꯉꯥꯪꯒꯤ
অঙাংদা	ꯑꯉꯥꯪꯗꯥ
অঙাংদু	ꯑꯉꯥꯪꯗꯨ
অঙাংদুগী	ꯑꯉꯥꯪꯗꯨꯒꯤ
অঙাংদুনা	ꯑꯉꯥꯪꯗꯨꯅꯥ
অঙাংদো	ꯑꯉꯥꯪꯗꯣ
অঙাংনা	ꯑꯉꯥꯪꯅꯥ
অঙাংনি	ꯑꯉꯥꯪꯅꯤ
অঙাংনিনা	ꯑꯉꯥꯪꯅꯤꯅꯥ
অঙাংনোনে	ꯑꯉꯥꯪꯅꯣꯅꯦ
অঙাংবা	ꯑꯉꯥꯪꯕꯥ
অঙাংবু	ꯑꯉꯥꯪꯕꯨ
অঙাংমচাশিংগী	ꯑꯉꯥꯪꯃꯆꯥꯁꯤꯪꯒꯤ
অঙাংশা	ꯑꯉꯥꯪꯁꯥ
অঙাংশিং	ꯑꯉꯥꯪꯁꯤꯪ
অঙাংশিংগা	ꯑꯉꯥꯪꯁꯤꯪꯒꯥ
অঙাংশিংগী	ꯑꯉꯥꯪꯁꯤꯪꯒꯤ
অঙাংশিংগীদমক	ꯑꯉꯥꯪꯁꯤꯪꯒꯤꯗꯃꯀ
অঙাংশিংগীদমকসু	ꯑꯉꯥꯪꯁꯤꯪꯒꯤꯗꯃꯀꯁꯨ
অঙাংশিংগীনা	ꯑꯉꯥꯪꯁꯤꯪꯒꯤꯅꯥ
অঙাংশিংদগী	ꯑꯉꯥꯪꯁꯤꯪꯗꯒꯤ
অঙাংশিংদা	ꯑꯉꯥꯪꯁꯤꯪꯗꯥ
অঙাংশিংদি	ꯑꯉꯥꯪꯁꯤꯪꯗꯤ
অঙাংশিংদুনা	ꯑꯉꯥꯪꯁꯤꯪꯗꯨꯅꯥ
অঙাংশিংনদি	ꯑꯉꯥꯪꯁꯤꯪꯅꯗꯤ
অঙাংশিংনা	ꯑꯉꯥꯪꯁꯤꯪꯅꯥ
অঙাংশিংবু	ꯑꯉꯥꯪꯁꯤꯪꯕꯨ
অঙাংশিংসু	ꯑꯉꯥꯪꯁꯤꯪꯁꯨ
অঙাংসা	ꯑꯉꯥꯪꯁꯥ
অঙাংসি	ꯑꯉꯥꯪꯁꯤ
অঙাংহল	ꯑꯉꯥꯪꯍꯂ
অঙাওবগী	ꯑꯉꯥꯑꯣꯕꯒꯤ
অঙাওবা	ꯑꯉꯥꯑꯣꯕꯥ
অঙাওবীনি	ꯑꯉꯥꯑꯣꯕꯤꯅꯤ
অঙাওবীরা	ꯑꯉꯥꯑꯣꯕꯤꯔꯥ
অঙাঙ্বমুক	ꯑꯉꯥꯡꯕꯃꯨꯀ
অঙাঙ্বমুক্	ꯑꯉꯥꯡꯕꯃꯨꯛ
অঙানবনা	ꯑꯉꯥꯅꯕꯅꯥ
অঙানবনি	ꯑꯉꯥꯅꯕꯅꯤ
অঙান্বা	ꯑꯉꯥꯟꯕꯥ
অঙাম	ꯑꯉꯥꯃ
অঙাম্বা	ꯑꯉꯥꯝꯕꯥ
অঙোম	ꯑꯉꯣꯃ
অঙোমনা	ꯑꯉꯣꯃꯅꯥ
অঙৌবা	ꯑꯉꯧꯕꯥ
অঙৌবাদু	ꯑꯉꯧꯕꯥꯗꯨ
অঙৌবী	ꯑꯉꯧꯕꯤ
অঙ্ক	ꯑꯡꯀ
অঙ্কগী	ꯑꯡꯀꯒꯤ
অঙ্গত	ꯑꯡꯒꯇ
অঙ্গনৱাদি	ꯑꯡꯒꯅꯋꯥꯗꯤ
অঙ্গনৱাদিশিং	ꯑꯡꯒꯅꯋꯥꯗꯤꯁꯤꯪ
অঙ্গনৱাদিশিংগী	ꯑꯡꯒꯅꯋꯥꯗꯤꯁꯤꯪꯒꯤ
অঙ্গনৱারি	ꯑꯡꯒꯅꯋꯥꯔꯤ
অঙ্গামিগী	ꯑꯡꯒꯥꯃꯤꯒꯤ
অঙ্গামীনা	ꯑꯡꯒꯥꯃꯤꯅꯥ
অঙ্গুর	ꯑꯡꯒꯨꯔ
অচ	ꯑꯆ
অচংবা	ꯑꯆꯪꯕꯥ
অচনবা	ꯑꯆꯅꯕꯥ
অচম্বা	ꯑꯆꯝꯕꯥ
অচা	ꯑꯆꯥ
অচাক্পা	ꯑꯆꯥꯛꯄꯥ
অচাগােৎ	ꯑꯆꯥꯒꯥꯦꯇ
অচাথাউ	ꯑꯆꯥꯊꯥꯎ
অচাথাউগী	ꯑꯆꯥꯊꯥꯎꯒꯤ
অচাথাওনচিংবা	ꯑꯆꯥꯊꯥꯑꯣꯅꯆꯤꯪꯕꯥ
অচান্বগা	ꯑꯆꯥꯟꯕꯒꯥ
অচাপোত	ꯑꯆꯥꯄꯣꯇ
অচাবা	ꯑꯆꯥꯕꯥ
অচার	ꯑꯆꯥꯔ
অচারিয়া	ꯑꯆꯥꯔꯤꯌꯥ
অচারিয়ানচিংবা	ꯑꯆꯥꯔꯤꯌꯥꯅꯆꯤꯪꯕꯥ
অচার্য্য	ꯑꯆꯥꯔ্ꯌ্ꯌ
অচারয়া	ꯑꯆꯥꯔꯌꯥ
অচিনবা	ꯑꯆꯤꯅꯕꯥ
অচুন	ꯑꯆꯨꯅ
অচুবা	ꯑꯆꯨꯕꯥ
অচুম	ꯑꯆꯨꯃ
অচুম্বগী	ꯑꯆꯨꯝꯕꯒꯤ
অচুম্বগীদমক	ꯑꯆꯨꯝꯕꯒꯤꯗꯃꯀ
অচুম্বনা	ꯑꯆꯨꯝꯕꯅꯥ
অচুম্বনি	ꯑꯆꯨꯝꯕꯅꯤ
অচুম্ববু	ꯑꯆꯨꯝꯕꯕꯨ
অচুম্বরনে	ꯑꯆꯨꯝꯕꯔꯅꯦ
অচুম্বা	ꯑꯆꯨꯝꯕꯥ
অচূম্বা	ꯑꯆꯨꯝꯕꯥ
অচেৎপ	ꯑꯆꯦꯇꯄ
অচেৎপা	ꯑꯆꯦꯇꯄꯥ
অচোন	ꯑꯆꯣꯅ
অচোনি	ꯑꯆꯣꯅꯤ
অচোন্	ꯑꯆꯣꯟ
অচোন্বা	ꯑꯆꯣꯟꯕꯥ
অচোমনা	ꯑꯆꯣꯃꯅꯥ
অচৌ	ꯑꯆꯧ
অচৌগী	ꯑꯆꯧꯒꯤ
অচৌবগী	ꯑꯆꯧꯕꯒꯤ
অচৌবদা	ꯑꯆꯧꯕꯗꯥ
অচৌবদু	ꯑꯆꯧꯕꯗꯨ
অচৌবদুনা	ꯑꯆꯧꯕꯗꯨꯅꯥ
অচৌবনা	ꯑꯆꯧꯕꯅꯥ
অচৌবশিংগী	ꯑꯆꯧꯕꯁꯤꯪꯒꯤ
অচৌবসিনা	ꯑꯆꯧꯕꯁꯤꯅꯥ
অচৌবসু	ꯑꯆꯧꯕꯁꯨ
অচৌবা	ꯑꯆꯧꯕꯥ
অচ্চা	ꯑꯆ্ꯆꯥ
অচ্যারিয়া	ꯑꯆ্ꯌꯥꯔꯤꯌꯥ
অচ্যারিয়ানা	ꯑꯆ্ꯌꯥꯔꯤꯌꯥꯅꯥ
অচ্যার্য্য	ꯑꯆ্ꯌꯥꯔ্ꯌ্ꯌ
অচৎ	ꯑꯆꯇ
অজ	ꯑꯖ
অজন্তা	ꯑꯖꯟꯇꯥ
অজমর	ꯑꯖꯃꯔ
অজমল	ꯑꯖꯃꯂ
অজমলনচিংবনা	ꯑꯖꯃꯂꯅꯆꯤꯪꯕꯅꯥ
অজমির	ꯑꯖꯃꯤꯔ
অজরবৈজানগী	ꯑꯖꯔꯕꯩꯖꯥꯅꯒꯤ
অজহর	ꯑꯖꯍꯔ
অজাং	ꯑꯖꯥꯪ
অজাতি	ꯑꯖꯥꯇꯤ
অজাদ	ꯑꯖꯥꯗ
অজাদকী	ꯑꯖꯥꯗꯀꯤ
অজাদনসু	ꯑꯖꯥꯗꯅꯁꯨ
অজাদনা	ꯑꯖꯥꯗꯅꯥ
অজাদি	ꯑꯖꯥꯗꯤ
অজাদিকা	ꯑꯖꯥꯗꯤꯀꯥ
অজাদিকি	ꯑꯖꯥꯗꯤꯀꯤ
অজাদিগা	ꯑꯖꯥꯗꯤꯒꯥ
অজাম	ꯑꯖꯥꯃ
অজাহিন্দ	ꯑꯖꯥꯍꯤꯟꯗ
অজিউরম	ꯑꯖꯤꯎꯔꯃ
অজিজুল	ꯑꯖꯤꯖꯨꯂ
অজিট	ꯑꯖꯤꯇ
অজিত	ꯑꯖꯤꯇ
অজিনক্যা	ꯑꯖꯤꯅꯛꯌꯥ
অজিৎ	ꯑꯖꯤꯇ
অজুরাম	ꯑꯖꯨꯔꯥꯃ
অজোয়	ꯑꯖꯣꯌ
অজয়	ꯑꯖꯌ
অঞ্জাম	ꯑꯅ্ꯖꯥꯃ
অঞ্জুমাননা	ꯑꯅ্ꯖꯨꯃꯥꯅꯅꯥ
অটল	ꯑꯇꯂ
অটশুম	ꯑꯇꯁꯨꯃ
অটশুমগী	ꯑꯇꯁꯨꯃꯒꯤ
অটশুমনা	ꯑꯇꯁꯨꯃꯅꯥ
অটসুম	ꯑꯇꯁꯨꯃ
অটসুমগী	ꯑꯇꯁꯨꯃꯒꯤ
অটুল	ꯑꯇꯨꯂ
অতত্পা	ꯑꯇꯠꯄꯥ
অতপ্পা	ꯑꯇꯞꯄꯥ
অতম্ননা	ꯑꯇꯝꯅꯅꯥ
অতল	ꯑꯇꯂ
অতা	ꯑꯇꯥ
অতাংবা	ꯑꯇꯥꯪꯕꯥ
অতাওবনচীংবা	ꯑꯇꯥꯑꯣꯕꯅꯆꯤꯪꯕꯥ
অতাঙবা	ꯑꯇꯥꯉꯕꯥ
অতানা	ꯑꯇꯥꯅꯥ
অতানু	ꯑꯇꯥꯅꯨ
অতাবা	ꯑꯇꯥꯕꯥ
অতাশিং	ꯑꯇꯥꯁꯤꯪ
অতাশিংগী	ꯑꯇꯥꯁꯤꯪꯒꯤ
অতাশিংদগী	ꯑꯇꯥꯁꯤꯪꯗꯒꯤ
অতি	ꯑꯇꯤ
অতিথি	ꯑꯇꯤꯊꯤ
অতিয়া	ꯑꯇꯤꯌꯥ
অতিয়াগী	ꯑꯇꯤꯌꯥꯒꯤ
অতিয়াদা	ꯑꯇꯤꯌꯥꯗꯥ
অতুম্বা	ꯑꯇꯨꯝꯕꯥ
অতুল	ꯑꯇꯨꯂ
অতে	ꯑꯇꯦ
অতেক	ꯑꯇꯦꯀ
অতেক্পকা	ꯑꯇꯦꯛꯄꯀꯥ
অতেক্পা	ꯑꯇꯦꯛꯄꯥ
অতেনবা	ꯑꯇꯦꯅꯕꯥ
অতেলি	ꯑꯇꯦꯂꯤ
অতেলিদগী	ꯑꯇꯦꯂꯤꯗꯒꯤ
অতৈ	ꯑꯇꯩ
অতৈগা	ꯑꯇꯩꯒꯥ
অতৈগী	ꯑꯇꯩꯒꯤ
অতৈগুম	ꯑꯇꯩꯒꯨꯃ
অতৈদগী	ꯑꯇꯩꯗꯒꯤ
অতৈদসু	ꯑꯇꯩꯗꯁꯨ
অতৈদা	ꯑꯇꯩꯗꯥ
অতৈদি	ꯑꯇꯩꯗꯤ
অতৈনা	ꯑꯇꯩꯅꯥ
অতোই	ꯑꯇꯣꯏ
অতোন্বগী	ꯑꯇꯣꯟꯕꯒꯤ
অতোন্বদুনা	ꯑꯇꯣꯟꯕꯗꯨꯅꯥ
অতোন্বনা	ꯑꯇꯣꯟꯕꯅꯥ
অতোন্বনি	ꯑꯇꯣꯟꯕꯅꯤ
অতোন্ববুনা	ꯑꯇꯣꯟꯕꯕꯨꯅꯥ
অতোন্বা	ꯑꯇꯣꯟꯕꯥ
অতোন্বী	ꯑꯇꯣꯟꯕꯤ
অতোন্বীনা	ꯑꯇꯣꯟꯕꯤꯅꯥ
অতোপ	ꯑꯇꯣꯄ
অতোপশিং	ꯑꯇꯣꯄꯁꯤꯪ
অতোপা	ꯑꯇꯣꯄꯥ
অতোপ্	ꯑꯇꯣꯞ
অতোপ্পগী	ꯑꯇꯣꯞꯄꯒꯤ
অতোপ্পগীসু	ꯑꯇꯣꯞꯄꯒꯤꯁꯨ
অতোপ্পদা	ꯑꯇꯣꯞꯄꯗꯥ
অতোপ্পশিংদগী	ꯑꯇꯣꯞꯄꯁꯤꯪꯗꯒꯤ
অতোপ্পশিংদা	ꯑꯇꯣꯞꯄꯁꯤꯪꯗꯥ
অতোপ্পশিংবু	ꯑꯇꯣꯞꯄꯁꯤꯪꯕꯨ
অতোপ্পা	ꯑꯇꯣꯞꯄꯥ
অতোম্বদুদি	ꯑꯇꯣꯝꯕꯗꯨꯗꯤ
অতোম্বনা	ꯑꯇꯣꯝꯕꯅꯥ
অতোম্বা	ꯑꯇꯣꯝꯕꯥ
অতোম্বিনি	ꯑꯇꯣꯝꯕꯤꯅꯤ
অতোম্বী	ꯑꯇꯣꯝꯕꯤ
অতোম্বীগী	ꯑꯇꯣꯝꯕꯤꯒꯤ
অতোম্বীদা	ꯑꯇꯣꯝꯕꯤꯗꯥ
অতোম্বীদুদা	ꯑꯇꯣꯝꯕꯤꯗꯨꯗꯥ
অতোম্বীনা	ꯑꯇꯣꯝꯕꯤꯅꯥ
অতোম্বীবু	ꯑꯇꯣꯝꯕꯤꯕꯨ
অতোম্বীসিবু	ꯑꯇꯣꯝꯕꯤꯁꯤꯕꯨ
অতোলদা	ꯑꯇꯣꯂꯗꯥ
অতোয়	ꯑꯇꯣꯌ
অতৌখোংদা	ꯑꯇꯧꯈꯣꯪꯗꯥ
অতৌবা	ꯑꯇꯧꯕꯥ
অত্ন	ꯑꯠꯅ
অত্ম	ꯑꯠꯃ
অত্মনিভর	ꯑꯠꯃꯅꯤꯚꯔ
অত্মনিরভর	ꯑꯠꯃꯅꯤꯔꯚꯔ
অত্মা	ꯑꯠꯃꯥ
অত্মাঘাৎ	ꯑꯠꯃꯥꯘꯥꯇ
অত্মানা	ꯑꯠꯃꯥꯅꯥ
অত্মানি	ꯑꯠꯃꯥꯅꯤ
অত্মানিভর	ꯑꯠꯃꯥꯅꯤꯚꯔ
অত্মানিরভর	ꯑꯠꯃꯥꯅꯤꯔꯚꯔ
অত্মানিরভরতা	ꯑꯠꯃꯥꯅꯤꯔꯚꯔꯇꯥ
অত্মানিরভরতাগী	ꯑꯠꯃꯥꯅꯤꯔꯚꯔꯇꯥꯒꯤ
অত্মানিরভার	ꯑꯠꯃꯥꯅꯤꯔꯚꯥꯔ
অতৎ	ꯑꯇꯇ
অথংবা	ꯑꯊꯪꯕꯥ
অথক	ꯑꯊꯀ
অথকশিং	ꯑꯊꯀꯁꯤꯪ
অথক্লা	ꯑꯊꯛꯂꯥ
অথন্বা	ꯑꯊꯟꯕꯥ
অথাপ্পা	ꯑꯊꯥꯞꯄꯥ
অথাবা	ꯑꯊꯥꯕꯥ
অথিংবদি	ꯑꯊꯤꯪꯕꯗꯤ
অথিংবশিং	ꯑꯊꯤꯪꯕꯁꯤꯪ
অথিংবসি	ꯑꯊꯤꯪꯕꯁꯤ
অথিংবসু	ꯑꯊꯤꯪꯕꯁꯨ
অথিংবা	ꯑꯊꯤꯪꯕꯥ
অথু	ꯑꯊꯨ
অথুপ	ꯑꯊꯨꯄ
অথুব	ꯑꯊꯨꯕ
অথুবদ	ꯑꯊꯨꯕꯗ
অথুবদা	ꯑꯊꯨꯕꯗꯥ
