অংথা	ꯑꯪꯊꯥ
অগরতালা	ꯑꯒꯔꯇꯥꯂꯥ
অগরতালাগা	ꯑꯒꯔꯇꯥꯂꯥꯒꯥ
অগরতালাগী	ꯑꯒꯔꯇꯥꯂꯥꯒꯤ
অগরতালাদগী	ꯑꯒꯔꯇꯥꯂꯥꯗꯒꯤ
অগরৱাননা	ꯑꯒꯔꯋꯥꯟꯅꯥ
অগরৱাল	ꯑꯒꯔꯋꯥꯜ
অগরৱালনা	ꯑꯒꯔꯋꯥꯜꯅꯥ
অগরৱালসু	ꯑꯒꯔꯋꯥꯜꯁꯨ
অগষ্ট	ꯑꯒꯁ꯭ꯇ
অগষ্টিন	ꯑꯒꯁ꯭ꯇꯤꯟ
অগাথা	ꯑꯒꯥꯊꯥ
অগানানিনা	ꯑꯒꯥꯅꯥꯅꯤꯅ
অগারৱালনা	ꯑꯒꯥꯔꯋꯥꯜꯅ
অগুই	ꯑꯒꯨꯢ
অগুৱাদা	ꯑꯒꯨꯋꯥꯥꯗꯥ
অগ্ননি	ꯑꯒꯅꯅꯤ
অগ্নানিনা	ꯑꯒꯅꯥꯅꯤꯅꯥ
অগ্নিহোত্রিনা	ꯑꯒꯅꯤꯍꯣꯇ꯭ꯔꯤꯅꯥ
অগ্নী	ꯑꯒꯅꯤ
অগ্রাদা	ꯑꯒ꯭ꯔꯥꯗꯥ
অগ্রানা	ꯑꯒ꯭ꯔꯥꯅ
অগ্রৱালনা	ꯑꯒ꯭ꯔꯋꯥꯜꯅ
অঙাংহল	ꯑꯉꯥꯡꯍꯜ
অঙ্গত	ꯑꯡꯒꯠ
অঙ্গনৱাদি	ꯑꯡꯒꯟꯋꯥꯗꯤ
অঙ্গামিগী	ꯑꯡꯒꯥꯃꯤꯒꯤ
অঙ্গামীনা	ꯑꯡꯒꯥꯃꯤꯅ
অচারিয়া	ꯑꯆꯥꯔꯤꯌꯥ
অচারিয়ানচিংবা	ꯑꯆꯥꯔꯤꯌꯥꯅꯆꯤꯡꯕ
অচার্য্য	ꯑꯆꯥꯔꯖꯌ
অচারয়া	ꯑꯆꯥꯔꯌꯥ
অচুন	ꯑꯆꯨꯟ
অচ্যারিয়ানা	ꯑꯆ꯭ꯌꯥꯔꯤꯌꯥꯅꯥ
অচ্যার্য্য	ꯑꯆ꯭ꯌꯥꯔꯖ꯭ꯌ
অজ	ꯑꯖ
অজন্তা	ꯑꯖꯟꯇꯥ
অজমর	ꯑꯖꯃꯔ
অজমল	ꯑꯖꯃꯜ
অজমলনচিংবনা	ꯑꯖꯃꯜꯅꯆꯤꯡꯕꯅ
অজমির	ꯑꯖꯃꯤꯔ
অজরবৈজানগী	ꯑꯖꯔꯕꯩꯖꯥꯟꯒꯤ
অজহর	ꯑꯖꯍꯔ
অজাং	ꯑꯖꯥꯡ
অজাতি	ꯑꯖꯥꯇꯤ
অজাদ	ꯑꯖꯥꯗ
অজাদকী	ꯑꯖꯥꯗꯀꯤ
অজাদনসু	ꯑꯖꯥꯗꯅꯁꯨ
অজাদনা	ꯑꯖꯥꯗꯅ
অজাদি	ꯑꯖꯥꯗꯤ
অজাদিকা	ꯑꯖꯥꯗꯤꯀꯥ
অজাদিকি	ꯑꯖꯥꯗꯤꯀꯤ
অজাদিগা	ꯑꯖꯥꯗꯤꯒꯥ
অজাম	ꯑꯖꯥꯝ
অজাহিন্দ	ꯑꯖꯥꯍꯤꯟꯗ
অজিউরম	ꯑꯖꯤꯎꯔꯝ
অজিজুল	ꯑꯖꯤꯖꯨꯜ
অজিট	ꯑꯖꯤꯠ
অজিত	ꯑꯖꯤꯠ
অজিনক্যা	ꯑꯖꯤꯅꯀ꯭ꯌꯥ
অজিৎ	ꯑꯖꯤꯠ
অজুরাম	ꯑꯖꯨꯔꯥꯝ
অজয়	ꯑꯖꯌ
অঞ্জাম	ꯑꯟꯖꯥꯝ
অঞ্জুমাননা	ꯑꯟꯖꯨꯃꯥꯟꯅ
অটল	ꯑꯇꯜ
অটশুম	ꯑꯠꯁꯨꯝ
অটশুমগী	ꯑꯠꯁꯨꯝꯒꯤ
অটশুমনা	ꯑꯠꯁꯨꯝꯅꯥ
অটসুম	ꯑꯠꯁꯨꯝ
অটসুমগী	ꯑꯠꯁꯨꯝꯒꯤ
অটুল	ꯑꯇꯨꯜ
অতল	ꯑꯇꯜ
অতানু	ꯑꯇꯥꯅꯨ
অতাশিংগী	ꯑꯇꯥꯁꯤꯡꯒꯤ
অতাশিংদগী	ꯑꯇꯥꯁꯤꯡꯗꯒꯤ
অতুল	ꯑꯇꯨꯜ
অত্মনিভর	ꯑꯠꯃꯅꯤꯚꯔ
অত্মনিরভর	ꯑꯠꯃꯅꯤꯔꯚꯔ
অত্মাঘাৎ	ꯑꯠꯃꯥꯘꯥꯠ
অত্মানিভর	ꯑꯠꯃꯥꯅꯤꯚꯔ
অত্মানিরভর	ꯑꯠꯃꯥꯅꯤꯔꯚꯔ
অত্মানিরভরতা	ꯑꯠꯃꯥꯅꯤꯔꯚꯔꯇꯥ
অত্মানিরভরতাগী	ꯑꯠꯃꯥꯅꯤꯔꯚꯔꯇꯥꯒꯤ
অত্মানিরভার	ꯑꯠꯃꯥꯅꯤꯔꯚꯥꯔ
অথুৱন	ꯑꯊꯨꯋꯟ
অথুৱান	ꯑꯊꯨꯋꯥꯟ
অথুৱালে	ꯑꯊꯨꯋꯥꯂꯦ
অথৱালেনা	ꯑꯊꯋꯥꯂꯦꯅꯥ
অদিত্য	ꯑꯗꯤꯇ꯭ꯌ
অদিত্যনাথ	ꯑꯗꯤꯇ꯭ꯌꯅꯥꯊ
অদিত্যনাথকী	ꯑꯗꯤꯇ꯭ꯌꯅꯥꯊꯀꯤ
অদিত্যনাথন	ꯑꯗꯤꯇ꯭ꯌꯅꯥꯊꯟ
অদিত্যনাথনচিংবা	ꯑꯗꯤꯇ꯭ꯌꯅꯊꯅꯆꯤꯡꯕꯥ
অদিত্যনাথনা	ꯑꯗꯤꯇ꯭ꯌꯅꯥꯊꯅꯥ
অদিত্যনাথসু	ꯑꯗꯤꯇ꯭ꯌꯅꯥꯊꯁꯨ
অদিত্যা	ꯑꯗꯤꯇ꯭ꯌꯥ
অদিত্যানাথ	ꯑꯗꯤꯇ꯭ꯌꯅꯥꯊ
অদিত্যানাথনা	ꯑꯗꯤꯇ꯭ꯌꯅꯥꯊꯅꯥ
অদিপ	ꯑꯗꯤꯞ
অদিবাসি	ꯑꯗꯤꯕꯥꯁꯤ
অধিকারি	ꯑꯙꯤꯀꯥꯔꯤ
অধিকারিগী	ꯑꯙꯤꯀꯥꯔꯤꯒꯤ
অধিকারিনা	ꯑꯙꯤꯀꯥꯔꯤꯅꯥ
অধিকারিবু	ꯑꯙꯤꯀꯥꯔꯤꯕꯨ
অধিকারিময়ুম	ꯑꯙꯤꯀꯥꯔꯤꯃꯌꯨꯝ
অধির	ꯑꯙꯤꯔ
অধিল	ꯑꯙꯤꯜ
অন	ꯑꯅ
অনইমপ্লোইমেন্ট	ꯑꯟꯏꯝꯄ꯭ꯂꯣꯢꯃꯦꯟꯇ
অনএকাদমিগুম্বা	ꯑꯟꯑꯦꯀꯥꯗꯃꯤꯒꯨꯝꯕꯥ
অনওর্গনাইজ	ꯑꯅꯑꯣꯔꯒꯅꯥꯏꯖ
অনকিট	ꯑꯟꯀꯤꯠ
অনকিতা	ꯑꯟꯀꯤꯇꯥ
অনচলিক	ꯑꯟꯆꯂꯤꯛ
অনজান	ꯑꯟꯖꯥꯟ
অনজুমান	ꯑꯟꯖꯨꯃꯥꯟ
অনজুমানগী	ꯑꯟꯖꯨꯃꯥꯟꯒꯤ
অনজুমানদা	ꯑꯟꯖꯨꯃꯥꯟꯗꯥ
অনটেদ	ꯑꯟꯇꯦꯗ
অনতাজ	ꯑꯟꯇꯥꯖ
অনতিওদয়া	ꯑꯟꯇꯤꯑꯣꯗꯌꯥ
অনতিল	ꯑꯟꯇꯤꯜ
অনতিলনা	ꯑꯟꯇꯤꯜꯅꯥ
অনতিয়ো	ꯑꯟꯇꯤꯌꯣ
অনত্রিক	ꯑꯟꯇ꯭ꯔꯤꯛ
অনতয়ো	ꯑꯟꯇꯌꯣ
অনদর	ꯑꯟꯗꯔ
অনন্ট	ꯑꯅꯟꯇ
অনন্তনাক	ꯑꯅꯟꯇꯅꯥꯛ
অনন্তনাগ	ꯑꯅꯟꯇꯅꯥꯒ
অনন্দ	ꯑꯅꯟꯗ
অনন্দকুমারনা	ꯑꯅꯟꯗꯀꯨꯃꯥꯔꯅꯥ
অনন্দগী	ꯑꯅꯟꯗꯒꯤ
অনন্দদা	ꯑꯅꯟꯗꯗꯥ
অনন্দদিবেন	ꯑꯅꯟꯗꯗꯤꯕꯦꯟ
অনন্দনা	ꯑꯅꯟꯗꯅꯥ
অনন্দা	ꯑꯅꯟꯗꯥ
অনন্দিবেন	ꯑꯅꯟꯗꯤꯕꯦꯟ
অনপাক	ꯑꯟꯄꯥꯛ
অনপুরনা	ꯑꯟꯄꯨꯔꯅꯥ
অনবা	ꯑꯟꯕꯥ
অনলোক	ꯑꯟꯂꯣꯛ
অনলোক্কী	ꯑꯟꯂꯣꯛꯀꯤ
অনশু	ꯑꯟꯁꯨ
অনষ্টার	ꯑꯟꯁ꯭ꯇꯥꯔ
অনসম	ꯑꯟꯁꯝ
অনসানগী	ꯑꯟꯁꯥꯟꯒꯤ
অনসু	ꯑꯟꯁꯨ
অনসেক্যুরদ	ꯑꯟꯁꯦꯀ꯭ꯌꯨꯔꯗ
অনাদলে	ꯑꯅꯥꯗꯂꯦ
অনামুল্লাহ	ꯑꯅꯥꯃꯨꯜꯂꯥꯍ
অনাল	ꯑꯅꯥꯜ
অনালোক্কী	ꯑꯅꯥꯂꯣꯛꯀꯤ
অনিটা	ꯑꯅꯤꯇꯥ
অনিতা	ꯑꯅꯤꯇꯥ
অনিরবন	ꯑꯅꯤꯔꯕꯟ
অনিল	ꯑꯅꯤꯜ
অনু	ꯑꯅꯨ
অনুজ	ꯑꯅꯨꯖ
অনুপম	ꯑꯅꯨꯄꯝ
অনুপমনা	ꯑꯅꯨꯄꯝꯅꯥ
অনুপামাদি	ꯑꯅꯨꯄꯥꯝꯗꯤ
অনুব	ꯑꯅꯨꯕ
অনুরগা	ꯑꯅꯨꯔꯒꯥ
অনুরাক	ꯑꯅꯨꯔꯥꯛ
অনুরাখ	ꯑꯅꯨꯔꯥꯈ
অনুরাগ	ꯑꯅꯨꯔꯥꯒ
অনুরাগনা	ꯑꯅꯨꯔꯥꯒꯅꯥ
অন্তিননা	ꯑꯟꯇꯤꯅꯅꯥ
অন্তিল	ꯑꯟꯇꯤꯜ
অন্ন	ꯑꯟꯅ
অন্নপুরনা	ꯑꯟꯅꯄꯨꯔꯅꯥ
অন্না	ꯑꯟꯅꯥ
অন্সার	ꯑꯟꯁꯥꯔ
অন্সারি	ꯑꯟꯁꯥꯔꯤ
অন্সু	ꯑꯟꯁꯨ
অনৱারি	ꯑꯟꯋꯥꯔꯤ
অপিনজাং	ꯑꯄꯤꯟꯖꯥꯡ
অপ্পর	ꯑꯞꯄꯔ
অফ্রিকাদগীনি	ꯑꯐꯔꯤꯀꯥꯗꯒꯤꯅꯤ
অবতার	ꯑꯕꯇꯥꯔ
অবতারনি	ꯑꯕꯇꯥꯔꯅꯤ
অবদুল	ꯑꯕꯗꯨꯜ
অবদুলহমিট	ꯑꯕꯗꯨꯜꯍꯃꯤꯠ
অবদুলা	ꯑꯕꯗꯨꯂꯥ
অবদুল্লা	ꯑꯕꯗꯨꯜꯂꯥ
অবদেল	ꯑꯕꯗꯦꯜ
অবা	ꯑꯕꯥ
অবাগী	ꯑꯕꯥꯒꯤ
অবানি	ꯑꯕꯥꯅꯤ
অবানিগী	ꯑꯕꯥꯅꯤꯒꯤ
অবাবা	ꯑꯕꯥꯕꯥ
অবার্নগী	ꯑꯔꯕꯥꯟꯒꯤ
অবার্নসু	ꯑꯔꯕꯥꯟꯁꯨ
অবাস	ꯑꯕꯥꯁ
অবিধামা	ꯑꯕꯤꯙꯥꯃꯥ
অবির	ꯑꯕꯤꯔ
অবিশেখ	ꯑꯕꯤꯁꯦꯈ
অবু	ꯑꯕꯨ
অবুদাবিগী	ꯑꯕꯨꯗꯥꯕꯤꯒꯤ
অবুদাবিদা	ꯑꯕꯨꯗꯥꯕꯤꯗꯥ
অবুধাবিদা	ꯑꯕꯨꯙꯥꯕꯤꯗꯥ
অব্দুল	ꯑꯕꯗꯨꯜ
অব্দুলা	ꯑꯕꯗꯨꯂꯥ
অব্দুলাজিস	ꯑꯕꯗꯨꯂꯥꯖꯤꯁ
অব্দুলানা	ꯑꯕꯗꯨꯂꯥꯅꯥ
অব্দুলাহ	ꯑꯕꯗꯨꯂꯥꯍ
অব্রাহমগা	ꯑꯕꯔꯥꯍꯝꯒꯥ
অভা	ꯑꯚꯥ
অভানি	ꯑꯚꯥꯅꯤ
অভিজিৎ	ꯑꯚꯤꯖꯤꯠ
অভিধম্মা	ꯑꯚꯤꯙꯝꯃꯥ
অভিনাথ	ꯑꯚꯤꯅꯥꯊ
অভিনাব	ꯑꯚꯤꯅꯥꯕ
অভিশেখ	ꯑꯚꯤꯁꯦꯈ
অভিসেক	ꯑꯚꯤꯁꯦꯛ
অভিয়ান	ꯑꯚꯤꯌꯥꯟ
অভিয়ানগা	ꯑꯚꯤꯌꯥꯟꯒꯥ
অভিয়ানগী	ꯑꯚꯤꯌꯥꯟꯒꯤ
অভিয়ানচিংবা	ꯑꯚꯤꯌꯥꯟꯆꯤꯡꯕꯥ
অভিয়ানদসু	ꯑꯚꯤꯌꯥꯟꯗꯁꯨ
অভিয়ানসু	ꯑꯚꯤꯌꯥꯟꯁꯨ
অভিয়ান্না	ꯑꯚꯤꯌꯥꯟꯅꯥ
অভিয়াস	ꯑꯚꯤꯌꯥꯁ
অভয়	ꯑꯚꯌ
অমজু	ꯑꯝꯖꯨ
অমজুগী	ꯑꯝꯖꯨꯒꯤ
অমদা	ꯑꯃꯗꯥ
অমদাগী	ꯑꯃꯗꯥꯒꯤ
অমদুং	ꯑꯃꯗꯨꯡ
অমফা	ꯑꯝꯐ
অমবেদক	ꯑꯝꯕꯦꯗꯛ
অমবেদকর	ꯑꯝꯕꯦꯗꯀꯔ
অমবেদকরগী	ꯑꯝꯕꯦꯗꯀꯔꯒꯤ
অমবেদকরদা	ꯑꯝꯕꯦꯗꯀꯔꯗꯥ
অমবেদকরনা	ꯑꯝꯕꯦꯗꯀꯔꯅꯥ
অমব্রেলা	ꯑꯝꯕ꯭ꯔꯦꯂꯥ
অমরজিৎ	ꯑꯃꯔꯖꯤꯠ
অমরদিনি	ꯑꯃꯔꯗꯤꯅꯤ
অমরদ্বিপ	ꯑꯃꯔꯗ꯭ꯌꯤꯞ
অমরা	ꯑꯝꯔꯥ
অমরিন্দর	ꯑꯝꯔꯤꯟꯗꯔ
অমরিন্দরনা	ꯑꯝꯔꯤꯟꯗꯔꯅꯥ
অমরুট	ꯑꯃꯔꯨꯠ
অমরুত	ꯑꯃꯔꯨꯠ
অমরেমদা	ꯑꯃꯔꯦꯝꯗꯥ
অমরেমাদা	ꯑꯃꯔꯦꯃꯥꯗꯥ
অমরোমদাল	ꯑꯃꯔꯣꯝꯗꯥꯜ
অমর্জিট	ꯑꯃꯔꯖꯤꯠ
অমলা	ꯑꯝꯂꯥ
অমলাপুরমদা	ꯑꯝꯂꯥꯄꯨꯔꯝꯗꯥ
অমস্ত্রোং	ꯑꯃꯁꯇ꯭ꯔꯣꯡ
অমান্না	ꯑꯃꯥꯟꯅꯥ
অমারুলাহ	ꯑꯃꯥꯔꯨꯂꯥꯍ
অমালগেসন	ꯑꯃꯥꯜꯒꯦꯁꯟ
অমাৱোভা	ꯑꯃꯥꯋꯣꯚꯥ
অমিক	ꯑꯃꯤꯛ
অমিক্কী	ꯑꯃꯤꯛꯀꯤ
অমিট	ꯑꯃꯤꯠ
অমিত	ꯑꯃꯤꯠ
অমিতাব	ꯑꯃꯤꯇꯥꯕ
অমিনগাউদা	ꯑꯃꯤꯟꯒꯥꯎꯗꯥ
অমিনুল	ꯑꯃꯤꯅꯨꯜ
অমিন্দরনা	ꯑꯃꯤꯟꯗꯔꯅꯥ
অমির	ꯑꯃꯤꯔ
অমুকো	ꯑꯃꯨꯀꯣ
অমুকোগী	ꯑꯃꯨꯀꯣꯒꯤ
অমুকোনচিংবনা	ꯑꯃꯨꯀꯣꯅꯆꯤꯡꯕꯅꯥ
অমুকোনা	ꯑꯃꯨꯀꯣꯅꯥ
অমুর	ꯑꯃꯨꯔ
অমুল	ꯑꯃꯨꯜ
অমুস্নানা	ꯑꯃꯨꯁꯅꯥꯅ
অমৃ	ꯑꯝꯔꯤ
অমৃট	ꯑꯝꯔꯤꯠ
অমৃটসরগী	ꯑꯝꯔꯤꯠꯁꯔꯒꯤ
অমৃটসরদা	ꯑꯝꯔꯤꯠꯁꯔꯗꯥ
অমৃত	ꯑꯝꯔꯤꯠ
অমৃতা	ꯑꯝꯔꯤꯇꯥ
অম্পারেন	ꯑꯝꯄꯥꯔꯦꯟ
অম্ফা	ꯑꯝꯐꯥ
অম্ফাদা	ꯑꯝꯐꯥꯗꯥ
অম্বানিগী	ꯑꯝꯕꯥꯅꯤꯒꯤ
অম্বিকা	ꯑꯝꯕꯤꯀꯥ
অম্রিত	ꯑꯝꯔꯤꯠ
অম্রিততা	ꯑꯝꯔꯤꯠꯇꯥ
অম্রিন্দর	ꯑꯝꯔꯤꯟꯗꯔ
অম্রিন্দরনা	ꯑꯝꯔꯤꯟꯗꯔꯅꯥ
অরকইবস	ꯑꯔꯀꯥꯢꯕꯁ
অরকাইবকী	ꯑꯔꯀꯥꯢꯕꯀꯤ
অরক্রাইপস	ꯑꯔꯀ꯭ꯔꯥꯏꯞꯁ
অরচনা	ꯑꯔꯆꯅꯥ
অরজি	ꯑꯔꯖꯤ
অরজুন	ꯑꯔꯖꯨꯟ
অরজেন্টিনা	ꯑꯔꯖꯦꯟꯇꯤꯅꯥ
অরজেন্টিনাগা	ꯑꯔꯖꯦꯟꯇꯤꯅꯥꯒꯥ
অরজেন্টিনাগী	ꯑꯔꯖꯦꯟꯇꯤꯅꯥꯒꯤ
অরজেন্তিনানা	ꯑꯔꯖꯦꯟꯇꯤꯅꯥꯅꯥ
অরতিনা	ꯑꯔꯇꯤꯅꯥ
অরপিতা	ꯑꯔꯄꯤꯇꯥ
অরপ্তি	ꯑꯔꯞꯇꯤ
অরবান	ꯑꯔꯕꯥꯟ
অরবিত্রেসন	ꯑꯔꯕꯤꯇ꯭ꯔꯦꯁꯟ
অরবিন	ꯑꯔꯕꯤꯟ
অরবিন্দ	ꯑꯔꯕꯤꯟꯗ
অরমেনিয়াগী	ꯑꯔꯃꯦꯅꯤꯌꯥꯒꯤ
অরলেকর	ꯑꯔꯂꯦꯀꯔ
অরলেকরবু	ꯑꯔꯂꯦꯀꯔꯕꯨ
অরাতি	ꯑꯔꯥꯇꯤ
অরাপতি	ꯑꯔꯥꯞꯇꯤ
অরাপতিগী	ꯑꯔꯥꯞꯇꯤꯒꯤ
অরাপতিদা	ꯑꯔꯥꯞꯇꯤꯗꯥ
অরাপ্তি	ꯑꯔꯥꯞꯇꯤ
অরাপ্তিদগী	ꯑꯔꯥꯞꯇꯤꯗꯒꯤ
অরাপ্তিদা	ꯑꯔꯥꯞꯇꯤꯗꯥ
অরাবান	ꯑꯔꯥꯕꯥꯟ
অরাবিকা	ꯑꯔꯥꯕꯤꯀꯥ
অরাবিয়া	ꯑꯔꯥꯕꯤꯌꯥ
অরাবিয়াগী	ꯑꯔꯥꯕꯤꯌꯥꯒꯤ
অরাবিয়াদগী	ꯑꯔꯥꯕꯤꯌꯥꯗꯒꯤ
অরাবিয়ানা	ꯑꯔꯥꯕꯤꯌꯥꯅꯥ
অরাবিয়াবু	ꯑꯔꯥꯕꯤꯌꯥꯕꯨ
অরামবাগতা	ꯑꯔꯥꯝꯕꯥꯒꯇꯥ
অরাম্বম	ꯑꯔꯥꯝꯕꯝ
অরিজ	ꯑꯔꯤꯖ
অরিনদম	ꯑꯔꯤꯟꯗꯝ
অরিন্দম	ꯑꯔꯤꯟꯗꯝ
অরিন্দাম	ꯑꯔꯤꯟꯗꯥꯝ
অরিফ	ꯑꯔꯤꯐ
অরিমদম	ꯑꯔꯤꯃꯗꯝ
অরিমসা	ꯑꯔꯤꯃꯁꯥ
অরিয়া	ꯑꯔꯤꯌꯥ
অরুন	ꯑꯔꯨꯟ
অরুনকুমার	ꯑꯔꯨꯟꯀꯨꯃꯥꯔ
অরুনকুমারনা	ꯑꯔꯨꯟꯀꯨꯃꯥꯔꯅꯥ
অরুনা	ꯑꯔꯨꯅꯥ
অরুনাচল	ꯑꯔꯨꯅꯥꯆꯜ
অরুনাচলদা	ꯑꯔꯨꯅꯥꯆꯜꯗꯥ
অরুন্না	ꯑꯔꯨꯟꯅ
অর্কিটেকশিং	ꯑꯔꯀꯤꯇꯦꯀꯁꯤꯡ
অর্জুন	ꯑꯔꯖꯨꯟ
অর্টিসানশিং	ꯑꯔꯇꯤꯁꯥꯟꯁꯤꯡ
অর্থর	ꯑꯔꯊꯔ
অর্থরনা	ꯑꯔꯊꯔꯅꯥ
অর্বান	ꯑꯔꯕꯥꯟ
অর্বানগী	ꯑꯔꯕꯥꯟꯒꯤ
অর্বিন	ꯑꯔꯕꯤꯟ
অর্মিগী	ꯑꯔꯃꯤꯒꯤ
অল	ꯑꯜ
অলকোলিজম	ꯑꯜꯀꯣꯂꯤꯖꯝ
অলকোহলিক	ꯑꯜꯀꯣꯍꯂꯤꯛ
অলকোহোল	ꯑꯂꯀꯣꯍꯣꯜ
অলজেরিয়াগী	ꯑꯂꯖꯦꯔꯤꯌꯥꯒꯤ
অলতানসেতসগপু	ꯑꯜꯇꯥꯟꯁꯦꯠꯁꯒꯄꯨ
অলতানসেতসেগপু	ꯑꯜꯇꯥꯟꯁꯦꯠꯁꯦꯒꯄꯨ
অলতিমেতম	ꯑꯜꯇꯤꯃꯦꯇꯝ
অলতো	ꯑꯜꯇꯣ
অলপায়ৱালা	ꯑꯜꯄꯥꯌꯋꯥꯂꯥ
অলফা	ꯑꯜꯐꯥ
অলফাগী	ꯑꯜꯐꯥꯒꯤ
অলফিয়া	ꯑꯜꯐꯤꯌꯥ
অলফ্রেত	ꯑꯜꯐ꯭ꯔꯦꯠ
অলফ্রেদ	ꯑꯜꯐ꯭ꯔꯦꯗ
অলবার্ট	ꯑꯜꯕꯥꯔꯠ
অলম	ꯑꯂꯝ
অলমন	ꯑꯜꯃꯟ
অলমনা	ꯑꯜꯃꯅꯥ
অলমোরা	ꯑꯜꯃꯣꯔꯥ
অলাগিরিনসু	ꯑꯂꯥꯒꯤꯔꯤꯟꯁꯨ
অলাদাগী	ꯑꯂꯥꯗꯥꯒꯤ
অলাদানা	ꯑꯂꯥꯗꯥꯅꯥ
অলানকিট	ꯑꯂꯥꯟꯀꯤꯠ
অলিগর	ꯑꯂꯤꯒꯔ
অলিগরদা	ꯑꯂꯤꯒꯔꯗꯥ
অলিপুর	ꯑꯂꯤꯄꯨꯔ
অলিয়েভকা	ꯑꯂꯤꯌꯦꯚꯀꯥ
অল্ফা	ꯑꯜꯐꯥ
অল্ফাগী	ꯑꯜꯐꯥꯒꯤ
অলৱার	ꯑꯜꯋꯥꯔ
অশাংবম	ꯑꯁꯥꯡꯕꯝ
অশুক্কি	ꯑꯁꯨꯛꯀꯤ
অশুক্কী	ꯑꯁꯨꯛꯀꯤ
অশুতোস	ꯑꯁꯨꯇꯣꯁ
অশুম্মক	ꯑꯁꯨꯝꯃꯛ
অশুরনদা	ꯑꯁꯨꯔꯟꯗꯥ
অশ্বনি	ꯑꯁ꯭ꯋꯅꯤ
অশ্বাতা	ꯑꯁ꯭ꯋꯥꯇꯥ
অশ্বানি	ꯑꯁ꯭ꯋꯅꯤ
অশ্রফ	ꯑꯁꯔ꯭ꯐ
অশ্রমদগী	ꯑꯁ꯭ꯔꯝꯗꯒꯤ
অশ্রমদা	ꯑꯁ꯭ꯔꯝꯗꯥ
অশ্রমনা	ꯑꯁ꯭ꯔꯝꯅꯥ
অসব	ꯑꯁꯕ
অসবউদ্দিননা	ꯑꯁꯕꯎꯗꯗꯤꯟꯅꯥ
অসমাগী	ꯑꯁꯃꯥꯒꯤ
অসলে	ꯑꯁꯂꯦ
অসলেক	ꯑꯁꯂꯦꯛ
অসলেঘ	ꯑꯁꯂꯦꯘ
অসাং	ꯑꯁꯥꯡ
অসাউদ্দিন	ꯑꯁꯥꯎꯗꯗꯤꯟ
অসানশোলদা	ꯑꯁꯥꯟꯁꯣꯜꯗꯥ
অসানসোলদা	ꯑꯁꯥꯟꯁꯣꯜꯗꯥ
অসানা	ꯑꯁꯥꯅꯥ
অসাম	ꯑꯁꯥꯝ
অসামগা	ꯑꯁꯥꯝꯒꯥ
অসামগী	ꯑꯁꯥꯃꯒꯤ
অসামগীনা	ꯑꯁꯥꯝꯒꯤꯅꯥ
অসামগীনি	ꯑꯁꯥꯝꯒꯤꯅꯤ
অসামগীসু	ꯑꯁꯥꯝꯒꯤꯁꯨ
অসামদগী	ꯑꯁꯥꯝꯗꯒꯤ
অসামদনা	ꯑꯁꯥꯝꯗꯅꯥ
অসামদসু	ꯑꯁꯥꯝꯗꯁꯨ
অসামদা	ꯑꯁꯥꯝꯗꯥ
অসামনা	ꯑꯁꯥꯝꯅꯥ
অসামবু	ꯑꯁꯥꯝꯕꯨ
অসামলোমদগী	ꯑꯁꯥꯝꯂꯣꯝꯗꯒꯤ
অসামসদা	ꯑꯁꯥꯝꯁꯗꯥ
অসামিজ	ꯑꯁꯥꯃꯤꯖ
