অ	ꯑ
অথোইবনি	ꯑꯊꯣꯏꯕꯅꯤ
অথোরিতনা	ꯑꯊꯣꯔꯤꯇꯅꯥ
অথোরিতিগী	ꯑꯊꯣꯔꯤꯇꯤꯒꯤ
অথোরিতিদা	ꯑꯊꯣꯔꯤꯇꯤꯗꯥ
অথৌ	ꯑꯊꯧ
অথৌবা	ꯑꯊꯧꯕꯥ
অথৌশিং	ꯑꯊꯧꯁꯤꯡ
অথৌশিংনা	ꯑꯊꯧꯁꯤꯡꯅꯥ
অদগী	ꯑꯗꯒꯤ
অদা	ꯑꯗꯥ
অদিল	ꯑꯗꯤꯂ
অদু	ꯑꯗꯨ
অদুই	ꯑꯗꯨꯏ
অদুক	ꯑꯗꯨꯀ
অদুক্	ꯑꯗꯨꯛ
অদুগনা	ꯑꯗꯨꯒꯅꯥ
অদুগা	ꯑꯗꯨꯒꯥ
অদুগি	ꯑꯗꯨꯒꯤ
অদুগী	ꯑꯗꯨꯒꯤ
অদুগীদমক্তবু	ꯑꯗꯨꯒꯤꯗꯃꯛꯇꯕꯨ
অদুগীদমক্তা	ꯑꯗꯨꯒꯤꯗꯃꯛꯇꯥ
অদুগীসু	ꯑꯗꯨꯒꯤꯁꯨ
অদুগুম্বা	ꯑꯗꯨꯒꯨꯝꯕꯥ
অদুঙৈ	ꯑꯗꯨꯉꯩ
অদুতংদি	ꯑꯗꯨꯇꯪꯗꯤ
অদুতদি	ꯑꯗꯨꯇꯗꯤ
অদুতনি	ꯑꯗꯨꯇꯅꯤ
অদুদগী	ꯑꯗꯨꯗꯒꯤ
অদুদগীদি	ꯑꯗꯨꯗꯒꯤꯗꯤ
অদুদদি	ꯑꯗꯨꯗꯗꯤ
অদুদা	ꯑꯗꯨꯗꯥ
অদুদি	ꯑꯗꯨꯗꯤ
অদুদৈ	ꯑꯗꯨꯗꯩ
অদুদৈদি	ꯑꯗꯨꯗꯩꯗꯤ
অদুনদি	ꯑꯗꯨꯅꯗꯤ
অদুননি	ꯑꯗꯨꯅꯅꯤ
অদুনা	ꯑꯗꯨꯅꯥ
অদুনি	ꯑꯗꯨꯅꯤ
অদুবু	ꯑꯗꯨꯕꯨ
অদুবুদি	ꯑꯗꯨꯕꯨꯗꯤ
অদুবুনা	ꯑꯗꯨꯕꯨꯅꯥ
অদুবূ	ꯑꯗꯨꯕꯨ
অদুম	ꯑꯗꯨꯝ
অদুমওইনমক	ꯑꯗꯨꯝꯑꯣꯏꯅꯃꯛ
অদুমক	ꯑꯗꯨꯃꯛ
অদুমক্	ꯑꯗꯨꯃꯛ
অদুমক্কী	ꯑꯗꯨꯃꯛꯀꯤ
অদুমক্তদসু	ꯑꯗꯨꯃꯛꯇꯗꯁꯨ
অদুমক্তদা	ꯑꯗꯨꯃꯛꯇꯗꯥ
অদুমক্তনা	ꯑꯗꯨꯃꯛꯇꯅꯥ
অদুমক্পু	ꯑꯗꯨꯃꯛꯄꯨ
অদুমা	ꯑꯗꯨꯃꯥ
অদুম্	ꯑꯗꯨꯝ
অদুম্নদি	ꯑꯗꯨꯝꯅꯗꯤ
অদুম্না	ꯑꯗꯨꯝꯅꯥ
অদুম্মক	ꯑꯗꯨꯝꯃꯛ
অদুসু	ꯑꯗꯨꯁꯨ
অদুৱাইদকা	ꯑꯗꯨꯋꯥꯏꯗꯀꯥ
অদুৱাইদদি	ꯑꯗꯨꯋꯥꯏꯗꯗꯤ
অদুৱাইদা	ꯑꯗꯨꯋꯥꯏꯗꯥ
অদুৱায়্দা	ꯑꯗꯨꯋꯥꯌꯗꯥ
অদূ	ꯑꯗꯨ
অদূগা	ꯑꯗꯨꯒꯥ
অদূগী	ꯑꯗꯨꯒꯤ
অদূদা	ꯑꯗꯨꯗꯥ
অদো	ꯑꯗꯣ
অদোম্গী	ꯑꯗꯣꯝꯒꯤ
অদোম্দা	ꯑꯗꯣꯝꯗꯥ
অদোম্না	ꯑꯗꯣꯝꯅꯥ
অদ্দা	ꯑꯗꯗꯥ
অদৱাইগী	ꯑꯗꯋꯥꯏꯒꯤ
অধক্ষ্য	ꯑꯙꯛꯁꯌꯥ
অনং	ꯑꯅꯪ
অনকপদা	ꯑꯅꯛꯄꯗꯥ
অনক্পদা	ꯑꯅꯛꯄꯗꯥ
অনা	ꯑꯅꯥ
অনাবসি	ꯑꯅꯥꯕꯁꯤ
অনাবা	ꯑꯅꯥꯕꯥ
অনাবীদূ	ꯑꯅꯥꯕꯤꯗꯨ
অনাবীনা	ꯑꯅꯥꯕꯤꯅꯥ
অনি	ꯑꯅꯤ
অনিখক	ꯑꯅꯤꯈꯛ
অনিগী	ꯑꯅꯤꯒꯤ
অনিদা	ꯑꯅꯤꯗꯥ
অনিদু	ꯑꯅꯤꯗꯨ
অনিদুগা	ꯑꯅꯤꯗꯨꯒꯥ
অনিদুগী	ꯑꯅꯤꯗꯨꯒꯤ
অনিনা	ꯑꯅꯤꯅꯥ
অনিনে	ꯑꯅꯤꯅꯦ
অনিবু	ꯑꯅꯤꯕꯨ
অনিমক্কী	ꯑꯅꯤꯃꯛꯀꯤ
অনিশুবা	ꯑꯅꯤꯁꯨꯕꯥ
অনিসিবু	ꯑꯅꯤꯁꯤꯕꯨ
অনিসুবা	ꯑꯅꯤꯁꯨꯕꯥ
অনিৰুসুন্তীগী	ꯑꯅꯤꯔꯨꯁꯨꯟꯇꯤꯒꯤ
অনী	ꯑꯅꯤ
অনীংবা	ꯑꯅꯤꯡꯕꯥ
অনীখক	ꯑꯅꯤꯈꯛ
অনীখক্	ꯑꯅꯤꯈꯛ
অনীগা	ꯑꯅꯤꯒꯥ
অনীগী	ꯑꯅꯤꯒꯤ
অনীদং	ꯑꯅꯤꯗꯪ
অনীদগী	ꯑꯅꯤꯗꯒꯤ
অনীদা	ꯑꯅꯤꯗꯥ
অনীদি	ꯑꯅꯤꯗꯤ
অনীদু	ꯑꯅꯤꯗꯨ
অনীদুগী	ꯑꯅꯤꯗꯨꯒꯤ
অনীদুদা	ꯑꯅꯤꯗꯨꯗꯥ
অনীদুদি	ꯑꯅꯤꯗꯨꯗꯤ
অনীদুনা	ꯑꯅꯤꯗꯨꯅꯥ
অনীদুবু	ꯑꯅꯤꯗꯨꯕꯨ
অনীদুসু	ꯑꯅꯤꯗꯨꯁꯨ
অনীদো	ꯑꯅꯤꯗꯣ
অনীনা	ꯑꯅꯤꯅꯥ
অনীবু	ꯑꯅꯤꯕꯨ
অনীবো	ꯑꯅꯤꯕꯣ
অনীমক	ꯑꯅꯤꯃꯛ
অনীমকী	ꯑꯅꯤꯃꯀꯤ
অনীমক্	ꯑꯅꯤꯃꯛ
অনীমক্কী	ꯑꯅꯤꯃꯛꯀꯤ
অনীমক্তগী	ꯑꯅꯤꯃꯛꯇꯒꯤ
অনীমক্তা	ꯑꯅꯤꯃꯛꯇꯥ
অনীমক্না	ꯑꯅꯤꯃꯛꯅꯥ
অনীমক্লা	ꯑꯅꯤꯃꯛꯂꯥ
অনীরক	ꯑꯅꯤꯔꯛ
অনীরক্	ꯑꯅꯤꯔꯛ
অনীরক্তং	ꯑꯅꯤꯔꯛꯇꯪ
অনীশুবা	ꯑꯅꯤꯁꯨꯕꯥ
অনীসি	ꯑꯅꯤꯁꯤ
অনীসিগী	ꯑꯅꯤꯁꯤꯒꯤ
অনীসু	ꯑꯅꯤꯁꯨ
অনৌ	ꯑꯅꯧ
অনৌবশিং	ꯑꯅꯧꯕꯁꯤꯡ
অনৌবা	ꯑꯅꯧꯕꯥ
অন্দর	ꯑꯟꯗꯔ
অন্দস্তের্ন্দিং	ꯑꯟꯗꯁꯇꯦꯔꯟꯗꯤꯡ
অন্দ্রো	ꯑꯟꯗꯔꯣ
অন্ধ্র	ꯑꯟꯙꯔ꯭
অপখ্রেত	ꯑꯄꯈꯔꯦꯇ
অপঙ	ꯑꯄꯡ
অপঙ্	ꯑꯄꯡ
অপঙ্গী	ꯑꯄꯡꯒꯤ
অপঙ্দা	ꯑꯄꯡꯗꯥ
অপঙ্দি	ꯑꯄꯡꯗꯤ
অপঙ্দু	ꯑꯄꯡꯗꯨ
অপঙ্দুদি	ꯑꯄꯡꯗꯨꯗꯤ
অপঙ্দুবু	ꯑꯄꯡꯗꯨꯕꯨ
অপঙ্দুসু	ꯑꯄꯡꯗꯨꯁꯨ
অপঙ্দো	ꯑꯄꯡꯗꯣ
অপঙ্না	ꯑꯄꯡꯅꯥ
অপঙ্নিদনা	ꯑꯄꯡꯅꯤꯗꯅꯥ
অপঙ্বদি	ꯑꯄꯡꯕꯗꯤ
অপঙ্বনা	ꯑꯄꯡꯕꯅꯥ
অপঙ্বা	ꯑꯄꯡꯕꯥ
অপঙ্বী	ꯑꯄꯡꯕꯤ
অপঙ্সু	ꯑꯄꯡꯁꯨ
অপন	ꯑꯄꯟ
অপনবা	ꯑꯄꯟꯕꯥ
অপন্দি	ꯑꯄꯟꯗꯤ
অপা	ꯑꯄꯥ
অপাইবি	ꯑꯄꯥꯏꯕꯤ
অপাইবী	ꯑꯄꯥꯏꯕꯤ
অপাইবীদুগা	ꯑꯄꯥꯏꯕꯤꯗꯨꯒꯥ
অপাইবীদুনা	ꯑꯄꯥꯏꯕꯤꯗꯨꯅꯥ
অপাইবীদো	ꯑꯄꯥꯏꯕꯤꯗꯣ
অপাইবীসি	ꯑꯄꯥꯏꯕꯤꯁꯤ
অপাক্পা	ꯑꯄꯥꯛꯄꯥ
অপাবা	ꯑꯄꯥꯕꯥ
অপাম	ꯑꯄꯥꯃ
অপাম্	ꯑꯄꯥꯝ
অপাম্বা	ꯑꯄꯥꯝꯕꯥ
অপাশিংদা	ꯑꯄꯥꯁꯤꯡꯗꯥ
অপায়্	ꯑꯄꯥꯌ
অপায়্বা	ꯑꯄꯥꯌꯕꯥ
অপায়্বীদু	ꯑꯄꯥꯌꯕꯤꯗꯨ
অপিল	ꯑꯄꯤꯜ
অপীক	ꯑꯄꯤꯛ
অপীক্পগী	ꯑꯄꯤꯛꯄꯒꯤ
অপীক্পা	ꯑꯄꯤꯛꯄꯥ
অপুনবগী	ꯑꯄꯨꯅꯕꯒꯤ
অপুনবা	ꯑꯄꯨꯅꯕꯥ
অপুম	ꯑꯄꯨꯃ
অপুম্	ꯑꯄꯨꯝ
অপুম্বা	ꯑꯄꯨꯝꯕꯥ
অপূনবা	ꯑꯄꯨꯅꯕꯥ
অপূম্বনা	ꯑꯄꯨꯝꯕꯅꯥ
অপূম্বা	ꯑꯄꯨꯝꯕꯥ
অপেন	ꯑꯄꯦꯟ
অপেন্	ꯑꯄꯦꯟ
অপেন্বা	ꯑꯄꯦꯟꯕꯥ
অপোকপগী	ꯑꯄꯣꯀꯞꯒꯤ
অপোকপা	ꯑꯄꯣꯛꯄꯥ
অপোক্পী	ꯑꯄꯣꯛꯄꯤ
অপোম্বদু	ꯑꯄꯣꯝꯕꯗꯨ
অফং	ꯑꯐꯪ
অফংবা	ꯑꯐꯪꯕꯥ
অফগানিন্তানদা	ꯑꯐꯒꯥꯅꯤꯟꯇꯥꯅꯗꯥ
অফগানিম্ভান	ꯑꯐꯒꯥꯅꯤꯝꯚꯥꯅ
অফগানিম্ভানগী	ꯑꯐꯒꯥꯅꯤꯝꯚꯥꯅꯒꯤ
অফগানিম্ভানদা	ꯑꯐꯒꯥꯅꯤꯝꯚꯥꯅꯗꯥ
অফগানিস্তনদগী	ꯑꯐꯒꯥꯅꯤꯁꯇꯟꯗꯒꯤ
অফগানিস্তান	ꯑꯐꯒꯥꯅꯤꯁꯇꯥꯅ
অফগানিস্তানদা	ꯑꯐꯒꯥꯅꯤꯁꯇꯥꯟꯗꯥ
অফবা	ꯑꯐꯕꯥ
অফাই	ꯑꯐꯥꯏ
অফাওবগী	ꯑꯐꯥꯑꯣꯕꯒꯤ
অফাওবা	ꯑꯐꯥꯑꯣꯕꯥ
অফায়	ꯑꯐꯥꯌ
অফায়্	ꯑꯐꯥꯌ
অফিং	ꯑꯐꯤꯡ
অবুংঙো	ꯑꯕꯨꯡꯉꯣ
অবোক	ꯑꯕꯣꯀ
অবোক্কী	ꯑꯕꯣꯛꯀꯤ
অমখক	ꯑꯃꯈꯛ
অমখক্তং	ꯑꯃꯈꯛꯇꯪ
অমখক্তা	ꯑꯃꯈꯛꯇꯥ
অমখক্সু	ꯑꯃꯈꯛꯁꯨ
অমগনা	ꯑꯃꯒꯅꯥ
অমগা	ꯑꯃꯒꯥ
অমগী	ꯑꯃꯒꯤ
অমগীদমক	ꯑꯃꯒꯤꯗꯃꯛ
অমগীদা	ꯑꯃꯒꯤꯗꯥ
অমগুম্না	ꯑꯃꯒꯨꯝꯅꯥ
অমতং	ꯑꯃꯇꯪ
অমতংগদু	ꯑꯃꯇꯪꯒꯗꯨ
অমতংগাদুক	ꯑꯃꯇꯪꯒꯥꯗꯨꯀ
অমতংদি	ꯑꯃꯇꯪꯗꯤ
অমতনা	ꯑꯃꯠꯅꯥ
অমতা	ꯑꯃꯇꯥ
অমত্তং	ꯑꯃꯠꯇꯪ
অমত্তংবু	ꯑꯃꯠꯇꯪꯕꯨ
অমত্তগা	ꯑꯃꯠꯇꯒꯥ
অমত্তগী	ꯑꯃꯠꯇꯒꯤ
অমত্তদা	ꯑꯃꯠꯇꯗꯥ
অমত্তদি	ꯑꯃꯠꯇꯗꯤ
অমত্তনসু	ꯑꯃꯠꯇꯅꯁꯨ
অমত্তনা	ꯑꯃꯠꯇꯅꯥ
অমত্তসু	ꯑꯃꯠꯇꯁꯨ
অমত্তা	ꯑꯃꯠꯇꯥ
অমদগী	ꯑꯃꯗꯒꯤ
অমদনা	ꯑꯃꯗꯅꯥ
অমদনি	ꯑꯃꯗꯅꯤ
অমদা	ꯑꯃꯗꯥ
অমদি	ꯑꯃꯗꯤ
অমদী	ꯑꯃꯗꯤ
অমননি	ꯑꯃꯟꯅꯤ
অমনা	ꯑꯃꯅꯥ
অমনি	ꯑꯃꯅꯤ
অমনিনা	ꯑꯃꯅꯤꯅꯥ
অমফাওবা	ꯑꯃꯐꯥꯑꯣꯕꯥ
অমবু	ꯑꯃꯕꯨ
অমবুদি	ꯑꯃꯕꯨꯗꯤ
অমমম	ꯑꯃꯃꯝ
অমমমতা	ꯑꯃꯃꯝꯇꯥ
অমমম্	ꯑꯃꯝꯝ
অমমম্তদি	ꯑꯃꯝꯝꯇꯗꯤ
অমমম্তা	ꯑꯃꯝꯝꯇꯥ
অমমম্দং	ꯑꯃꯝꯝꯗꯪ
অমমম্দদি	ꯑꯃꯝꯝꯗꯗꯤ
অমমম্দা	ꯑꯃꯝꯝꯗꯥ
অমমুং	ꯑꯃꯃꯨꯡ
অমমুক	ꯑꯃꯃꯨꯛ
অমম্বদা	ꯑꯃꯝꯕꯗꯥ
অমম্বনা	ꯑꯃꯝꯕꯅꯥ
অমম্বা	ꯑꯃꯝꯕꯥ
অমর	ꯑꯃꯔ
অমরজিং	ꯑꯃꯔꯖꯤꯡ
অমরোমদা	ꯑꯃꯔꯣꯝꯗꯥ
অমরোম্দা	ꯑꯃꯔꯣꯝꯗꯥ
অমসু	ꯑꯃꯁꯨ
অমসুং	ꯑꯃꯁꯨꯡ
অমা	ꯑꯃꯥ
অমাংবদু	ꯑꯃꯥꯡꯕꯗꯨ
অমাংবসিদি	ꯑꯃꯥꯡꯕꯁꯤꯗꯤ
অমাংবা	ꯑꯃꯥꯡꯕꯥ
অমাকদােগী	ꯑꯃꯥꯀꯗꯥꯦꯒꯤ
অমাগা	ꯑꯃꯥꯒꯥ
অমাগী	ꯑꯃꯥꯒꯤ
অমাঙ	ꯑꯃꯥꯉ
অমাতরেত	ꯑꯃꯥꯇꯔꯦꯇ
অমাদা	ꯑꯃꯥꯗꯥ
অমাসু	ꯑꯃꯥꯁꯨ
অমিল	ꯑꯃꯤꯂ
অমুক	ꯑꯃꯨꯛ
অমুক্	ꯑꯃꯨꯛ
অমুক্কসু	ꯑꯃꯨꯛꯀꯁꯨ
অমুক্কা	ꯑꯃꯨꯛꯀꯥ
অমুক্তং	ꯑꯃꯨꯛꯇꯪ
অমুক্তংগা	ꯑꯃꯨꯛꯇꯪꯒꯥ
অমুক্তগা	ꯑꯃꯨꯛꯇꯒꯥ
অমুক্তঙ	ꯑꯃꯨꯛꯇꯡ
অমুক্তদি	ꯑꯃꯨꯛꯇꯗꯤ
অমুক্তশু	ꯑꯃꯨꯛꯇꯁꯨ
অমুক্তা	ꯑꯃꯨꯛꯇꯥ
অমুক্তি	ꯑꯃꯨꯛꯇꯤ
অমুক্তোইবা	ꯑꯃꯨꯛꯇꯣꯏꯕꯥ
অমুক্সু	ꯑꯃꯨꯛꯁꯨ
অমুক্হন্না	ꯑꯃꯨꯛꯍꯟꯅꯥ
অমুন	ꯑꯃꯨꯅ
অমুন্	ꯑꯃꯨꯟ
অমুন্বা	ꯑꯃꯨꯟꯕꯥ
অমুবা	ꯑꯃꯨꯕꯥ
অমূকহন্না	ꯑꯃꯨꯀꯍꯟꯅꯥ
অমৃতসর	ꯑꯃꯔ꯭ꯇꯁꯔ
অমোম	ꯑꯃꯣꯃ
অমোম্	ꯑꯃꯣꯝ
অমোম্দু	ꯑꯃꯣꯝꯗꯨ
অমোম্না	ꯑꯃꯣꯝꯅꯥ
অমোম্সি	ꯑꯃꯣꯝꯁꯤ
অমৌ	ꯑꯃꯧ
অমৌগী	ꯑꯃꯧꯒꯤ
অম্বা	ꯑꯝꯕꯥ
অম্বাগী	ꯑꯝꯕꯥꯒꯤ
অম্রিত	ꯑꯝꯔꯤꯠ
অরংননা	ꯑꯔꯪꯅꯅꯥ
অরাং	ꯑꯔꯥꯡ
