অংথা	ꯑꯪꯊꯥ
অকয়াদা	ꯑꯀꯌꯥꯗꯥ
অখন্দা	ꯑꯈꯟꯗꯥ
অখিল	ꯑꯈꯤꯜ
অখিলেস	ꯑꯈꯤꯂꯦꯁ
অখুই	ꯑꯈꯨꯢ
অখুনজদাগী	ꯑꯈꯨꯟꯖꯗꯥꯒꯤ
অখুনজদানা	ꯑꯈꯨꯟꯖꯗꯥꯅꯥ
অখুন্দ	ꯑꯈꯨꯟ꯭ꯗ
অখুন্দজাদানা	ꯑꯈꯨꯟ꯭ꯗꯖꯥꯗꯥꯅꯥ
অখুন্দনা	ꯑꯈꯨꯟ꯭ꯗꯅꯥ
অগনানিনা	ꯑꯒꯅꯥꯅꯤꯅꯥ
অগনি	ꯑꯒꯅꯤ
অগনৈসকা	ꯑꯒꯅꯩꯁꯀꯥ
অগভা	ꯑꯒꯚꯥ
অগর	ꯑꯒꯔ
অগরগী	ꯑꯒꯔꯒꯤ
অগরটলা	ꯑꯒꯔꯇꯂꯥ
অগরটলাগী	ꯑꯒꯔꯇꯂꯥꯒꯤ
অগরটলাগীদমক	ꯑꯒꯔꯇꯂꯥꯒꯤꯗꯃꯛ
অগরটলাদা	ꯑꯒꯔꯇꯂꯥꯗꯥ
অগরতালা	ꯑꯒꯔꯇꯥꯂꯥ
অগরতালাগা	ꯑꯒꯔꯇꯥꯂꯥꯒꯥ
অগরতালাগী	ꯑꯒꯔꯇꯥꯂꯥꯒꯤ
অগরতালাদগী	ꯑꯒꯔꯇꯥꯂꯥꯗꯒꯤ
অগরৱাননা	ꯑꯒꯔꯋꯥꯟꯅꯥ
অগরৱাল	ꯑꯒꯔꯋꯥꯜ
অগরৱালনা	ꯑꯒꯔꯋꯥꯜꯅꯥ
অগরৱালসু	ꯑꯒꯔꯋꯥꯜꯁꯨ
অগষ্ট	ꯑꯒꯁ꯭ꯇ
অগষ্টিন	ꯑꯒꯁ꯭ꯇꯤꯟ
অগস্ত	ꯑꯒꯁ꯭ꯇ
অগাথা	ꯑꯒꯥꯊꯥ
অগানানিনা	ꯑꯒꯥꯅꯥꯅꯤꯅꯥ
অগারৱালনা	ꯑꯒꯥꯔꯋꯥꯜꯅꯥ
অগিী	ꯑꯒꯤ
অগুই	ꯑꯒꯨꯢ
অগুৱাদা	ꯑꯒꯨꯋꯥꯗꯥ
অগে	ꯑꯒꯦ
অগেন্টস	ꯑꯒꯦꯟ꯭ꯇꯁ
অগ্ননি	ꯑꯒꯅꯅꯤ
অগ্নানিনা	ꯑꯒꯅꯥꯅꯤꯅꯥ
অগ্নিহোত্রিনা	ꯑꯒꯅꯤꯍꯣꯇ꯭ꯔꯤꯅꯥ
অগ্নী	ꯑꯒꯅꯤ
অগ্রাদা	ꯑꯒ꯭ꯔꯥꯗꯥ
অগ্রানা	ꯑꯒ꯭ꯔꯥꯅꯥ
অগ্রৱালনা	ꯑꯒ꯭ꯔꯋꯥꯜꯅꯥ
অঙখুই	ꯑꯉꯈꯨꯢ
অঙাংহল	ꯑꯉꯥꯡꯍꯜ
অঙাম্বা	ꯑꯉꯥꯝꯕꯥ
অঙোম	ꯑꯉꯣꯝ
অঙোমনা	ꯑꯉꯣꯝꯅꯥ
অঙ্গত	ꯑꯪꯒꯠ
অঙ্গনৱারি	ꯑꯪꯒꯟꯋꯥꯔꯤ
অঙ্গামিগী	ꯑꯪꯒꯥꯃꯤꯒꯤ
অঙ্গামীনা	ꯑꯪꯒꯥꯃꯤꯅꯥ
অচাগােৎ	ꯑꯆꯥꯒꯣꯠ
অচারিয়া	ꯑꯆꯥꯔꯤꯌꯥ
অচারিয়ানচিংবা	ꯑꯆꯥꯔꯤꯌꯥꯅꯆꯤꯡꯕꯥ
অচারয়া	ꯑꯆꯥꯔꯌꯥ
অচুন	ꯑꯆꯨꯟ
অচোন	ꯑꯆꯣꯟ
অচোনি	ꯑꯆꯣꯅꯤ
অচোন্	ꯑꯆꯣꯟ
অচোমনা	ꯑꯆꯣꯝꯅꯥ
অচৌগী	ꯑꯆꯧꯒꯤ
অচ্যারিয়া	ꯑꯆ꯭ꯌꯥꯔꯤꯌꯥ
অচ্যারিয়ানা	ꯑꯆ꯭ꯌꯥꯔꯤꯌꯥꯅꯥ
অজ	ꯑꯖ
অজন্তা	ꯑꯖꯟꯇꯥ
অজমর	ꯑꯖꯃꯔ
অজমল	ꯑꯖꯃꯜ
অজমলনচিংবনা	ꯑꯖꯃꯜꯅꯆꯤꯡꯕꯅꯥ
অজমির	ꯑꯖꯃꯤꯔ
অজরবৈজানগী	ꯑꯖꯔꯕꯩꯖꯥꯟꯒꯤ
অজহর	ꯑꯖꯍꯔ
অজাং	ꯑꯖꯥꯡ
অজাতি	ꯑꯖꯥꯇꯤ
অজাদ	ꯑꯖꯥꯗ
অজাদকী	ꯑꯖꯥꯗꯀꯤ
অজাদনসু	ꯑꯖꯥꯗꯅꯁꯨ
অজাদনা	ꯑꯖꯥꯗꯅꯥ
অজাদি	ꯑꯖꯥꯗꯤ
অজাদিকা	ꯑꯖꯥꯗꯤꯀꯥ
অজাদিকি	ꯑꯖꯥꯗꯤꯀꯤ
অজাদিগা	ꯑꯖꯥꯗꯤꯒꯥ
অজাম	ꯑꯖꯥꯝ
অজাহিন্দ	ꯑꯖꯥꯍꯤꯟ꯭ꯗ
অজিউরম	ꯑꯖꯤꯎꯔꯝ
অজিজুল	ꯑꯖꯤꯖꯨꯜ
অজিট	ꯑꯖꯤꯠ
অজিত	ꯑꯖꯤꯠ
অজিনক্যা	ꯑꯖꯤꯟꯀ꯭ꯌꯥ
অজিৎ	ꯑꯖꯤꯠ
অজুরাম	ꯑꯖꯨꯔꯥꯝ
অজোয়	ꯑꯖꯣꯢ
অজয়	ꯑꯖꯌ
অঞ্জাম	ꯑꯟꯖꯥꯝ
অঞ্জুমাননা	ꯑꯟꯖꯨꯃꯥꯟꯅꯥ
অটল	ꯑꯇꯜ
অটশুম	ꯑꯠꯁꯨꯝ
অটশুমগী	ꯑꯠꯁꯨꯝꯒꯤ
অটশুমনা	ꯑꯠꯁꯨꯝꯅꯥ
অটসুম	ꯑꯠꯁꯨꯝ
অটসুমগী	ꯑꯠꯁꯨꯝꯒꯤ
অটুল	ꯑꯇꯨꯜ
অতল	ꯑꯇꯜ
অতানু	ꯑꯇꯥꯅꯨ
অতাশিংগী	ꯑꯇꯥꯁꯤꯡꯒꯤ
অতাশিংদগী	ꯑꯇꯥꯁꯤꯡꯗꯒꯤ
অতুল	ꯑꯇꯨꯜ
অতেলি	ꯑꯇꯦꯂꯤ
অতেলিদগী	ꯑꯇꯦꯂꯤꯗꯒꯤ
অতোলদা	ꯑꯇꯣꯜꯗꯥ
অতৌখোংদা	ꯑꯇꯧꯈꯣꯡꯗꯥ
অত্ন	ꯑꯠꯅ
অত্ম	ꯑꯠꯃ
অত্মনিভর	ꯑꯠꯃꯅꯤꯚꯔ
অত্মনিরভর	ꯑꯠꯃꯅꯤꯔꯚꯔ
অত্মাঘাৎ	ꯑꯠꯃꯥꯘꯥꯠ
অত্মানিভর	ꯑꯠꯃꯥꯅꯤꯚꯔ
অত্মানিরভর	ꯑꯠꯃꯥꯅꯤꯔꯚꯔ
অত্মানিরভরতা	ꯑꯠꯃꯥꯅꯤꯔꯚꯔꯇꯥ
অত্মানিরভরতাগী	ꯑꯠꯃꯥꯅꯤꯔꯚꯔꯇꯥꯒꯤ
অত্মানিরভার	ꯑꯠꯃꯥꯅꯤꯔꯚꯥꯔ
অথক্লা	ꯑꯊꯛꯂꯥ
অথুম্	ꯑꯊꯨꯝ
অথুম্নগা	ꯑꯊꯨꯝꯅꯒꯥ
অথুৱন	ꯑꯊꯨꯋꯟ
অথুৱান	ꯑꯊꯨꯋꯥꯟ
অথুৱালে	ꯑꯊꯨꯋꯥꯂꯦ
অথোকপম	ꯑꯊꯣꯛꯄꯝ
অথোকপমগী	ꯑꯊꯣꯛꯄꯝꯒꯤ
অথোকপমদা	ꯑꯊꯣꯛꯄꯝꯗꯥ
অথোকপমনচিংবা	ꯑꯊꯣꯛꯄꯝꯅꯆꯤꯡꯕꯥ
অথোকপমনা	ꯑꯊꯣꯛꯄꯝꯅꯥ
অথোন	ꯑꯊꯣꯟ
অথোরিতিগী	ꯑꯊꯣꯔꯤꯇꯤꯒꯤ
অথোরিতিদা	ꯑꯊꯣꯔꯤꯇꯤꯗꯥ
অথোৱান	ꯑꯊꯣꯋꯥꯟ
অথৌবশিং	ꯑꯊꯧꯕꯁꯤꯡ
অথৱালেনা	ꯑꯊꯋꯥꯂꯦꯅꯥ
অদনান	ꯑꯗꯅꯥꯟ
অদবানি	ꯑꯗꯕꯥꯅꯤ
অদবানিনচিংবা	ꯑꯗꯕꯥꯅꯤꯅꯆꯤꯡꯕꯥ
অদবৈতা	ꯑꯗꯕꯩꯇꯥ
অদভেতা	ꯑꯗꯚꯦꯇꯥ
অদর	ꯑꯗꯔ
অদর্স	ꯑꯗꯔ꯭ꯁ
অদানানা	ꯑꯗꯥꯅꯥꯅꯥ
অদানি	ꯑꯗꯥꯅꯤ
অদানিগা	ꯑꯗꯥꯅꯤꯒꯥ
অদানিনা	ꯑꯗꯥꯅꯤꯅꯥ
অদানোম	ꯑꯗꯥꯅꯣꯝ
অদারি	ꯑꯗꯥꯔꯤ
অদালট	ꯑꯗꯥꯂꯠ
অদালটকী	ꯑꯗꯥꯂꯠꯀꯤ
অদালটসু	ꯑꯗꯥꯂꯠꯁꯨ
অদালত	ꯑꯗꯥꯂꯠ
অদিতি	ꯑꯗꯤꯇꯤ
অদিতিনা	ꯑꯗꯤꯇꯤꯅꯥ
অদিত্য	ꯑꯗꯤꯇ꯭ꯌ
অদিত্যনাথ	ꯑꯗꯤꯇ꯭ꯌꯅꯥꯊ
অদিত্যনাথকী	ꯑꯗꯤꯇ꯭ꯌꯅꯥꯊꯀꯤ
অদিত্যনাথন	ꯑꯗꯤꯇ꯭ꯌꯅꯥꯊꯟ
অদিত্যনাথনচিংবা	ꯑꯗꯤꯇ꯭ꯌꯅꯥꯊꯅꯆꯤꯡꯕꯥ
অদিত্যনাথনা	ꯑꯗꯤꯇ꯭ꯌꯅꯥꯊꯅꯥ
অদিত্যনাথসু	ꯑꯗꯤꯇ꯭ꯌꯅꯥꯊꯁꯨ
অদিত্যা	ꯑꯗꯤꯇ꯭ꯌꯥ
অদিত্যানাথ	ꯑꯗꯤꯇ꯭ꯌꯥꯅꯥꯊ
অদিত্যানাথনা	ꯑꯗꯤꯇ꯭ꯌꯥꯅꯥꯊꯅꯥ
অদিপ	ꯑꯗꯤꯞ
অদিবাসি	ꯑꯗꯤꯕꯥꯁꯤ
অদিল	ꯑꯗꯤꯜ
অদুই	ꯑꯗꯨꯢ
অদুইনা	ꯑꯗꯨꯢꯅꯥ
অদুনোভনা	ꯑꯗꯨꯅꯣꯚꯅꯥ
অধক্ষা	ꯑꯙꯛꯁꯥ
অধক্ষ্য	ꯑꯙꯛꯁ꯭ꯌꯥ
অধা	ꯑꯙꯥ
অধানোম	ꯑꯙꯥꯅꯣꯝ
অধামি	ꯑꯙꯥꯃꯤ
অধার	ꯑꯙꯥꯔ
অধারগা	ꯑꯙꯥꯔꯒꯥ
অধারদা	ꯑꯙꯥꯔꯗꯥ
অধারশিং	ꯑꯙꯥꯔꯁꯤꯡ
অধিকার	ꯑꯙꯤꯀꯥꯔ
অধিকারনি	ꯑꯙꯤꯀꯥꯔꯅꯤ
অধিকারি	ꯑꯙꯤꯀꯥꯔꯤ
অধিকারিগী	ꯑꯙꯤꯀꯥꯔꯤꯒꯤ
অধিকারিনা	ꯑꯙꯤꯀꯥꯔꯤꯅꯥ
অধিকারিবু	ꯑꯙꯤꯀꯥꯔꯤꯕꯨ
অধিকারিময়ুম	ꯑꯙꯤꯀꯥꯔꯤꯃꯌꯨꯝ
অধির	ꯑꯙꯤꯔ
অধিল	ꯑꯙꯤꯜ
অধ্যক্ষ	ꯑꯙ꯭ꯌꯛꯁ
অধ্যক্ষগী	ꯑꯙ꯭ꯌꯛꯁꯒꯤ
অধ্যক্ষনা	ꯑꯙ꯭ꯌꯛꯁꯅꯥ
অধ্যক্ষশিং	ꯑꯙ꯭ꯌꯛꯁꯁꯤꯡ
অধ্যক্ষা	ꯑꯙ꯭ꯌꯛꯁꯥ
অন	ꯑꯅ
অনইমপ্লোইমেন্ট	ꯑꯟꯏꯝꯄ꯭ꯂꯣꯢꯃꯦꯟ꯭ꯇ
অনএকাদমিগুম্বা	ꯑꯟꯑꯦꯀꯥꯗꯃꯤꯒꯨꯝꯕꯥ
অনওর্গনাইজ	ꯑꯅꯑꯣꯔꯒꯅꯥꯢꯖ
অনকিট	ꯑꯟꯀꯤꯠ
অনকিতা	ꯑꯟꯀꯤꯇꯥ
অনচলিক	ꯑꯟꯆꯂꯤꯛ
অনজান	ꯑꯟꯖꯥꯟ
অনজুমান	ꯑꯟꯖꯨꯃꯥꯟ
অনজুমানগী	ꯑꯟꯖꯨꯃꯥꯟꯒꯤ
অনজুমানদা	ꯑꯟꯖꯨꯃꯥꯟꯗꯥ
অনটেদ	ꯑꯟꯇꯦꯗ
অনতাজ	ꯑꯟꯇꯥꯖ
অনতিওদয়া	ꯑꯟꯇꯤꯑꯣꯗꯌꯥ
অনতিল	ꯑꯟꯇꯤꯜ
অনতিলনা	ꯑꯟꯇꯤꯜꯅꯥ
অনতিয়ো	ꯑꯟꯇꯤꯌꯣ
অনত্রিক	ꯑꯟꯇ꯭ꯔꯤꯛ
অনতয়ো	ꯑꯟꯇꯌꯣ
অনদর	ꯑꯟꯗꯔ
অনন্ট	ꯑꯅꯟ꯭ꯇ
অনন্তনাক	ꯑꯅꯟꯇꯅꯥꯛ
অনন্তনাগ	ꯑꯅꯟꯇꯅꯥꯒ
অনন্দ	ꯑꯅꯟ꯭ꯗ
অনন্দকুমারনা	ꯑꯅꯟ꯭ꯗꯀꯨꯃꯥꯔꯅꯥ
অনন্দগী	ꯑꯅꯟ꯭ꯗꯒꯤ
অনন্দদা	ꯑꯅꯟ꯭ꯗꯗꯥ
অনন্দদিবেন	ꯑꯅꯟ꯭ꯗꯗꯤꯕꯦꯟ
অনন্দনা	ꯑꯅꯟ꯭ꯗꯅꯥ
অনন্দা	ꯑꯅꯟꯗꯥ
অনন্দিবেন	ꯑꯅꯟꯗꯤꯕꯦꯟ
অনপাক	ꯑꯟꯄꯥꯛ
অনপুরনা	ꯑꯟꯄꯨꯔꯅꯥ
অনবা	ꯑꯟꯕꯥ
অনলোক	ꯑꯟꯂꯣꯛ
অনলোক্কী	ꯑꯟꯂꯣꯛꯀꯤ
অনশু	ꯑꯟꯁꯨ
অনষ্টার	ꯑꯟꯁ꯭ꯇꯥꯔ
অনসম	ꯑꯟꯁꯝ
অনসানগী	ꯑꯟꯁꯥꯟꯒꯤ
অনসু	ꯑꯟꯁꯨ
অনসেক্যুরদ	ꯑꯟꯁꯦꯀ꯭ꯌꯨꯔꯗ
অনাদলে	ꯑꯅꯥꯗꯂꯦ
অনামুল্লাহ	ꯑꯅꯥꯃꯨꯜꯂꯥꯍ
অনাল	ꯑꯅꯥꯜ
অনালোক্কী	ꯑꯅꯥꯂꯣꯛꯀꯤ
অনিটা	ꯑꯅꯤꯇꯥ
অনিতা	ꯑꯅꯤꯇꯥ
অনিরবন	ꯑꯅꯤꯔꯕꯟ
অনিল	ꯑꯅꯤꯜ
অনিৰুসুন্তীগী	ꯑꯅꯤꯔꯨꯁꯨꯟꯇꯤꯒꯤ
অনু	ꯑꯅꯨ
অনুজ	ꯑꯅꯨꯖ
অনুপম	ꯑꯅꯨꯄꯝ
অনুপমনা	ꯑꯅꯨꯄꯝꯅꯥ
অনুপামাদি	ꯑꯅꯨꯄꯥꯃꯥꯗꯤ
অনুব	ꯑꯅꯨꯕ
অনুরগা	ꯑꯅꯨꯔꯒꯥ
অনুরাক	ꯑꯅꯨꯔꯥꯛ
অনুরাখ	ꯑꯅꯨꯔꯥꯈ
অনুরাগ	ꯑꯅꯨꯔꯥꯒ
অনুরাগনা	ꯑꯅꯨꯔꯥꯒꯅꯥ
অন্টরজাতিগী	ꯑꯟꯇꯔꯖꯥꯇꯤꯒꯤ
অন্তনাগ	ꯑꯟꯇꯅꯥꯒ
অন্তরজাতিগী	ꯑꯟꯇꯔꯖꯥꯇꯤꯒꯤ
অন্তাজ	ꯑꯟꯇꯥꯖ
অন্তাজখানসু	ꯑꯟꯇꯥꯖꯈꯥꯟꯁꯨ
অন্তাজনা	ꯑꯟꯇꯥꯖꯅꯥ
অন্তারা	ꯑꯟꯇꯥꯔꯥ
অন্তাস	ꯑꯟꯇꯥꯁ
অন্তিননা	ꯑꯟꯇꯤꯟꯅꯥ
অন্তিল	ꯑꯟꯇꯤꯜ
অন্তোদ্যা	ꯑꯟꯇꯣꯗ꯭ꯌꯥ
অন্তোদয়া	ꯑꯟꯇꯣꯗꯌꯥ
অন্দমান	ꯑꯟꯗꯃꯥꯟ
অন্দমান্দ	ꯑꯟꯗꯃꯥꯟ꯭ꯗ
অন্দর	ꯑꯟꯗꯔ
অন্দরগ্রাউন্দ	ꯑꯟꯗꯔꯒ꯭ꯔꯥꯎꯟ꯭ꯗ
অন্দরগ্রাউন্দশিংবু	ꯑꯟꯗꯔꯒ꯭ꯔꯥꯎꯟ꯭ꯗꯁꯤꯡꯕꯨ
অন্দরগ্রেজুয়েট	ꯑꯟꯗꯔꯒ꯭ꯔꯦꯖꯨꯌꯦꯇ
অন্দরটেক্কিংসকী	ꯑꯟꯗꯔꯇꯦꯛꯀꯤꯡꯁꯀꯤ
অন্দরতেক্কিং	ꯑꯟꯗꯔꯇꯦꯛꯀꯤꯡ
অন্দরপাসতা	ꯑꯟꯗꯔꯄꯥꯁꯇꯥ
অন্দরষ্টেন্দিং	ꯑꯟꯗꯔꯁ꯭ꯇꯦꯟꯗꯤꯡ
অন্দলোক	ꯑꯟꯗꯂꯣꯛ
অন্দলোগা	ꯑꯟꯗꯂꯣꯒꯥ
অন্দলোন	ꯑꯟꯗꯂꯣꯟ
অন্দলোনগা	ꯑꯟꯗꯂꯣꯟꯒꯥ
অন্দলোনগী	ꯑꯟꯗꯂꯣꯟꯒꯤ
অন্দলোনদা	ꯑꯟꯗꯂꯣꯟꯗꯥ
অন্দোলন	ꯑꯟꯗꯣꯂꯟ
অন্দোলনগী	ꯑꯟꯗꯣꯂꯟꯒꯤ
অন্দোলনদা	ꯑꯟꯗꯣꯂꯟꯗꯥ
অন্দোলনবু	ꯑꯟꯗꯣꯂꯟꯕꯨ
অন্দ্র	ꯑꯟꯗ꯭ꯔ
অন্দ্রো	ꯑꯟꯗ꯭ꯔꯣ
অন্দ্রোগী	ꯑꯟꯗ꯭ꯔꯣꯒꯤ
অন্দ্রোনা	ꯑꯟꯗ꯭ꯔꯣꯅꯥ
অন্ধ	ꯑꯟꯙ
অন্ধ্র	ꯑꯟꯙ꯭ꯔ
অন্ন	ꯑꯟꯅ
অন্নপুরনা	ꯑꯟꯅꯄꯨꯔꯅꯥ
অন্না	ꯑꯟꯅꯥ
অন্সার	ꯑꯟꯁꯥꯔ
অন্সারি	ꯑꯟꯁꯥꯔꯤ
অন্সু	ꯑꯟꯁꯨ
অনৱারি	ꯑꯟꯋꯥꯔꯤ
অপ	ꯑꯞ
অপকমিং	ꯑꯞꯀꯃꯤꯡ
অপকা	ꯑꯞꯀꯥ
অপকী	ꯑꯞꯀꯤ
অপখ্রেত	ꯑꯄꯈ꯭ꯔꯦꯇ
অপগ্রেট	ꯑꯞꯒ꯭ꯔꯦꯇ
অপগ্রেদ	ꯑꯞꯒ꯭ꯔꯦꯗ
অপগ্রেদেসন	ꯑꯞꯒ꯭ꯔꯦꯗꯦꯁꯟ
অপদা	ꯑꯞꯗꯥ
অপদেট	ꯑꯞꯗꯦꯇ
অপদেদ	ꯑꯞꯗꯦꯗ
অপদেসন	ꯑꯞꯗꯦꯁꯟ
অপন	ꯑꯄꯟ
অপনগী	ꯑꯄꯟꯒꯤ
অপনচিংবা	ꯑꯞꯅꯆꯤꯡꯕꯥ
অপনদি	ꯑꯄꯟꯗꯤ
অপনা	ꯑꯄꯅꯥ
অপনি	ꯑꯄꯅꯤ
অপর	ꯑꯄꯔ
অপরাইজিং	ꯑꯞꯔꯥꯢꯖꯤꯡ
অপরানজি	ꯑꯄꯔꯥꯟꯖꯤ
অপলিপমেন্ট	ꯑꯞꯂꯤꯞꯃꯦꯟ꯭ꯇ
অপলিফমেন্ট	ꯑꯞꯂꯤꯐꯃꯦꯟ꯭ꯇ
অপলিবমেন্ট	ꯑꯞꯂꯤꯕꯃꯦꯟ꯭ꯇ
অপলিমেন্ট	ꯑꯞꯂꯤꯃꯦꯟ꯭ꯇ
অপলোট	ꯑꯞꯂꯣꯇ
অপলোদ	ꯑꯞꯂꯣꯗ
অপস	ꯑꯄꯁ
অপা	ꯑꯄꯥ
অপাশিং	ꯑꯄꯥꯁꯤꯡ
অপাশিংগী	ꯑꯄꯥꯁꯤꯡꯒꯤ
অপাশিংদা	ꯑꯄꯥꯁꯤꯡꯗꯥ
অপিনজাং	ꯑꯄꯤꯟꯖꯥꯡ
অপ্পর	ꯑꯞꯄꯔ
অপ্রাজিতাগুম্বা	ꯑꯄ꯭ꯔꯥꯖꯤꯇꯥꯒꯨꯝꯕꯥ
অপ্লিমেন্ট	ꯑꯞꯂꯤꯃꯦꯟ꯭ꯇ
অপৱন	ꯑꯞꯋꯟ
অফ	ꯑꯐ
অফগান	ꯑꯐꯒꯥꯟ
অফগানগী	ꯑꯐꯒꯥꯟꯒꯤ
অফগানিষ্টান	ꯑꯐꯒꯥꯅꯤꯁ꯭ꯇꯥꯟ
অফগানিষ্টানদা	ꯑꯐꯒꯥꯅꯤꯁ꯭ꯇꯥꯟꯗꯥ
অফগানিস্তনদগী	ꯑꯐꯒꯥꯅꯤꯁ꯭ꯇꯟꯗꯒꯤ
অফগানিস্তাদা	ꯑꯐꯒꯥꯅꯤꯁ꯭ꯇꯥꯗꯥ
অফগানিস্তান	ꯑꯐꯒꯥꯅꯤꯁ꯭ꯇꯥꯅ
অফগানিস্তানগী	ꯑꯐꯒꯥꯅꯤꯁ꯭ꯇꯥꯟꯒꯤ
অফগানিস্তানদগী	ꯑꯐꯒꯥꯅꯤꯁ꯭ꯇꯥꯟꯗꯒꯤ
অফগানিস্তানদা	ꯑꯐꯒꯥꯅꯤꯁ꯭ꯇꯥꯟꯗꯥ
অফগানিস্তাননা	ꯑꯐꯒꯥꯅꯤꯁ꯭ꯇꯥꯟꯅꯥ
অফসার	ꯑꯐꯁꯥꯔ
অফস্পা	ꯑꯐꯁꯄꯥ
অফস্পাগী	ꯑꯐꯁꯄꯥꯒꯤ
অফস্পানা	ꯑꯐꯁꯄꯥꯅꯥ
অফাই	ꯑꯐꯥꯢ
অফ্রিকাদগীনি	ꯑꯐ꯭ꯔꯤꯀꯥꯗꯒꯤꯅꯤ
অবতার	ꯑꯕꯇꯥꯔ
অবতারনি	ꯑꯕꯇꯥꯔꯅꯤ
অবদুল	ꯑꯕꯗꯨꯜ
অবদুলহমিট	ꯑꯕꯗꯨꯜꯍꯃꯤꯠ
অবদুলা	ꯑꯕꯗꯨꯂꯥ
অবদুল্লা	ꯑꯕꯗꯨꯜꯂꯥ
অবদেল	ꯑꯕꯗꯦꯜ
অবা	ꯑꯕꯥ
অবাগী	ꯑꯕꯥꯒꯤ
অবানি	ꯑꯕꯥꯅꯤ
অবানিগী	ꯑꯕꯥꯅꯤꯒꯤ
অবাবা	ꯑꯕꯥꯕꯥ
অবার্ন	ꯑꯕꯥꯔ꯭ꯅ
অবার্নগী	ꯑꯕꯥꯔ꯭ꯅꯒꯤ
অবার্নসু	ꯑꯕꯥꯔ꯭ꯅꯁꯨ
অবাস	ꯑꯕꯥꯁ
অবিধামা	ꯑꯕꯤꯙꯥꯃꯥ
অবির	ꯑꯕꯤꯔ
অবিশেখ	ꯑꯕꯤꯁꯦꯈ
অবু	ꯑꯕꯨ
অবুদাবিগী	ꯑꯕꯨꯗꯥꯕꯤꯒꯤ
অবুদাবিদা	ꯑꯕꯨꯗꯥꯕꯤꯗꯥ
অবুধাবিদা	ꯑꯕꯨꯙꯥꯕꯤꯗꯥ
অবেদসু	ꯑꯕꯦꯗꯁꯨ
অবোনপুঞ্চিগী	ꯑꯕꯣꯟꯄꯨꯟꯆꯤꯒꯤ
অবোনমাই	ꯑꯕꯣꯟꯃꯥꯢ
অবোনমাইগী	ꯑꯕꯣꯟꯃꯥꯢꯒꯤ
অবোনমৈ	ꯑꯕꯣꯟꯃꯩ
অবোনমৈগী	ꯑꯕꯣꯟꯃꯩꯒꯤ
অবোনমৈনা	ꯑꯕꯣꯟꯃꯩꯅꯥ
অবোনমৈবু	ꯑꯕꯣꯟꯃꯩꯕꯨ
অবোমাইবু	ꯑꯕꯣꯃꯥꯢꯕꯨ
অবোমৈ	ꯑꯕꯣꯃꯩ
অব্দুল	ꯑꯕꯗꯨꯜ
অব্দুলা	ꯑꯕꯗꯨꯂꯥ
অব্দুলাজিস	ꯑꯕꯗꯨꯂꯥꯖꯤꯁ
অব্দুলানা	ꯑꯕꯗꯨꯂꯥꯅꯥ
অব্দুলাহ	ꯑꯕꯗꯨꯂꯥꯍ
অব্রাহমগা	ꯑꯕ꯭ꯔꯥꯍꯝꯒꯥ
অভা	ꯑꯚꯥ
অভানি	ꯑꯚꯥꯅꯤ
অভিজিৎ	ꯑꯚꯤꯖꯤꯠ
অভিধম্মা	ꯑꯚꯤꯙꯝꯃꯥ
অভিনাথ	ꯑꯚꯤꯅꯥꯊ
অভিনাব	ꯑꯚꯤꯅꯥꯕ
