অ	ꯑ
অকাশবাণী	ꯑꯀꯥꯁꯕꯥꯅꯤ
অকাশবানি	ꯑꯀꯥꯁꯕꯥꯅꯤ
অকাস	ꯑꯀꯥꯁ
অকাসনা	ꯑꯀꯥꯁꯅꯥ
অকােইজম	ꯑꯀꯥꯦꯏꯖꯝ
অকায়	ꯑꯀꯥꯌ
অকায়গী	ꯑꯀꯥꯌꯒꯤ
অকায়বা	ꯑꯀꯥꯌꯕꯥ
অকায়শিং	ꯑꯀꯥꯌꯁꯤꯡ
অকায়্বা	ꯑꯀꯥꯌꯕꯥ
অকি	ꯑꯀꯤ
অকিবগী	ꯑꯀꯤꯕꯒꯤ
অকিবদগী	ꯑꯀꯤꯕꯗꯒꯤ
অকিবদি	ꯑꯀꯤꯕꯗꯤ
অকিবদু	ꯑꯀꯤꯕꯗꯨ
অকিবনা	ꯑꯀꯤꯕꯅꯥ
অকিবশিং	ꯑꯀꯤꯕꯁꯤꯡ
অকিবসিনি	ꯑꯀꯤꯕꯁꯤꯅꯤ
অকিবসু	ꯑꯀꯤꯕꯁꯨ
অকিবহা	ꯑꯀꯤꯕꯍꯥ
অকিবা	ꯑꯀꯤꯕꯥ
অকুপ	ꯑꯀꯨꯄ
অকুপ্পা	ꯑꯀꯨꯞꯄꯥ
অকুবা	ꯑꯀꯨꯕꯥ
অকুম	ꯑꯀꯨꯃ
অকুৎ	ꯑꯀꯨꯠ
অকুৎপদগী	ꯑꯀꯨꯠꯄꯗꯒꯤ
অকুৎপা	ꯑꯀꯨꯠꯄꯥ
অকূপ্পা	ꯑꯀꯨꯞꯄꯥ
অকে	ꯑꯀꯦ
অকেবা	ꯑꯀꯦꯕꯥ
অকো	ꯑꯀꯣ
অকোং	ꯑꯀꯣꯡ
অকোইজম	ꯑꯀꯣꯏꯖꯝ
অকোইবগী	ꯑꯀꯣꯏꯕꯒꯤ
অকোইবদা	ꯑꯀꯣꯏꯕꯗꯥ
অকোইবা	ꯑꯀꯣꯏꯕꯥ
অকোনগী	ꯑꯀꯣꯅꯒꯤ
অকোননা	ꯑꯀꯣꯅꯅꯥ
অকোনবগী	ꯑꯀꯣꯅꯕꯒꯤ
অকোনবদা	ꯑꯀꯣꯅꯕꯗꯥ
অকোনবা	ꯑꯀꯣꯅꯕꯥ
অকোহয়গী	ꯑꯀꯣꯍꯌꯒꯤ
অকোয়বগী	ꯑꯀꯣꯌꯕꯒꯤ
অকোয়বদা	ꯑꯀꯣꯌꯕꯗꯥ
অকোয়ববু	ꯑꯀꯣꯌꯕꯕꯨ
অকোয়বশিং	ꯑꯀꯣꯌꯕꯁꯤꯡ
অকোয়বা	ꯑꯀꯣꯌꯕꯥ
অকোয়রগী	ꯑꯀꯣꯌꯔꯒꯤ
অকোইবগী	ꯑꯀꯣꯏꯕꯒꯤ
অকোন্বগী	ꯑꯀꯣꯟꯕꯒꯤ
অকোন্বদদি	ꯑꯀꯣꯟꯕꯗꯗꯤ
অকোয়বদা	ꯑꯀꯣꯌꯕꯗꯥ
অকোয়্বদা	ꯑꯀꯣꯌꯕꯗꯥ
অকোয়্বদু	ꯑꯀꯣꯌꯕꯗꯨ
অকোয়্বা	ꯑꯀꯣꯌꯕꯥ
অক্টডণত্ত্বঢঅ	ꯑꯛꯇꯗꯅꯠꯠꯕꯙꯑ
অক্টণড্ডড্ডঞ্চঞটজ্ব	ꯑꯛꯇꯅꯗꯗꯗꯗꯟꯆꯅꯇꯖꯋ꯭
অক্টণণ্ডণ্ণণণ্ডঞ্চজ্বড	ꯑꯛꯇꯅꯟꯗꯟꯅꯅꯟꯗꯟꯆꯖꯋ꯭ꯗ
অক্র	ꯑꯀꯔ꯭
অক্লান্তা	ꯑꯛꯂꯥꯟꯇꯥ
অক্ষয়	ꯑꯛꯁꯌ
অক্সঞ্চঢঞ্চণ্ডজ্বতটণঢণ্	ꯑꯀꯁ꯭ꯟꯆꯙꯟꯆꯟꯗꯖꯕꯠꯇꯅꯙꯟ
অক্সদিপ	ꯑꯀꯁ꯭ꯗꯤꯄ
অখং	ꯑꯈꯪ
অখংবমখৈ	ꯑꯈꯪꯕꯝꯈꯩ
অখংবসু	ꯑꯈꯪꯕꯁꯨ
অখংবা	ꯑꯈꯪꯕꯥ
অখঙ	ꯑꯈꯡ
অখঙবশিংদি	ꯑꯈꯡꯕꯁꯤꯡꯗꯤ
অখঙবশিংনা	ꯑꯈꯡꯕꯁꯤꯡꯅꯥ
অখঙবা	ꯑꯈꯡꯕꯥ
অখন্ননা	ꯑꯈꯟꯅꯅꯥ
অখন্নবনি	ꯑꯈꯟꯅꯕꯅꯤ
অখন্নবা	ꯑꯈꯟꯅꯕꯥ
অখম	ꯑꯈꯝ
অখাং	ꯑꯈꯥꯡ
অখাংকনবা	ꯑꯈꯥꯡꯀꯟꯕꯥ
অখাক	ꯑꯈꯥꯀ
অখাকপা	ꯑꯈꯥꯀꯄꯥ
অখাঙ	ꯑꯈꯥꯉ
অখাথোক্না	ꯑꯈꯥꯊꯣꯛꯅꯥ
অখাবা	ꯑꯈꯥꯕꯥ
অখাবিনচিংবা	ꯑꯈꯥꯕꯤꯅꯆꯤꯡꯕꯥ
অখাম	ꯑꯈꯥꯃ
অখামগী	ꯑꯈꯥꯃꯒꯤ
অখায়বা	ꯑꯈꯥꯌꯕꯥ
অখিবা	ꯑꯈꯤꯕꯥ
অখিল	ꯑꯈꯤꯂ
অখুবা	ꯑꯈꯨꯕꯥ
অখুম	ꯑꯈꯨꯃ
অখুমগী	ꯑꯈꯨꯃꯒꯤ
অখুম্ননা	ꯑꯈꯨꯝꯅꯅꯥ
অখোংবা	ꯑꯈꯣꯡꯕꯥ
অখোইকুমার	ꯑꯈꯣꯏꯀꯨꯃꯥꯔ
অখোইকুমারগী	ꯑꯈꯣꯏꯀꯨꯃꯥꯔꯒꯤ
অখোন্বা	ꯑꯈꯣꯟꯕꯥ
অখোয়	ꯑꯈꯣꯌ
অখোয়্দি	ꯑꯈꯣꯌꯗꯤ
অগথা	ꯑꯒꯊꯥ
অগনি	ꯑꯒꯅꯤ
অগনৈসকা	ꯑꯒꯅꯩꯁꯀꯥ
অগরটালা	ꯑꯒꯔꯇꯥꯂꯥ
অগর্টলা	ꯑꯒꯔꯇꯂꯥ
অগর্ৱালনা	ꯑꯒꯔꯋꯥꯂꯅꯥ
অগরৱারনা	ꯑꯒꯔꯋꯥꯔꯅꯥ
অগরৱালনা	ꯑꯒꯔꯋꯥꯂꯅꯥ
অগষ্ট	ꯑꯒꯁꯇ꯭
অগষ্টকী	ꯑꯒꯁꯇ꯭ꯀꯤ
অগষ্টতা	ꯑꯒꯁꯇ꯭ꯇꯥ
অগস্ত	ꯑꯒꯁꯇ
অগামী	ꯑꯒꯥꯃꯤ
অগী	ꯑꯒꯤ
অগুত্মণ্ডঞ্চ	ꯑꯒꯨꯠꯃꯟꯗꯟꯆ
অগুনা	ꯑꯒꯨꯅꯥ
অগে	ꯑꯒꯦ
অগ্ত্মণ্ড	ꯑꯒꯠꯃꯟꯗ
অগ্নি	ꯑꯒꯅꯤ
অগ্বটড্ডঞ্চ	ꯑꯒꯋ꯭ꯇꯗꯗꯟꯆ
অগ্রাগী	ꯑꯒꯔꯥꯒꯤ
অগ্রাদা	ꯑꯒꯔꯥꯗꯥ
অঙংদুনা	ꯑꯉꯪꯗꯨꯅꯥ
অঙংশিংনা	ꯑꯉꯪꯁꯤꯡꯅꯥ
অঙক	ꯑꯉꯛ
অঙকপ	ꯑꯉꯛꯄ
অঙকপগী	ꯑꯉꯛꯄꯒꯤ
অঙকপনা	ꯑꯉꯛꯄꯅꯥ
অঙকপনি	ꯑꯉꯛꯄꯅꯤ
অঙকপসু	ꯑꯉꯛꯄꯁꯨ
অঙকপা	ꯑꯉꯛꯄꯥ
অঙক্পগী	ꯑꯉꯛꯄꯒꯤ
অঙক্পনা	ꯑꯉꯛꯄꯅꯥ
অঙক্পনি	ꯑꯉꯛꯄꯅꯤ
অঙক্পা	ꯑꯉꯛꯄꯥ
অঙণড্ডজ্বঢ	ꯑꯉꯅꯗꯗꯖꯋ꯭ꯙ
অঙনফৌ	ꯑꯉꯟꯐꯦꯡꯤ
অঙনফৌ	ꯑꯉꯟꯐꯧ
অঙনবদগী	ꯑꯉꯟꯕꯗꯒꯤ
অঙনবদনি	ꯑꯉꯟꯕꯗꯅꯤ
অঙনবদা	ꯑꯉꯟꯕꯗꯥ
অঙনবসিদা	ꯑꯉꯟꯕꯁꯤꯗꯥ
অঙনবা	ꯑꯉꯟꯕꯥ
অঙন্বদা	ꯑꯉꯟꯕꯗꯥ
অঙম	ꯑꯉꯝ
অঙম্	ꯑꯉꯝ
অঙম্বদুদি	ꯑꯉꯝꯕꯗꯨꯗꯤ
অঙম্বমখৈ	ꯑꯉꯝꯕꯝꯈꯩ
অঙম্বশিংগী	ꯑꯉꯝꯕꯁꯤꯡꯒꯤ
অঙম্বা	ꯑꯉꯝꯕꯥ
অঙম্বী	ꯑꯉꯝꯕꯤ
অঙাং	ꯑꯉꯥꯡ
অঙাংগা	ꯑꯉꯥꯡꯒꯥ
অঙাংগী	ꯑꯉꯥꯡꯒꯤ
অঙাংজাওবী	ꯑꯉꯥꯡꯖꯥꯑꯣꯕꯤ
অঙাংদগী	ꯑꯉꯥꯡꯗꯒꯤ
অঙাংদা	ꯑꯉꯥꯡꯗꯥ
অঙাংদু	ꯑꯉꯥꯡꯗꯨ
অঙাংদুগী	ꯑꯉꯥꯡꯗꯨꯒꯤ
অঙাংদুনা	ꯑꯉꯥꯡꯗꯨꯅꯥ
অঙাংদো	ꯑꯉꯥꯡꯗꯣ
অঙাংনা	ꯑꯉꯥꯡꯅꯥ
অঙাংনি	ꯑꯉꯥꯡꯅꯤ
অঙাংনিনা	ꯑꯉꯥꯡꯅꯤꯅꯥ
অঙাংনোনে	ꯑꯉꯥꯡꯅꯣꯅꯦ
অঙাংফাওবা	ꯑꯉꯥꯡꯐꯥꯑꯣꯕꯥ
অঙাংবদুনা	ꯑꯉꯥꯡꯕꯗꯨꯅꯥ
অঙাংবনা	ꯑꯉꯥꯡꯕꯅꯥ
অঙাংবা	ꯑꯉꯥꯡꯕꯥ
অঙাংবু	ꯑꯉꯥꯡꯕꯨ
অঙাংলা	ꯑꯉꯥꯡꯂꯥ
অঙাংশা	ꯑꯉꯥꯡꯁꯥ
অঙাংশি	ꯑꯉꯥꯡꯁꯤ
অঙাংশিং	ꯑꯉꯥꯡꯁꯤꯡ
অঙাংশিংগা	ꯑꯉꯥꯡꯁꯤꯡꯒꯥ
অঙাংশিংগী	ꯑꯉꯥꯡꯁꯤꯡꯒꯤ
অঙাংশিংগীদমক	ꯑꯉꯥꯡꯁꯤꯡꯒꯤꯗꯃꯛ
অঙাংশিংদগী	ꯑꯉꯥꯡꯁꯤꯡꯗꯒꯤ
অঙাংশিংদা	ꯑꯉꯥꯡꯁꯤꯡꯗꯥ
অঙাংশিংদি	ꯑꯉꯥꯡꯁꯤꯡꯗꯤ
অঙাংশিংদুনা	ꯑꯉꯥꯡꯁꯤꯡꯗꯨꯅꯥ
অঙাংশিংনদি	ꯑꯉꯥꯡꯁꯤꯡꯅꯗꯤ
অঙাংশিংনা	ꯑꯉꯥꯡꯁꯤꯡꯅꯥ
অঙাংশিংবু	ꯑꯉꯥꯡꯁꯤꯡꯕꯨ
অঙাংশিংসি	ꯑꯉꯥꯡꯁꯤꯡꯁꯤ
অঙাংশিংসু	ꯑꯉꯥꯡꯁꯤꯡꯁꯨ
অঙাংসি	ꯑꯉꯥꯡꯁꯤ
অঙাংসিগী	ꯑꯉꯥꯡꯁꯤꯒꯤ
অঙাংহনগী	ꯑꯉꯥꯡꯍꯟꯒꯤ
অঙাংহল	ꯑꯉꯥꯡꯍꯜ
অঙাংহলগী	ꯑꯉꯥꯡꯍꯜꯒꯤ
অঙাংহলল	ꯑꯉꯥꯡꯍꯜꯂ
অঙাও	ꯑꯉꯥꯑꯣ
অঙাওবগী	ꯑꯉꯥꯑꯣꯕꯒꯤ
অঙাওবদা	ꯑꯉꯥꯑꯣꯕꯗꯥ
অঙাওবদুদগী	ꯑꯉꯥꯑꯣꯕꯗꯨꯗꯒꯤ
অঙাওবদুনা	ꯑꯉꯥꯑꯣꯕꯗꯨꯅꯥ
অঙাওবদোমমায়	ꯑꯉꯥꯑꯣꯕꯗꯣꯃꯃꯥꯌ
অঙাওবনা	ꯑꯉꯥꯑꯣꯕꯅꯥ
অঙাওবা	ꯑꯉꯥꯑꯣꯕꯥ
অঙাওবিনা	ꯑꯉꯥꯑꯣꯕꯤꯅꯥ
অঙাওবীনি	ꯑꯉꯥꯑꯣꯕꯤꯅꯤ
অঙাওবীরা	ꯑꯉꯥꯑꯣꯕꯤꯔꯥ
অঙাওবীশিংগী	ꯑꯉꯥꯑꯣꯕꯤꯁꯤꯡꯒꯤ
অঙাঙবা	ꯑꯉꯥꯉꯕꯥ
অঙাঙ্বমুক	ꯑꯉꯥꯡꯕꯃꯨꯀ
অঙাঙ্বমুক্	ꯑꯉꯥꯡꯕꯃꯨꯛ
অঙান	ꯑꯉꯥꯅ
অঙানবগা	ꯑꯉꯥꯅꯕꯒꯥ
অঙানবনা	ꯑꯉꯥꯅꯕꯅꯥ
অঙানববু	ꯑꯉꯥꯅꯕꯕꯨ
অঙানবা	ꯑꯉꯥꯅꯕꯥ
অঙান্বা	ꯑꯉꯥꯟꯕꯥ
অঙাম	ꯑꯉꯥꯃ
অঙাম্বা	ꯑꯉꯥꯝꯕꯥ
অঙাহল	ꯑꯉꯥꯍꯜ
অঙোম	ꯑꯉꯣꯃ
অঙোমঃ	ꯑꯉꯣꯃঃ
অঙোমগী	ꯑꯉꯣꯃꯒꯤ
অঙোম্না	ꯑꯉꯣꯝꯅꯥ
অঙৌবদি	ꯑꯉꯦꯤꯕꯗꯤ
অঙৌবদু	ꯑꯉꯦꯤꯕꯗꯨ
অঙৌবনা	ꯑꯉꯦꯤꯕꯅꯥ
অঙৌবশিংনা	ꯑꯉꯦꯤꯕꯁꯤꯡꯅꯥ
অঙৌবসু	ꯑꯉꯦꯤꯕꯁꯨ
অঙৌবা	ꯑꯉꯦꯤꯕꯥ
অঙৌসনা	ꯑꯉꯦꯤꯁꯅꯥ
অঙৌসনাগী	ꯑꯉꯦꯤꯁꯅꯥꯒꯤ
অঙৌসনাদা	ꯑꯉꯦꯤꯁꯅꯥꯗꯥ
অঙৌসনাদি	ꯑꯉꯦꯤꯁꯅꯥꯗꯤ
অঙৌসনানা	ꯑꯉꯦꯤꯁꯅꯥꯅꯥ
অঙৌসানা	ꯑꯉꯦꯤꯁꯥꯅꯥ
অঙৌবা	ꯑꯉꯧꯕꯥ
অঙৌবাদু	ꯑꯉꯧꯕꯥꯗꯨ
অঙ্ক	ꯑꯡꯀ
অঙ্কগী	ꯑꯡꯀꯒꯤ
অঙ্কত্মণ্ডণ্ডঞ্চজ্বডটণ্ড্ডঅ	ꯑꯡꯀꯠꯃꯟꯗꯟꯗꯟꯆꯖꯋ꯭ꯗꯇꯟꯗꯗꯑ
অঙ্খঞ্ঝঞ্চ	ꯑꯡꯈꯟꯓꯟꯆ
অঙ্খঞ্ঝঞ্চজ্বতণ্ডঞ্চ	ꯑꯡꯈꯟꯓꯟꯆꯖꯕꯠꯟꯗꯟꯆ
অঙ্গজ্রত্ম	ꯑꯡꯒꯖꯔꯠꯃ
অঙ্গদি	ꯑꯡꯒꯗꯤ
অঙ্গদিনা	ꯑꯡꯒꯗꯤꯅꯥ
অঙ্গনৱাদি	ꯑꯡꯒꯟꯋꯥꯗꯤ
অঙ্গিরস	ꯑꯡꯒꯤꯔꯁ
অঙ্গুর	ꯑꯡꯒꯨꯔ
অঙ্গো	ꯑꯡꯒꯣ
অঙ্গোলো	ꯑꯡꯒꯣꯂꯣ
অচংথোং	ꯑꯆꯪꯊꯣꯡ
অচংবা	ꯑꯆꯪꯕꯥ
অচক	ꯑꯆꯛ
অচঙবা	ꯑꯆꯡꯕꯥ
অচঞ্চ	ꯑꯆꯟꯆ
অচঞ্ঝজ্বত	ꯑꯆꯟꯓꯖꯕꯠ
অচটতঞ্ঝণত্মত	ꯑꯆꯇꯇꯟꯓꯅꯠꯃꯠ
অচম্বনি	ꯑꯆꯝꯕꯅꯤ
অচম্বা	ꯑꯆꯝꯕꯥ
অচা	ꯑꯆꯥ
অচাই	ꯑꯆꯥꯏ
অচাওবী	ꯑꯆꯥꯑꯣꯕꯤ
অচাকপা	ꯑꯆꯥꯀꯄꯥ
অচাক্পা	ꯑꯆꯥꯛꯄꯥ
অচাগােৎ	ꯑꯆꯥꯒꯥꯦꯠ
অচান	ꯑꯆꯥꯅ
অচানবা	ꯑꯆꯥꯅꯕꯥ
অচানবীগৈ	ꯑꯆꯥꯅꯕꯤꯒꯩ
অচানবীগৈগী	ꯑꯆꯥꯅꯕꯤꯒꯩꯒꯤ
অচানবীগৈনা	ꯑꯆꯥꯅꯕꯤꯒꯩꯅꯥ
অচান্বগা	ꯑꯆꯥꯟꯕꯒꯥ
অচাপোৎ	ꯑꯆꯥꯄꯣꯠ
অচাপোত	ꯑꯆꯥꯄꯣꯇ
অচাবা	ꯑꯆꯥꯕꯥ
অচার	ꯑꯆꯥꯔ
অচারিয়া	ꯑꯆꯥꯔꯤꯌꯥ
অচিকপগা	ꯑꯆꯤꯀꯞꯒꯥ
অচিকপদা	ꯑꯆꯤꯀꯞꯗꯥ
অচিকপা	ꯑꯆꯤꯛꯄꯥ
অচিনবা	ꯑꯆꯤꯟꯕꯥ
অচুংমৈ	ꯑꯆꯨꯡꯃꯩ
অচুম	ꯑꯆꯨꯃ
অচুম্বগী	ꯑꯆꯨꯝꯕꯒꯤ
অচুম্বগীদমক	ꯑꯆꯨꯝꯕꯒꯤꯗꯃꯛ
অচুম্বদা	ꯑꯆꯨꯝꯕꯗꯥ
অচুম্বদি	ꯑꯆꯨꯝꯕꯗꯤ
অচুম্বদু	ꯑꯆꯨꯝꯕꯗꯨ
অচুম্বদুগী	ꯑꯆꯨꯝꯕꯗꯨꯒꯤ
অচুম্বনা	ꯑꯆꯨꯝꯕꯅꯥ
অচুম্বনি	ꯑꯆꯨꯝꯕꯅꯤ
অচুম্ববু	ꯑꯆꯨꯝꯕꯕꯨ
অচুম্বমক্নি	ꯑꯆꯨꯝꯕꯃꯛꯅꯤ
অচুম্বরনে	ꯑꯆꯨꯝꯕꯔꯅꯦ
অচুম্বা	ꯑꯆꯨꯝꯕꯥ
অচূম্বা	ꯑꯆꯨꯝꯕꯥ
অচেংবা	ꯑꯆꯦꯡꯕꯥ
অচেঙবা	ꯑꯆꯦꯉꯕꯥ
অচেনবা	ꯑꯆꯦꯅꯕꯥ
অচেপা	ꯑꯆꯦꯄꯥ
অচোন	ꯑꯆꯣꯅ
অচোবা	ꯑꯆꯣꯕꯥ
অচোৎপা	ꯑꯆꯣꯠꯄꯥ
অচেৎপা	ꯑꯆꯦꯠꯄꯥ
অচৌ	ꯑꯆꯦꯤ
অচৌব	ꯑꯆꯦꯤꯕ
অচৌবগী	ꯑꯆꯦꯤꯕꯒꯤ
অচৌবদগী	ꯑꯆꯦꯤꯕꯗꯒꯤ
অচৌবদা	ꯑꯆꯦꯤꯕꯗꯥ
অচৌবনা	ꯑꯆꯦꯤꯕꯅꯥ
অচৌবশিং	ꯑꯆꯦꯤꯕꯁꯤꯡ
অচৌবসু	ꯑꯆꯦꯤꯕꯁꯨ
অচৌবা	ꯑꯆꯦꯤꯕꯥ
অচৌবাম	ꯑꯆꯦꯤꯕꯥꯃ
অচৌবী	ꯑꯆꯦꯤꯕꯤ
অচোন	ꯑꯆꯣꯅ
অচোন্	ꯑꯆꯣꯟ
অচোন্বা	ꯑꯆꯣꯟꯕꯥ
অচৌ	ꯑꯆꯧ
অচৌগী	ꯑꯆꯧꯒꯤ
অচৌবদু	ꯑꯆꯧꯕꯗꯨ
অচৌবদুনা	ꯑꯆꯧꯕꯗꯨꯅꯥ
অচৌবসিনা	ꯑꯆꯧꯕꯁꯤꯅꯥ
অচৌবা	ꯑꯆꯧꯕꯥ
অচ্চা	ꯑꯆꯆꯥ
অচৎ	ꯑꯆꯠ
অচৎপা	ꯑꯆꯠꯄꯥ
অজ	ꯑꯖ
অজমিরদা	ꯑꯖꯃꯤꯔꯗꯥ
অজমিরনা	ꯑꯖꯃꯤꯔꯅꯥ
অজা	ꯑꯖꯥ
অজাংপু	ꯑꯖꯥꯡꯄꯨ
অজাদ	ꯑꯖꯥꯗ
অজান	ꯑꯖꯥꯅ
অজান্ত	ꯑꯖꯥꯟꯇ
অজিজ	ꯑꯖꯤꯖ
অজিজুল	ꯑꯖꯤꯖꯨꯂ
অজিৎ	ꯑꯖꯤꯠ
অজিৎকুমার	ꯑꯖꯤꯠꯀꯨꯃꯥꯔ
অজিৎকুমারগা	ꯑꯖꯤꯠꯀꯨꯃꯥꯔꯒꯥ
অজিৎনা	ꯑꯖꯤꯠꯅꯥ
অজয়	ꯑꯖꯌ
অজয়না	ꯑꯖꯌꯅꯥ
অঝর	ꯑꯓꯔ
অঝার	ꯑꯓꯥꯔ
অঝারগী	ꯑꯓꯥꯔꯒꯤ
