অংগ্রেজশিংবু	ꯑꯪꯒ꯭ꯔꯦꯖꯁꯤꯡꯕꯨ
অকায়গী	ꯑꯀꯥꯢꯒꯤ
অকায়দগী	ꯑꯀꯥꯢꯗꯒꯤ
অকায়বদি	ꯑꯀꯥꯢꯕꯗꯤ
অকায়বশিং	ꯑꯀꯥꯢꯕꯁꯤꯡ
অকায়বা	ꯑꯀꯥꯢꯕ
অকায়শিং	ꯑꯀꯥꯢꯁꯤꯡ
অকায়শিংসু	ꯑꯀꯥꯢꯁꯤꯡꯁꯨ
অকি	ꯑꯀꯤ
অকিব	ꯑꯀꯤꯕ
অকিবগী	ꯑꯀꯤꯕꯒꯤ
অকিবনা	ꯑꯀꯤꯕꯅꯥ
অকিবশিং	ꯑꯀꯤꯕꯁꯤꯡ
অকিবা	ꯑꯀꯤꯕꯥ
অকুপ্পা	ꯑꯀꯨꯞꯄꯥ
অকুম	ꯑꯀꯨꯝ
অকুৎপা	ꯑꯀꯨꯠꯄꯥ
অখং	ꯑꯈꯪ
অখঙ	ꯑꯈꯪ
অখন্ননা	ꯑꯈꯟꯅꯅꯥ
অখন্নবা	ꯑꯈꯟꯅꯕꯥ
অখম	ꯑꯈꯝ
অখাক	ꯑꯈꯥꯛ
অখাকপা	ꯑꯈꯥꯛꯄ
অখাঙ	ꯑꯈꯥꯡ
অখাম	ꯑꯈꯥꯝ
অগনৱাদি	ꯑꯒꯟꯋꯥꯗꯤ
অঙকপা	ꯑꯉꯛꯄ
অঙখুই	ꯑꯉꯈꯨꯢ
অঙন	ꯑꯉꯟ
অঙনবদগী	ꯑꯉꯟꯕꯗꯒꯤ
অঙনবদা	ꯑꯉꯟꯕꯗ
অঙনবা	ꯑꯉꯟꯕ
অঙম	ꯑꯉꯝ
অঙম্বা	ꯑꯉꯝꯕ
অঙম্বী	ꯑꯉꯝꯕꯤ
অঙাং	ꯑꯉꯥꯡ
অঙাংগী	ꯑꯉꯥꯡꯒꯤ
অঙাংদা	ꯑꯉꯥꯡꯗꯥ
অঙাংবা	ꯑꯉꯥꯡꯕ
অঙাংমচাশিংগী	ꯑꯉꯥꯡꯃꯆꯥꯁꯤꯡꯒꯤ
অঙাংশিং	ꯑꯉꯥꯡꯁꯤꯡ
অঙাংশিংগা	ꯑꯉꯥꯡꯁꯤꯡꯒ
অঙাংশিংগী	ꯑꯉꯥꯡꯁꯤꯡꯒꯤ
অঙাংশিংগীদমক	ꯑꯉꯥꯡꯁꯤꯡꯒꯤꯗꯃꯛ
অঙাংশিংগীদমকসু	ꯑꯉꯥꯡꯁꯤꯡꯒꯤꯗꯃꯛꯁꯨ
অঙাংশিংগীনা	ꯑꯉꯥꯡꯁꯤꯡꯒꯤꯅꯥ
অঙাংশিংদগী	ꯑꯉꯥꯡꯁꯤꯡꯗꯒꯤ
অঙাংশিংদা	ꯑꯉꯥꯡꯁꯤꯡꯗꯥ
অঙাংশিংদি	ꯑꯉꯥꯡꯁꯤꯡꯗꯤ
অঙাংশিংনা	ꯑꯉꯥꯡꯁꯤꯡꯅꯥ
অঙাংশিংবু	ꯑꯉꯥꯡꯁꯤꯡꯕꯨ
অঙাংশিংসু	ꯑꯉꯥꯡꯁꯤꯡꯁꯨ
অঙাওবা	ꯑꯉꯥꯎꯕ
অঙানবনা	ꯑꯉꯥꯟꯕꯅ
অঙানবনি	ꯑꯉꯥꯟꯕꯅꯤ
অঙাম	ꯑꯉꯥꯝ
অঙ্ক	ꯑꯪꯀ
অঙ্কগী	ꯑꯡꯀꯒꯤ
অঙ্গনৱাদিশিং	ꯑꯡꯒꯟꯋꯥꯗꯤꯁꯤꯡ
অঙ্গনৱাদিশিংগী	ꯑꯡꯒꯟꯋꯥꯗꯤꯁꯤꯡꯒꯤ
অঙ্গুর	ꯑꯡꯒꯨꯔ
অচ	ꯑꯆ
অচংবা	ꯑꯆꯪꯕ
অচনবা	ꯑꯆꯟꯕ
অচম্বা	ꯑꯆꯝꯕ
অচা	ꯑꯆꯥ
অচাথাউ	ꯑꯆꯥꯊꯥꯎ
অচাথাউগী	ꯑꯆꯥꯊꯥꯎꯒꯤ
অচাথাওনচিংবা	ꯑꯆꯥꯊꯥꯎꯅꯆꯤꯡꯕ
অচার	ꯑꯆꯥꯔ
অচিনবা	ꯑꯆꯤꯟꯕ
অচুবা	ꯑꯆꯨꯕ
অচুম্বগী	ꯑꯆꯨꯝꯕꯒꯤ
অচুম্বগীদমক	ꯑꯆꯨꯝꯕꯒꯤꯗꯃꯛ
অচুম্বনা	ꯑꯆꯨꯝꯕꯅ
অচুম্বনি	ꯑꯆꯨꯝꯕꯅꯤ
অচুম্ববু	ꯑꯆꯨꯝꯕꯕꯨ
অচুম্বা	ꯑꯆꯨꯝꯕ
অচ্যারিয়া	ꯑꯆ꯭ꯌꯥꯔꯤꯌꯥ
অচৎ	ꯑꯆꯠ
অতম্ননা	ꯑꯇꯝꯅꯅ
অতা	ꯑꯇꯥ
অতাংবা	ꯑꯇꯥꯡꯕ
অতাঙবা	ꯑꯇꯥꯡꯕꯥ
অতানা	ꯑꯇꯥꯅ
অতাবা	ꯑꯇꯥꯕ
অতাশিং	ꯑꯇꯥꯁꯤꯡ
অতি	ꯑꯇꯤ
অতিথি	ꯑꯇꯤꯊꯤ
অতিয়াদা	ꯑꯇꯤꯌꯥꯗ
অত্ম	ꯑꯠꯃ
অত্মা	ꯑꯠꯃꯥ
অত্মানা	ꯑꯠꯃꯥꯅ
অত্মানি	ꯑꯠꯃꯥꯅꯤ
অতৎ	ꯑꯇꯠ
অথংবা	ꯑꯊꯪꯕ
অথক	ꯑꯊꯛ
অথকশিং	ꯑꯊꯛꯁꯤꯡ
অথাপ্পা	ꯑꯊꯥꯞꯄ
অথাবা	ꯑꯊꯥꯕ
অথিংবদি	ꯑꯊꯤꯡꯕꯗꯤ
অথিংবশিং	ꯑꯊꯤꯡꯕꯁꯤꯡ
অথিংবসি	ꯑꯊꯤꯡꯕꯁꯤ
অথিংবসু	ꯑꯊꯤꯡꯕꯁꯨ
অথিংবা	ꯑꯊꯤꯡꯕꯥ
অথু	ꯑꯊꯨ
অথুপ	ꯑꯊꯨꯞ
অথুব	ꯑꯊꯨꯕ
অথুবদ	ꯑꯊꯨꯕꯗ
অথুবদা	ꯑꯊꯨꯕꯗꯥ
অথুবা	ꯑꯊꯨꯕꯥ
অথুম	ꯑꯊꯨꯝ
অদিতি	ꯑꯗꯤꯇꯤ
অদিতিনা	ꯑꯗꯤꯇꯤꯅꯥ
অধিকার	ꯑꯙꯤꯀꯥꯔ
অধিকারনি	ꯑꯙꯤꯀꯥꯔꯅꯤ
অনকপদা	ꯑꯅꯛꯄꯗꯥ
অনা	ꯑꯅꯥ
অনাগী	ꯑꯅꯥꯒꯤ
অনাদা	ꯑꯅꯥꯗꯥ
অনাবগী	ꯑꯅꯥꯕꯒꯤ
অনাবদগী	ꯑꯅꯥꯕꯗꯒꯤ
অনাবদা	ꯑꯅꯥꯕꯗꯥ
অনাবদুগী	ꯑꯅꯥꯕꯗꯨꯒꯤ
অনাবনচিংবা	ꯑꯅꯥꯕꯅꯆꯤꯡꯕꯥ
অনাবনা	ꯑꯅꯥꯕꯅꯥ
অনাবশিং	ꯑꯅꯥꯕꯁꯤꯡ
অনাবশিংগসু	ꯑꯅꯥꯕꯁꯤꯡꯒꯁꯨ
অনাবশিংগা	ꯑꯅꯥꯕꯁꯤꯡꯒꯥ
অনাবশিংগী	ꯑꯅꯥꯕꯁꯤꯉꯒꯤ
অনাবশিংগীদমক	ꯑꯅꯥꯕꯁꯤꯡꯒꯤꯗꯃꯛ
অনাবশিংদগী	ꯑꯅꯥꯕꯁꯤꯡꯗꯒꯤ
অনাবশিংদসু	ꯑꯅꯥꯕꯁꯤꯡꯗꯁꯨ
অনাবশিংদা	ꯑꯅꯥꯕꯁꯤꯡꯗꯥ
অনাবশিংদি	ꯑꯅꯥꯕꯁꯤꯡꯗꯤ
অনাবশিংনা	ꯑꯅꯥꯕꯁꯤꯡꯅꯥ
অনাবশিংবু	ꯑꯅꯥꯕꯁꯤꯡꯕꯨ
অনাবা	ꯑꯅꯥꯕꯥ
অনাশিং	ꯑꯅꯥꯁꯤꯡ
অনি	ꯑꯅꯤ
অনিংবদা	ꯑꯅꯤꯡꯕꯗꯥ
অনিংবসিনা	ꯑꯅꯤꯡꯕꯁꯤꯅꯥ
অনিংবা	ꯑꯅꯤꯡꯕꯥ
অনিখক	ꯑꯅꯤꯈꯛ
অনিখক্কী	ꯑꯅꯤꯈꯛꯀꯤ
অনিখক্তমক	ꯑꯅꯤꯈꯛꯇꯃꯛ
অনিখক্তা	ꯑꯅꯤꯈꯛꯇꯥ
অনিখক্তী	ꯑꯅꯤꯈꯛꯇꯤ
অনিগা	ꯑꯅꯤꯒꯥ
অনিগী	ꯑꯅꯤꯒꯤ
অনিগীনা	ꯑꯅꯤꯒꯤꯅꯥ
অনিতমক	ꯑꯅꯤꯇꯃꯛ
অনিদগী	ꯑꯅꯤꯗꯒꯤ
অনিদগীনা	ꯑꯅꯤꯗꯒꯤꯅꯥ
অনিদদি	ꯑꯅꯤꯗꯗꯤ
অনিদনা	ꯑꯅꯤꯗꯅꯥ
অনিদসু	ꯑꯅꯤꯗꯁꯨ
অনিদা	ꯑꯅꯤꯗꯥ
অনিদি	ꯑꯅꯤꯗꯤ
অনিদু	ꯑꯅꯤꯗꯨ
অনিনসু	ꯑꯅꯤꯅꯁꯨ
অনিনা	ꯑꯅꯤꯅꯥ
অনিনি	ꯑꯅꯤꯅꯤ
অনিবু	ꯑꯅꯤꯕꯨ
অনিমক	ꯑꯅꯤꯃꯛ
অনিমক্কী	ꯑꯅꯤꯃꯛꯀꯤ
অনিমক্তা	ꯑꯅꯤꯃꯛꯇꯥ
অনিমক্নসু	ꯑꯅꯤꯃꯛꯅꯁꯨ
অনিমক্না	ꯑꯅꯤꯃꯛꯅꯥ
অনিমখাইদগী	ꯑꯅꯤꯃꯈꯥꯢꯗꯒꯤ
অনিমখাইদা	ꯑꯅꯤꯃꯈꯥꯢꯗꯥ
অনিমখায়রোম	ꯑꯅꯤꯃꯈꯥꯌꯔꯣꯝ
অনিমুক্কী	ꯑꯅꯤꯃꯨꯛꯀꯤ
অনিরক	ꯑꯅꯤꯔꯛ
অনিরকশুবনি	ꯑꯅꯤꯔꯛꯁꯨꯕꯅꯤ
অনিরকশুবা	ꯑꯅꯤꯔꯛꯁꯨꯕꯥ
অনিরকসুবনি	ꯑꯅꯤꯔꯛꯁꯨꯕꯅꯤ
অনিরকসুবা	ꯑꯅꯤꯔꯛꯁꯨꯕꯥ
অনিরোম	ꯑꯅꯤꯔꯣꯝ
অনিরোমগী	ꯑꯅꯤꯔꯣꯝꯒꯤ
অনিরোমদমক	ꯑꯅꯤꯔꯣꯝꯗꯃꯛ
অনিরোমদা	ꯑꯅꯤꯔꯣꯝꯗꯥ
অনিরোমনা	ꯑꯅꯤꯔꯣꯝꯅꯥ
অনিরোমসু	ꯑꯅꯤꯔꯣꯝꯁꯨ
অনিশুবদনা	ꯑꯅꯤꯁꯨꯕꯗꯅꯥ
অনিশুবদা	ꯑꯅꯤꯁꯨꯕꯗꯥ
অনিশুবনা	ꯑꯅꯤꯁꯨꯕꯅꯥ
অনিশুবা	ꯑꯅꯤꯁꯨꯕꯥ
অনিসরকসুবা	ꯑꯅꯤꯁꯨꯔꯛꯁꯨꯕꯥ
অনিসিগী	ꯑꯅꯤꯁꯤꯒꯤ
অনিসিদা	ꯑꯅꯤꯁꯤꯗꯥ
অনিসিনা	ꯑꯅꯤꯁꯤꯅꯥ
অনিসু	ꯑꯅꯤꯁꯨ
অনিসুনা	ꯑꯅꯤꯁꯨꯅꯥ
অনিসুব	ꯑꯅꯤꯁꯨꯕ
অনিসুবগী	ꯑꯅꯤꯁꯨꯕꯒꯤ
অনিসুবদা	ꯑꯅꯤꯁꯨꯕꯗꯥ
অনিসুবনি	ꯑꯅꯤꯁꯨꯕꯅꯤ
অনিসুবা	ꯑꯅꯤꯁꯨꯕꯥ
অনৌ	ꯑꯅꯧ
অপিক	ꯑꯄꯤꯛ
অপিকপা	ꯑꯄꯤꯛꯄꯥ
অপিবা	ꯑꯄꯤꯕꯥ
অপিল	ꯑꯄꯤꯜ
অপ্লিমেন্ট	ꯑꯞꯂꯤꯃꯦꯟꯇ
অবুঙো	ꯑꯕꯨꯉꯣ
অবুজম	ꯑꯕꯨꯖꯝ
অম	ꯑꯃ
অমকপা	ꯑꯃꯛꯄꯥ
অমক্পা	ꯑꯃꯛꯄꯥ
অমখক	ꯑꯃꯈꯛ
অমখক্কী	ꯑꯃꯈꯛꯀꯤ
অমখক্ত	ꯑꯃꯈꯛꯇ
অমখক্তং	ꯑꯃꯈꯛꯇꯪ
অমখক্তংদা	ꯑꯃꯈꯛꯇꯪꯗꯥ
অমখক্তগী	ꯑꯃꯈꯛꯇꯒꯤ
অমখক্তদা	ꯑꯃꯈꯛꯇꯗꯥ
অমখক্তমক	ꯑꯃꯈꯛꯇꯃꯛ
অমখক্তা	ꯑꯃꯈꯛꯇꯥ
অমখক্না	ꯑꯃꯈꯛꯅꯥ
অমগ	ꯑꯃꯒ
অমগগী	ꯑꯃꯒꯒꯤ
অমগদা	ꯑꯃꯒꯗꯥ
অমগনা	ꯑꯃꯒꯅꯥ
অমগনি	ꯑꯃꯒꯅꯤ
অমগসু	ꯑꯃꯒꯁꯨ
অমগা	ꯑꯃꯒꯥ
অমগী	ꯑꯃꯒꯤ
অমগীদমক	ꯑꯃꯒꯤꯗꯃꯛ
অমগীনা	ꯑꯃꯒꯤꯅꯥ
অমগীনি	ꯑꯃꯒꯤꯅꯤ
অমগীসু	ꯑꯃꯒꯤꯁꯨ
অমগুম	ꯑꯃꯒꯨꯝ
অমগুম্না	ꯑꯃꯒꯨꯝꯅꯥ
অমগুম্বনি	ꯑꯃꯒꯨꯝꯕꯅꯤ
অমগুম্বা	ꯑꯃꯒꯨꯝꯕꯥ
অমতং	ꯑꯃꯇꯪ
অমতম	ꯑꯝꯇꯝ
অমতমক	ꯑꯃꯇꯃꯛ
অমত্ত	ꯑꯃꯠꯇ
অমত্তং	ꯑꯃꯠꯇꯪ
অমত্তগা	ꯑꯃꯠꯇꯒꯥ
অমত্তগী	ꯑꯃꯠꯇꯒꯤ
অমত্তদা	ꯑꯃꯠꯇꯗꯥ
অমত্তনসু	ꯑꯃꯠꯇꯅꯁꯨ
অমত্তনা	ꯑꯃꯠꯇꯅꯥ
অমত্তনি	ꯑꯃꯠꯇꯅꯤ
অমত্তসু	ꯑꯃꯠꯇꯁꯨ
অমত্তা	ꯑꯃꯠꯇꯥ
অমদ	ꯑꯃꯗ
অমদগী	ꯑꯃꯗꯒꯤ
অমদগীদি	ꯑꯃꯗꯒꯤꯗꯤ
অমদনা	ꯑꯃꯗꯅꯥ
অমদনি	ꯑꯃꯗꯅꯤ
অমদসু	ꯑꯃꯗꯁꯨ
অমদি	ꯑꯃꯗꯤ
অমদু	ꯑꯃꯗꯨ
অমদুগা	ꯑꯃꯗꯨꯒꯥ
অমদুনা	ꯑꯃꯗꯨꯅꯥ
অমন	ꯑꯃꯟ
অমনবা	ꯑꯃꯟꯕꯥ
অমনসু	ꯑꯃꯅꯁꯨ
অমনা	ꯑꯃꯅꯥ
অমনি	ꯑꯃꯅꯤ
অমপুনবা	ꯑꯃꯄꯨꯟꯕꯥ
অমবু	ꯑꯃꯕꯨ
অমমদা	ꯑꯃꯝꯗꯥ
অমমনা	ꯑꯃꯝꯅꯥ
অমমনি	ꯑꯃꯝꯅꯤ
অমমম	ꯑꯃꯃꯝ
অমমমগী	ꯑꯃꯃꯝꯒꯤ
অমমমতং	ꯑꯃꯃꯝꯇꯪ
অমমমতমক	ꯑꯃꯃꯝꯇꯃꯛ
অমমমতা	ꯑꯃꯃꯝꯇꯥ
অমমমদগী	ꯑꯃꯃꯝꯗꯒꯤ
অমমমদগীনা	ꯑꯃꯃꯝꯗꯒꯤꯅꯥ
অমমমদা	ꯑꯃꯃꯝꯗꯥ
অমমমদি	ꯑꯃꯃꯝꯗꯤ
অমমমনা	ꯑꯃꯃꯝꯅꯥ
অমমমনি	ꯑꯃꯃꯝꯅꯤ
অমমমবু	ꯑꯃꯃꯝꯕꯨ
অমমমম	ꯑꯝꯃꯃꯝ
অমমমসু	ꯑꯃꯃꯝꯁꯨ
অমমা	ꯑꯝꯃꯥ
অমমুক	ꯑꯃꯃꯨꯛ
অমমুমক্কী	ꯑꯝꯃꯃꯨꯛꯀꯤ
অমম্ববু	ꯑꯃꯝꯕꯕꯨ
অমম্বসু	ꯑꯃꯝꯕꯁꯨ
অমম্বা	ꯑꯃꯝꯕꯥ
অমর	ꯑꯃꯔ
অমরোম	ꯑꯃꯔꯣꯝ
অমরোমগী	ꯑꯃꯔꯣꯝꯒꯤ
অমরোমদ	ꯑꯃꯔꯣꯝꯗ
অমরোমদগী	ꯑꯃꯔꯣꯝꯗꯒꯤ
অমরোমদনা	ꯑꯃꯔꯣꯝꯗꯅꯥ
অমরোমদমক	ꯑꯃꯔꯣꯝꯗꯃꯛ
অমরোমদসু	ꯑꯃꯔꯣꯝꯗꯁꯨ
অমরোমদা	ꯑꯃꯔꯣꯝꯗꯥ
অমরোমদি	ꯑꯃꯔꯣꯝꯗꯤ
অমরোমনা	ꯑꯃꯔꯣꯝꯅꯥ
অমরোমসু	ꯑꯃꯔꯣꯝꯁꯨ
অমর্জিৎ	ꯑꯃꯔꯖꯤꯠ
অমশিং	ꯑꯃꯁꯤꯡ
অমসিদা	ꯑꯃꯁꯤꯗꯥ
অমসু	ꯑꯃꯁꯨ
অমসুং	ꯑꯃꯁꯨꯡ
অমসুনি	ꯑꯃꯁꯨꯅꯤ
অমসূং	ꯑꯃꯁꯨꯡ
অমা	ꯑꯃꯥ
অমাং	ꯑꯃꯥꯡ
অমাংবগী	ꯑꯃꯥꯡꯕꯒꯤ
অমাংবদগী	ꯑꯃꯥꯡꯕꯗꯒꯤ
অমাংবশিং	ꯑꯃꯥꯡꯕꯁꯤꯡ
অমাংবশিংগী	ꯑꯃꯥꯡꯕꯁꯤꯡꯒꯤ
অমাংবা	ꯑꯃꯥꯡꯕꯥ
অমাইবা	ꯑꯃꯥꯢꯕꯥ
অমাইবীশিংনসু	ꯑꯃꯥꯢꯕꯤꯁꯤꯡꯅꯁꯨ
অমানা	ꯑꯃꯥꯅꯥ
অমানি	ꯑꯃꯥꯅꯤ
অমার্দ	ꯑꯃꯥꯔꯗ
অমিন	ꯑꯃꯤꯟ
অমুং	ꯑꯃꯨꯡ
অমুক	ꯑꯃꯨꯛ
অমুকখক্তং	ꯑꯃꯨꯛꯈꯛꯇꯪ
অমুক্কসু	ꯑꯃꯨꯛꯀꯁꯨ
অমুক্কা	ꯑꯃꯨꯛꯀꯥ
অমুক্তং	ꯑꯃꯨꯛꯇꯪ
অমুক্তংদি	ꯑꯃꯨꯛꯇꯪꯗꯤ
অমুক্তগী	ꯑꯃꯨꯛꯇꯒꯤ
অমুক্তদা	ꯑꯃꯨꯛꯇꯗꯥ
অমুক্তা	ꯑꯃꯨꯛꯇꯥ
অমুক্লক	ꯑꯃꯨꯛꯂꯛ
অমুখক্তং	ꯑꯃꯨꯈꯛꯇꯪ
অমুজাউ	ꯑꯃꯨꯖꯥꯎ
অমুবা	ꯑꯃꯨꯕꯥ
অমুবী	ꯑꯃꯨꯕꯤ
অরাইবা	ꯑꯔꯥꯢꯕꯥ
অরাউ	ꯑꯔꯥꯎ
অরাও	ꯑꯔꯥꯎ
অরান	ꯑꯔꯥꯟ
অরানবনি	ꯑꯔꯥꯟꯕꯅꯤ
অরানববু	ꯑꯔꯥꯟꯕꯕꯨ
অরানবশিং	ꯑꯔꯥꯟꯕꯁꯤꯡ
অরানবশিংগী	ꯑꯔꯥꯟꯕꯁꯤꯡꯒꯤ
অরানবা	ꯑꯔꯥꯟꯕꯥ
অরাপ্পা	ꯑꯔꯥꯞꯄꯥ
অরাম্বমনা	ꯑꯔꯥꯝꯕꯝꯅꯥ
অরি	ꯑꯔꯤ
অরিবম	ꯑꯔꯤꯕꯝ
অরিবশিং	ꯑꯔꯤꯕꯁꯤꯡ
অরিবা	ꯑꯔꯤꯕꯥ
অরিবাম	ꯑꯔꯤꯕꯥꯝ
অরীবা	ꯑꯔꯤꯕꯥ
অরুবা	ꯑꯔꯨꯕꯥ
অরুম্বগী	ꯑꯔꯨꯝꯕꯒꯤ
অরুম্বনা	ꯑꯔꯨꯝꯕꯅꯥ
অরুম্বা	ꯑꯔꯨꯝꯕꯥ
অর্শিবাদ	ꯑꯔꯁꯤꯕꯥꯗ
অল্লাগী	ꯑꯜꯂꯥꯒꯤ
অশং	ꯑꯁꯪ
অশংবা	ꯑꯁꯪꯕꯥ
অশঙবা	ꯑꯁꯡꯕꯥ
অশম্বা	ꯑꯁꯝꯕꯥ
অশা	ꯑꯁꯥ
অশাংবা	ꯑꯁꯥꯡꯕꯥ
অশাংবীদা	ꯑꯁꯥꯡꯕꯤꯗꯥ
অশাংবীনা	ꯑꯁꯥꯡꯕꯤꯅꯥ
অশাউবা	ꯑꯁꯥꯎꯕꯥ
অশাগা	ꯑꯁꯥꯒꯥ
অশাগী	ꯑꯁꯥꯒꯤ
অশানবা	ꯑꯁꯥꯟꯕꯥ
অশাবা	ꯑꯁꯥꯕꯥ
অশাশিংগী	ꯑꯁꯥꯁꯤꯡꯒꯤ
অশাশিংদা	ꯑꯁꯥꯁꯤꯡꯗꯥ
অশি	ꯑꯁꯤ
অশিংবনি	ꯑꯁꯤꯡꯕꯅꯤ
অশিবতনা	ꯑꯁꯤꯕꯇꯅꯥ
অশিবশিং	ꯑꯁꯤꯕꯁꯤꯡ
অশিবা	ꯑꯁꯤꯕꯥ
অশির্বাদ	ꯑꯁꯤꯔꯕꯥꯗ
অশুক	ꯑꯁꯨꯛ
অশুকপা	ꯑꯁꯨꯛꯄꯥ
অশুপ্পগী	ꯑꯁꯨꯞꯄꯒꯤ
অশুম	ꯑꯁꯨꯝ
অশুম্না	ꯑꯁꯨꯝꯅꯥ
অশ্বিনি	ꯑꯁꯋꯤꯅꯤ
অসা	ꯑꯁꯥ
অসি	ꯑꯁꯤ
অসিখক্তমক	ꯑꯁꯤꯈꯛꯇꯃꯛ
অসিগা	ꯑꯁꯤꯒꯥ
অসিগী	ꯑꯁꯤꯒꯤ
অসিগীতা	ꯑꯁꯤꯒꯤꯇꯥ
অসিগীদমক	ꯑꯁꯤꯒꯤꯗꯃꯛ
অসিগীদমক্তা	ꯑꯁꯤꯒꯤꯗꯃꯛꯇꯥ
অসিগীসু	ꯑꯁꯤꯒꯤꯁꯨ
অসিগুমবা	ꯑꯁꯤꯒꯨꯝꯕꯥ
অসিগুম্না	ꯑꯁꯤꯒꯨꯝꯅꯥ
অসিগুম্ব	ꯑꯁꯤꯒꯨꯝꯕ
অসিগুম্বশিং	ꯑꯁꯤꯒꯨꯝꯕꯁꯤꯡ
অসিগুম্বা	ꯑꯁꯤꯒꯨꯝꯕꯥ
অসিগুম্লবা	ꯑꯁꯤꯒꯨꯝꯂꯕꯥ
অসিতনা	ꯑꯁꯤꯇꯅꯥ
অসিদ	ꯑꯁꯤꯗ
অসিদগ	ꯑꯁꯤꯗꯒ
অসিদগী	ꯑꯁꯤꯗꯒꯤ
অসিদগীনি	ꯑꯁꯤꯗꯒꯤꯅꯤ
অসিদতা	ꯑꯁꯤꯗꯇꯥ
অসিদদি	ꯑꯁꯤꯗꯗꯤ
অসিদনা	ꯑꯁꯤꯗꯅꯥ
অসিদনি	ꯑꯁꯤꯗꯅꯤ
অসিদসু	ꯑꯁꯤꯗꯁꯨ
অসিদা	ꯑꯁꯤꯗꯥ
অসিদি	ꯑꯁꯤꯗꯤ
অসিন	ꯑꯁꯤꯅ
অসিনচিংবগী	ꯑꯁꯤꯅꯆꯤꯡꯕꯒꯤ
অসিনচিংবনি	ꯑꯁꯤꯅꯆꯤꯡꯕꯅꯤ
অসিননি	ꯑꯁꯤꯅꯅꯤ
অসিনসু	ꯑꯁꯤꯅꯁꯨ
অসিনা	ꯑꯁꯤꯅꯥ
অসিনি	ꯑꯁꯤꯅꯤ
অসিবার্দ	ꯑꯁꯤꯕꯥꯔꯗ
অসিবু	ꯑꯁꯤꯕꯨ
অসিবুসু	ꯑꯁꯤꯕꯨꯁꯨ
অসিমক	ꯑꯁꯤꯃꯛ
অসিমক্	ꯑꯁꯤꯃꯛ
অসিমক্কী	ꯑꯁꯤꯃꯛꯀꯤ
অসিমক্তদা	ꯑꯁꯤꯃꯛꯇꯗꯥ
অসিমক্না	ꯑꯁꯤꯃꯛꯅꯥ
অসিমসু	ꯑꯁꯤꯃꯁꯨ
অসিমা	ꯑꯁꯤꯃꯥ
অসির্বাদ	ꯑꯁꯤꯔꯕꯥꯗ
অসিসু	ꯑꯁꯤꯁꯨ
অসিৱাইদা	ꯑꯁꯤꯋꯥꯏꯗꯥ
অসুব	ꯑꯁꯨꯕ
অসুম	ꯑꯁꯨꯝ
অসুমনা	ꯑꯁꯨꯝꯅꯥ
অসুম্না	ꯑꯁꯨꯝꯅꯥ
অহিং	ꯑꯍꯤꯡ
অহিংগী	ꯑꯍꯤꯡꯒꯤ
অহিংদগী	ꯑꯍꯤꯡꯗꯒꯤ
অহিংদা	ꯑꯍꯤꯡꯗꯥ
